"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"consuming_resources_model.nlogo"
"experiment_1"
"02/05/2024 15:59:01:626 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","40"
"teu","tfa","[step]","(mean) count turtles","(std) count turtles"
"2","50","200","100","N/A"
"4","50","200","99","N/A"
"6","50","200","84","N/A"
"8","50","200","66","N/A"
"10","50","200","44","N/A"
"12","50","200","42.5","N/A"
"14","50","200","33.5","N/A"
"16","50","200","30","N/A"
"18","50","200","27","N/A"
"20","50","200","20","N/A"
"2","75","200","100","N/A"
"4","75","200","100","N/A"
"6","75","200","79.5","N/A"
"8","75","200","66.5","N/A"
"10","75","200","50","N/A"
"12","75","200","42","N/A"
"14","75","200","34","N/A"
"16","75","200","27.5","N/A"
"18","75","200","29","N/A"
"20","75","200","25.5","N/A"
"2","100","200","100","N/A"
"4","100","200","100","N/A"
"6","100","200","77.5","N/A"
"8","100","200","60","N/A"
"10","100","200","55.5","N/A"
"12","100","200","35.5","N/A"
"14","100","200","32","N/A"
"16","100","200","31","N/A"
"18","100","200","33","N/A"
"20","100","200","29","N/A"
"2","125","200","100","N/A"
"4","125","200","100","N/A"
"6","125","200","85","N/A"
"8","125","200","63.5","N/A"
"10","125","200","51","N/A"
"12","125","200","42","N/A"
"14","125","200","36.5","N/A"
"16","125","200","33.5","N/A"
"18","125","200","29.5","N/A"
"20","125","200","24.5","N/A"
"2","150","200","100","N/A"
"4","150","200","100","N/A"
"6","150","200","83","N/A"
"8","150","200","64","N/A"
"10","150","200","52.5","N/A"
"12","150","200","37.5","N/A"
"14","150","200","36.5","N/A"
"16","150","200","24.5","N/A"
"18","150","200","32","N/A"
"20","150","200","33","N/A"
