"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"consuming_resources_model.nlogo"
"experiment_1"
"02/05/2024 15:58:55:349 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","40"
"[run number]","teu","tfa","[step]","count turtles"
"10","20","50","200","19"
"15","10","75","200","52"
"9","18","50","200","27"
"12","4","75","200","100"
"7","14","50","200","31"
"11","2","75","200","100"
"13","6","75","200","77"
"17","14","75","200","35"
"16","12","75","200","39"
"8","16","50","200","31"
"5","10","50","200","45"
"25","10","100","200","53"
"18","16","75","200","25"
"14","8","75","200","68"
"27","14","100","200","30"
"26","12","100","200","34"
"6","12","50","200","48"
"24","8","100","200","62"
"23","6","100","200","80"
"28","16","100","200","30"
"4","8","50","200","63"
"30","20","100","200","31"
"36","12","125","200","35"
"20","20","75","200","25"
"19","18","75","200","29"
"29","18","100","200","37"
"1","2","50","200","100"
"31","2","125","200","100"
"39","18","125","200","25"
"38","16","125","200","32"
"34","8","125","200","62"
"35","10","125","200","54"
"40","20","125","200","23"
"37","14","125","200","38"
"33","6","125","200","83"
"32","4","125","200","100"
"21","2","100","200","100"
"47","14","150","200","39"
"46","12","150","200","43"
"2","4","50","200","100"
"3","6","50","200","86"
"44","8","150","200","64"
"50","20","150","200","29"
"52","4","50","200","98"
"22","4","100","200","100"
"56","12","50","200","37"
"59","18","50","200","27"
"55","10","50","200","43"
"57","14","50","200","36"
"60","20","50","200","21"
"58","16","50","200","29"
"53","6","50","200","82"
"54","8","50","200","69"
"41","2","150","200","100"
"66","12","75","200","45"
"45","10","150","200","50"
"68","16","75","200","30"
"62","4","75","200","100"
"67","14","75","200","33"
"70","20","75","200","26"
"43","6","150","200","86"
"42","4","150","200","100"
"63","6","75","200","82"
"77","14","100","200","34"
"76","12","100","200","37"
"74","8","100","200","58"
"73","6","100","200","75"
"75","10","100","200","58"
"72","4","100","200","100"
"71","2","100","200","100"
"79","18","100","200","29"
"51","2","50","200","100"
"87","14","125","200","35"
"81","2","125","200","100"
"82","4","125","200","100"
"84","8","125","200","65"
"89","18","125","200","34"
"88","16","125","200","35"
"83","6","125","200","87"
"48","16","150","200","25"
"90","20","125","200","26"
"49","18","150","200","34"
"78","16","100","200","32"
"95","10","150","200","55"
"80","20","100","200","27"
"91","2","150","200","100"
"94","8","150","200","64"
"93","6","150","200","80"
"69","18","75","200","29"
"65","10","75","200","48"
"61","2","75","200","100"
"92","4","150","200","100"
"85","10","125","200","48"
"64","8","75","200","65"
"97","14","150","200","34"
"86","12","125","200","49"
"98","16","150","200","24"
"99","18","150","200","30"
"100","20","150","200","37"
"96","12","150","200","32"
