"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2 Constant Growback_custom.nlogo"
"gini-by-max-endowment-1000"
"03/05/2024 23:32:16:149 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar","(mean) gini-index-reserve","(std) gini-index-reserve"
"50","20","color-agents-by-vision","400","500","533.4112619406737","N/A","552.5","N/A","405.4737141919878","N/A","50.70938093938061","N/A"
"60","20","color-agents-by-vision","400","500","552.816981509791","N/A","569.5","N/A","384.726196399245","N/A","46.120403187155034","N/A"
"70","20","color-agents-by-vision","400","500","567.8017276422764","N/A","565.25","N/A","380.0731731242351","N/A","46.019870630157556","N/A"
"80","20","color-agents-by-vision","400","500","567.218646198043","N/A","570","N/A","386.7393009918421","N/A","45.56671666221284","N/A"
"90","20","color-agents-by-vision","400","500","583.5167364016736","N/A","571","N/A","396.37713092739546","N/A","46.44419947904235","N/A"
"100","20","color-agents-by-vision","400","500","554.7010023400218","N/A","560.5","N/A","388.8973519309037","N/A","46.35118433840846","N/A"
"110","20","color-agents-by-vision","400","500","573.2903404255319","N/A","565","N/A","399.71688005349745","N/A","48.119553385187004","N/A"
"120","20","color-agents-by-vision","400","500","573.2304358726407","N/A","565.75","N/A","392.03475602539197","N/A","46.060341163852776","N/A"
"130","20","color-agents-by-vision","400","500","600.9688685799797","N/A","598.5","N/A","399.1420845800619","N/A","44.83498685487905","N/A"
"140","20","color-agents-by-vision","400","500","597.9915159230827","N/A","596.75","N/A","395.418253092016","N/A","43.23356995003522","N/A"
"150","20","color-agents-by-vision","400","500","629.3782005048683","N/A","610.25","N/A","393.30821545017363","N/A","41.812655382955455","N/A"
"160","20","color-agents-by-vision","400","500","594.6420504910825","N/A","604.5","N/A","402.30387461015516","N/A","45.804914542849914","N/A"
"170","20","color-agents-by-vision","400","500","584.4937584256876","N/A","575","N/A","402.37816263793934","N/A","46.991593251958356","N/A"
"180","20","color-agents-by-vision","400","500","584.3851063829787","N/A","593.5","N/A","404.082674881387","N/A","46.26139743361895","N/A"
"190","20","color-agents-by-vision","400","500","524.8484329774983","N/A","543","N/A","381.81831174977924","N/A","52.18700986969053","N/A"
