"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2 Constant Growback_custom.nlogo"
"gini-by-max-endowment-1000"
"03/05/2024 23:31:13:854 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","mean-sugar","median-sugar","sd-sugar","gini-index-reserve"
"4","60","20","color-agents-by-vision","400","500","532.5219298245614","560","377.3043554075081","45.480974344191395"
"3","60","20","color-agents-by-vision","400","500","573.1120331950208","579","392.14803739098187","46.759832030118666"
"1","50","20","color-agents-by-vision","400","500","512.8823529411765","544.5","398.5123110396172","52.06150770894436"
"2","50","20","color-agents-by-vision","400","500","553.9401709401709","560.5","412.43511734435845","49.357254169816855"
"6","70","20","color-agents-by-vision","400","500","546.2416666666667","560.5","386.87910160773595","48.236464324398526"
"5","70","20","color-agents-by-vision","400","500","589.3617886178862","570","373.26724464073425","43.80327693591658"
"7","80","20","color-agents-by-vision","400","500","535.3191489361702","555","376.9244469841607","46.858275039745656"
"8","80","20","color-agents-by-vision","400","500","599.1181434599156","585","396.55415499952346","44.275158284680025"
"10","90","20","color-agents-by-vision","400","500","637.9163179916318","598","398.8119980324329","42.48136584853931"
"9","90","20","color-agents-by-vision","400","500","529.1171548117155","544","393.94226382235803","50.40703310954538"
"11","100","20","color-agents-by-vision","400","500","542.6593886462882","561","389.5527880828647","46.53624797817639"
"12","100","20","color-agents-by-vision","400","500","566.7426160337553","560","388.24191577894265","46.16612069864053"
"13","110","20","color-agents-by-vision","400","500","570.5446808510638","566","398.52977819254755","46.69862318948671"
"14","110","20","color-agents-by-vision","400","500","576.036","564","400.9039819144473","49.5404835808873"
"15","120","20","color-agents-by-vision","400","500","555.9674796747968","566.5","392.25856601428245","49.166727597098735"
"16","120","20","color-agents-by-vision","400","500","590.4933920704846","565","391.81094603650143","42.95395473060682"
"17","130","20","color-agents-by-vision","400","500","625.4891774891775","617","395.62848032918635","41.53028625214548"
"18","130","20","color-agents-by-vision","400","500","576.448559670782","580","402.65568883093755","48.139687457612624"
"19","140","20","color-agents-by-vision","400","500","566.4449152542373","567.5","386.4161701161415","45.65804789012651"
"20","140","20","color-agents-by-vision","400","500","629.5381165919282","626","404.4203360678906","40.80909200994393"
"21","150","20","color-agents-by-vision","400","500","655.2457627118644","629.5","394.5705003788334","40.35872165961795"
"22","150","20","color-agents-by-vision","400","500","603.5106382978723","591","392.04593052151387","43.26658910629296"
"23","160","20","color-agents-by-vision","400","500","545.6680672268908","585","401.0847778966233","49.350626400449684"
"24","160","20","color-agents-by-vision","400","500","643.6160337552743","624","403.52297132368705","42.25920268525014"
"25","170","20","color-agents-by-vision","400","500","602.4978902953586","588","407.07627054141","45.7479970866715"
"26","170","20","color-agents-by-vision","400","500","566.4896265560166","562","397.6800547344687","48.23518941724521"
"27","180","20","color-agents-by-vision","400","500","629.9617021276596","640","412.50740814543934","43.744489702177084"
