"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2 Constant Growback_custom.nlogo"
"mean-sugar-by-max-endowment-1000"
"03/05/2024 23:28:38:089 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar"
"100","20","color-agents-by-vision","400","500","608.0231252179979","N/A","590","N/A","404.39255221852886","N/A"
"110","20","color-agents-by-vision","400","500","569.1044425317797","N/A","576.25","N/A","385.063579951718","N/A"
"120","20","color-agents-by-vision","400","500","557.2821201846775","N/A","571.5","N/A","402.02847068187236","N/A"
"130","20","color-agents-by-vision","400","500","555.9650921539472","N/A","567.75","N/A","403.28725475421913","N/A"
"140","20","color-agents-by-vision","400","500","566.8465081967213","N/A","579.5","N/A","398.5648936340109","N/A"
"150","20","color-agents-by-vision","400","500","580.2008758216081","N/A","582","N/A","408.0658331587596","N/A"
"160","20","color-agents-by-vision","400","500","603.3541267501842","N/A","608.75","N/A","400.57855167714024","N/A"
"170","20","color-agents-by-vision","400","500","590.5065843201307","N/A","592.5","N/A","390.471893481385","N/A"
"180","20","color-agents-by-vision","400","500","607.6420058267855","N/A","616.5","N/A","397.4862199388789","N/A"
"190","20","color-agents-by-vision","400","500","562.0294874365143","N/A","583","N/A","395.0178622373768","N/A"
"200","20","color-agents-by-vision","400","500","618.8113619676946","N/A","621.5","N/A","397.0377656355761","N/A"
"210","20","color-agents-by-vision","400","500","628.9907880916714","N/A","623","N/A","408.0495533788861","N/A"
"220","20","color-agents-by-vision","400","500","603.7589081581442","N/A","607.5","N/A","402.92400551028413","N/A"
"230","20","color-agents-by-vision","400","500","616.2686741363211","N/A","626","N/A","408.70941653075784","N/A"
"240","20","color-agents-by-vision","400","500","624.0865247262091","N/A","625.5","N/A","393.42575686314603","N/A"
"250","20","color-agents-by-vision","400","500","643.3614406779661","N/A","630","N/A","401.519990427237","N/A"
"260","20","color-agents-by-vision","400","500","629.7488511841641","N/A","615","N/A","394.4880733309585","N/A"
"270","20","color-agents-by-vision","400","500","622.7650219621869","N/A","619","N/A","402.0527090129415","N/A"
"280","20","color-agents-by-vision","400","500","617.7439024390244","N/A","617","N/A","395.03334249757944","N/A"
"290","20","color-agents-by-vision","400","500","643.8368896925858","N/A","649","N/A","404.76502229094103","N/A"
"300","20","color-agents-by-vision","400","500","622.5198879168945","N/A","629.75","N/A","406.8849606368992","N/A"
"310","20","color-agents-by-vision","400","500","668.7355657780354","N/A","666.75","N/A","405.5735381422336","N/A"
"320","20","color-agents-by-vision","400","500","652.9543718313772","N/A","654.5","N/A","404.9553433001512","N/A"
"330","20","color-agents-by-vision","400","500","628.9423076923076","N/A","617.5","N/A","415.0215984873498","N/A"
"340","20","color-agents-by-vision","400","500","684.7450982032321","N/A","690.5","N/A","405.4948893614968","N/A"
"350","20","color-agents-by-vision","400","500","668.1300341880342","N/A","651","N/A","400.51589595342847","N/A"
"360","20","color-agents-by-vision","400","500","609.730900967982","N/A","592","N/A","392.5204979891056","N/A"
"370","20","color-agents-by-vision","400","500","631.2702481715097","N/A","601.5","N/A","398.0243193804394","N/A"
"380","20","color-agents-by-vision","400","500","676.0828043007596","N/A","660.25","N/A","427.8242247471098","N/A"
