"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2-change.nlogo"
"exp1-2"
"03/07/2024 00:46:30:555 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) gini-index","(std) gini-index","(mean) survival-ratio","(std) survival-ratio","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar"
"25","5","color-agents-by-vision","0","0","0","N/A","1","N/A","0","N/A","0","N/A","0","N/A"
"25","5","color-agents-by-vision","20","1000","0.3689502275842658","N/A","0.75","N/A","1536.2142857142858","N/A","1507.25","N/A","1047.5632306431173","N/A"
"25","5","color-agents-by-vision","40","1000","0.4018713834086757","N/A","0.6875","N/A","1523.1210317460318","N/A","1504.75","N/A","1080.0887458036996","N/A"
"25","5","color-agents-by-vision","60","1000","0.34408430925776246","N/A","0.7","N/A","1719.5784090909092","N/A","1920.25","N/A","1051.9189399071365","N/A"
"25","5","color-agents-by-vision","80","1000","0.3172807357432407","N/A","0.6375","N/A","1637.7663442940038","N/A","1489","N/A","891.3003983692898","N/A"
"25","5","color-agents-by-vision","100","1000","0.31153080246802656","N/A","0.6499999999999999","N/A","1728.075433594678","N/A","1792","N/A","951.3121288989582","N/A"
"25","5","color-agents-by-vision","120","1000","0.317907590875288","N/A","0.6291666666666667","N/A","1575.7408579465541","N/A","1744.25","N/A","884.2671994233427","N/A"
"25","5","color-agents-by-vision","140","1000","0.3273332883825347","N/A","0.6214285714285714","N/A","1543.7840713813616","N/A","1698.5","N/A","886.4606450541999","N/A"
"25","5","color-agents-by-vision","160","1000","0.3496746457695747","N/A","0.625","N/A","1500.2323717948718","N/A","1507.5","N/A","915.1191179827347","N/A"
"25","5","color-agents-by-vision","180","1000","0.3481052730220303","N/A","0.6138888888888889","N/A","1402.6526548672566","N/A","1424.5","N/A","853.4070800775937","N/A"
"25","5","color-agents-by-vision","200","1000","0.3664976717760906","N/A","0.5825","N/A","1380.7467363892597","N/A","1303.5","N/A","884.1573023488648","N/A"
