"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2-change.nlogo"
"exp2-2"
"03/07/2024 01:58:29:483 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","gini-index","survival-ratio","mean-sugar","median-sugar","sd-sugar"
"2","20","0","color-agents-by-vision","500","1000","0.39030156405322547","0.516","1091.6356589147288","1029.5","752.849450258564"
"3","20","5","color-agents-by-vision","500","1000","0.398724202893477","0.52","1082.8307692307692","1032","765.8387900409931"
"4","20","5","color-agents-by-vision","500","1000","0.35861417074126867","0.532","1151.6203007518798","1037.5","732.1965213318589"
"1","20","0","color-agents-by-vision","500","1000","0.3292762317763395","0.522","1193.2222222222222","1078","696.0454038879249"
"6","20","10","color-agents-by-vision","500","1000","0.39736880240568184","0.502","1100.5019920318725","1106","771.3482812556315"
"8","20","15","color-agents-by-vision","500","1000","0.32849848441336293","0.486","1222.0617283950617","1096","713.2304522326862"
"5","20","10","color-agents-by-vision","500","1000","0.38200863496118426","0.536","1119.4067164179105","1072.5","757.6003775669283"
"7","20","15","color-agents-by-vision","500","1000","0.3830638159855207","0.508","1125.9251968503936","1064","765.5670186175862"
"9","20","20","color-agents-by-vision","500","1000","0.31610307990591974","0.52","1227.176923076923","1071","693.495693899881"
"10","20","20","color-agents-by-vision","500","1000","0.394299978263227","0.51","1111.1960784313726","1051","777.3051828134529"
"11","20","25","color-agents-by-vision","500","1000","0.339826465727392","0.518","1208.146718146718","1091","732.6932753579028"
"12","20","25","color-agents-by-vision","500","1000","0.3547442457220153","0.534","1166.0711610486892","1079","732.6103592811737"
"13","20","30","color-agents-by-vision","500","1000","0.37379011279028995","0.534","1142.2359550561798","1081","755.859974637343"
"14","20","30","color-agents-by-vision","500","1000","0.3660926600285162","0.536","1116.0111940298507","1032.5","723.8211207580903"
"15","25","0","color-agents-by-vision","500","1000","0.35175364293731476","0.538","1126.100371747212","1060","702.6926471123999"
"16","25","0","color-agents-by-vision","500","1000","0.38727883121412954","0.528","1087.090909090909","1059","745.4980365518026"
"17","25","5","color-agents-by-vision","500","1000","0.37999577113375915","0.52","1050.426923076923","1042","708.3339079424868"
"19","25","10","color-agents-by-vision","500","1000","0.3697704712307512","0.514","1134.1517509727626","1061","742.5734682763301"
"18","25","5","color-agents-by-vision","500","1000","0.3517540447431196","0.528","1130.7045454545455","1065.5","706.4429102047097"
"20","25","10","color-agents-by-vision","500","1000","0.40737356552824766","0.522","1087.8620689655172","1070","785.0174888656517"
"21","25","15","color-agents-by-vision","500","1000","0.3471588791988826","0.516","1195.3255813953488","1067","739.5462765376561"
"24","25","20","color-agents-by-vision","500","1000","0.3482674496427561","0.488","1198.4959016393443","1082.5","742.1594977818063"
"22","25","15","color-agents-by-vision","500","1000","0.3652002224985007","0.508","1109.4330708661416","1089.5","718.193474660058"
"23","25","20","color-agents-by-vision","500","1000","0.35338180059554686","0.508","1134.6614173228347","1023","706.7881672517964"
"25","25","25","color-agents-by-vision","500","1000","0.37496120256678156","0.526","1088.8250950570343","1078","723.0324128660191"
"28","25","30","color-agents-by-vision","500","1000","0.3264873403039909","0.504","1220.4126984126983","1097","712.7360867809774"
"26","25","25","color-agents-by-vision","500","1000","0.377285304569391","0.508","1132.3622047244094","1091.5","754.0317946483257"
"27","25","30","color-agents-by-vision","500","1000","0.3778977763822134","0.55","1107.6036363636363","1034","744.5489395227106"
"29","30","0","color-agents-by-vision","500","1000","0.37790831637826205","0.524","1126.530534351145","1084","755.5452910339293"
"30","30","0","color-agents-by-vision","500","1000","0.382524733748237","0.49","1134.2571428571428","1103","769.558135939166"
"31","30","5","color-agents-by-vision","500","1000","0.3817425221410792","0.502","1142.231075697211","1094","775.057382643658"
"32","30","5","color-agents-by-vision","500","1000","0.3544324777368924","0.494","1200.9757085020242","1115","752.2783060902583"
"33","30","10","color-agents-by-vision","500","1000","0.3690632941529211","0.512","1110.15625","1062","726.1795050326136"
"34","30","10","color-agents-by-vision","500","1000","0.33517999319279995","0.516","1181.9031007751937","1032","702.5991118516899"
"35","30","15","color-agents-by-vision","500","1000","0.33115903147220077","0.508","1204.2007874015749","1060","708.241670528426"
"36","30","15","color-agents-by-vision","500","1000","0.37819420572595475","0.512","1109.63671875","1062","743.4230822848434"
"38","30","20","color-agents-by-vision","500","1000","0.4000641393279196","0.508","1089.8661417322835","1076.5","771.823454205516"
"37","30","20","color-agents-by-vision","500","1000","0.36184060003474644","0.52","1157.4923076923078","1066","739.4327811088966"
"39","30","25","color-agents-by-vision","500","1000","0.38190280795770415","0.538","1106.089219330855","1035","748.9171183910568"
"40","30","25","color-agents-by-vision","500","1000","0.38662668967537467","0.534","1088.74531835206","1070","743.938661373298"
"42","30","30","color-agents-by-vision","500","1000","0.38440093728398483","0.522","1133.2260536398467","1069","771.3620263056056"
"41","30","30","color-agents-by-vision","500","1000","0.3325649950939482","0.534","1199.9737827715355","1073","711.4893751062064"
"43","35","0","color-agents-by-vision","500","1000","0.3880711016989879","0.528","1106.9772727272727","1073.5","760.0710089491671"
"44","35","0","color-agents-by-vision","500","1000","0.33424640056910454","0.528","1225.9015151515152","1089","732.2871183654205"
"46","35","5","color-agents-by-vision","500","1000","0.36328154632968596","0.514","1170.330739299611","1074","755.0042707018067"
"45","35","5","color-agents-by-vision","500","1000","0.3563535122423272","0.53","1147.0830188679245","1056","725.5082496805177"
"47","35","10","color-agents-by-vision","500","1000","0.34399613126097256","0.526","1166.3269961977187","1065","708.147346007691"
"48","35","10","color-agents-by-vision","500","1000","0.3721974932711032","0.522","1113.9885057471265","1078","731.6175465929987"
"49","35","15","color-agents-by-vision","500","1000","0.36134223066407123","0.53","1178.2792452830188","1087","756.3468704194975"
"50","35","15","color-agents-by-vision","500","1000","0.3686342647172587","0.522","1163.8697318007662","1075","759.7023900360368"
"51","35","20","color-agents-by-vision","500","1000","0.33283255424141767","0.522","1221.9463601532566","1097","724.9879501625742"
"52","35","20","color-agents-by-vision","500","1000","0.33302525850554443","0.528","1226.4204545454545","1078","728.891815580038"
"53","35","25","color-agents-by-vision","500","1000","0.3747738849881663","0.518","1113.5868725868727","1053","736.0677283764284"
"54","35","25","color-agents-by-vision","500","1000","0.389223353711025","0.524","1063.7900763358778","1053.5","731.6572786405761"
"55","35","30","color-agents-by-vision","500","1000","0.3636796800244496","0.494","1116.2550607287449","1055","715.5935364970238"
"56","35","30","color-agents-by-vision","500","1000","0.3621586000548585","0.516","1109.0193798449613","1069","714.6574072516787"
"57","40","0","color-agents-by-vision","500","1000","0.33175666439913076","0.528","1190.2878787878788","1075","701.78757123341"
"58","40","0","color-agents-by-vision","500","1000","0.33055153119129344","0.536","1239.9328358208954","1111","731.549069041782"
"59","40","5","color-agents-by-vision","500","1000","0.3924487679943879","0.508","1129.5866141732283","1086","784.7829276025793"
"60","40","5","color-agents-by-vision","500","1000","0.3702708403886958","0.546","1105.1062271062272","1035","723.9681498910493"
"62","40","10","color-agents-by-vision","500","1000","0.3415281469770643","0.536","1225.19776119403","1090","747.267457894379"
"61","40","10","color-agents-by-vision","500","1000","0.36589320855402446","0.532","1160.4398496240601","1074.5","751.6678550349267"
"63","40","15","color-agents-by-vision","500","1000","0.4069044921848662","0.528","1082.0189393939395","1047.5","779.5349030281934"
"64","40","15","color-agents-by-vision","500","1000","0.3911835187960584","0.55","1065.3345454545454","1022","739.0415257087818"
"66","40","20","color-agents-by-vision","500","1000","0.34312886937616144","0.516","1172.3837209302326","1052","715.7570480241307"
"65","40","20","color-agents-by-vision","500","1000","0.3360750028854487","0.534","1181.2284644194756","1049","711.356913324176"
"67","40","25","color-agents-by-vision","500","1000","0.36795091069185876","0.548","1121.8065693430658","1035.5","731.1389698386755"
