"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2-change.nlogo"
"mean-sugar-by-max-endowment-1000"
"03/06/2024 00:19:36:765 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar"
"100","20","color-agents-by-vision","400","500","563.2839031054245","N/A","582.75","N/A","401.8715168061393","N/A"
"110","20","color-agents-by-vision","400","500","592.648033126294","N/A","597","N/A","401.310922823443","N/A"
"120","20","color-agents-by-vision","400","500","584.3502089992623","N/A","575.5","N/A","391.53161152480436","N/A"
"130","20","color-agents-by-vision","400","500","591.4388075313807","N/A","587.75","N/A","396.4626119259623","N/A"
"140","20","color-agents-by-vision","400","500","614.946142014868","N/A","605.5","N/A","391.3844410865091","N/A"
"150","20","color-agents-by-vision","400","500","592.6902446212791","N/A","591.5","N/A","406.0931972951272","N/A"
"160","20","color-agents-by-vision","400","500","598.0674718944533","N/A","606","N/A","408.6396435835629","N/A"
"170","20","color-agents-by-vision","400","500","624.4441460055097","N/A","622.25","N/A","401.0432367974372","N/A"
"180","20","color-agents-by-vision","400","500","592.7663673469388","N/A","597","N/A","403.42322101978937","N/A"
"190","20","color-agents-by-vision","400","500","614.8712009803921","N/A","592.5","N/A","387.9353043312175","N/A"
"200","20","color-agents-by-vision","400","500","585.0194301192894","N/A","584","N/A","386.18989219542783","N/A"
"210","20","color-agents-by-vision","400","500","609.0661917772574","N/A","604.5","N/A","391.8317396813014","N/A"
"220","20","color-agents-by-vision","400","500","612.3003884523705","N/A","620","N/A","392.8293520913104","N/A"
"230","20","color-agents-by-vision","400","500","591.1496234839398","N/A","585","N/A","395.15336216557444","N/A"
"240","20","color-agents-by-vision","400","500","607.7522074861042","N/A","626.5","N/A","403.07099095203023","N/A"
"250","20","color-agents-by-vision","400","500","604.8303797468354","N/A","601.25","N/A","393.40634035268704","N/A"
"260","20","color-agents-by-vision","400","500","615.5962429149797","N/A","623.5","N/A","407.26544082016676","N/A"
"270","20","color-agents-by-vision","400","500","621.321719858156","N/A","636.75","N/A","388.15509110603074","N/A"
"280","20","color-agents-by-vision","400","500","638.5327929558921","N/A","642.25","N/A","395.8291297346189","N/A"
"290","20","color-agents-by-vision","400","500","612.1977303198621","N/A","593","N/A","413.8273338714198","N/A"
"300","20","color-agents-by-vision","400","500","663.2383641709696","N/A","663.75","N/A","413.7435548726666","N/A"
"310","20","color-agents-by-vision","400","500","615.2132614272027","N/A","625","N/A","411.60024418627694","N/A"
"320","20","color-agents-by-vision","400","500","643.3149590163935","N/A","643","N/A","409.3396479732644","N/A"
"330","20","color-agents-by-vision","400","500","685.4199826913227","N/A","681","N/A","413.3864855188205","N/A"
"340","20","color-agents-by-vision","400","500","624.6810682160825","N/A","594.5","N/A","411.70299768561404","N/A"
"350","20","color-agents-by-vision","400","500","641.6577454603889","N/A","628.25","N/A","411.78782274545244","N/A"
"360","20","color-agents-by-vision","400","500","646.061784351145","N/A","642.5","N/A","391.784056507374","N/A"
"370","20","color-agents-by-vision","400","500","663.064312814694","N/A","671","N/A","413.42766397857076","N/A"
"380","20","color-agents-by-vision","400","500","668.0517418032787","N/A","645","N/A","412.211134087148","N/A"
"390","20","color-agents-by-vision","400","500","661.6728075617082","N/A","664.75","N/A","421.6693055344496","N/A"
"400","20","color-agents-by-vision","400","500","694.9262011253787","N/A","702.5","N/A","416.68214858730147","N/A"
"410","20","color-agents-by-vision","400","500","674.8537264957265","N/A","673.25","N/A","417.5354677139319","N/A"
"420","20","color-agents-by-vision","400","500","635.8752193484397","N/A","622.5","N/A","393.10285076945337","N/A"
