"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2-change.nlogo"
"mean-sugar-by-max-endowment-1000"
"03/06/2024 00:18:41:687 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","mean-sugar","median-sugar","sd-sugar"
"3","110","20","color-agents-by-vision","400","500","619.9047619047619","615","402.98029892918044"
"4","110","20","color-agents-by-vision","400","500","565.3913043478261","579","399.6415467177056"
"2","100","20","color-agents-by-vision","400","500","540.8401639344262","580.5","393.86809623014216"
"1","100","20","color-agents-by-vision","400","500","585.7276422764228","585","409.8749373821365"
"5","120","20","color-agents-by-vision","400","500","589.3510204081633","573","384.2011288729292"
"6","120","20","color-agents-by-vision","400","500","579.3493975903615","578","398.86209417667953"
"7","130","20","color-agents-by-vision","400","500","606.6276150627615","592","404.4785098722674"
"8","130","20","color-agents-by-vision","400","500","576.25","583.5","388.4467139796572"
"9","140","20","color-agents-by-vision","400","500","655.0127659574468","646","406.05363084004694"
"11","150","20","color-agents-by-vision","400","500","554.5172413793103","564.5","404.54344921015667"
"10","140","20","color-agents-by-vision","400","500","574.8795180722891","565","376.71525133297126"
"12","150","20","color-agents-by-vision","400","500","630.8632478632478","618.5","407.6429453800978"
"13","160","20","color-agents-by-vision","400","500","614.9519650655022","622","414.12066251410533"
"14","160","20","color-agents-by-vision","400","500","581.1829787234043","590","403.1586246530204"
"15","170","20","color-agents-by-vision","400","500","619.904958677686","610","397.0476669756769"
"16","170","20","color-agents-by-vision","400","500","628.9833333333333","634.5","405.03880661919743"
"17","180","20","color-agents-by-vision","400","500","585.696","592","398.88164390880354"
"18","180","20","color-agents-by-vision","400","500","599.8367346938776","602","407.9647981307752"
"19","190","20","color-agents-by-vision","400","500","618.0549019607843","607","380.7269529754087"
"20","190","20","color-agents-by-vision","400","500","611.6875","578","395.14365568702624"
"21","200","20","color-agents-by-vision","400","500","549.9071729957806","546","385.20189488268556"
