"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2-change.nlogo"
"pop-endowment"
"03/06/2024 22:48:42:305 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","initial-population","visualization","[step]","(mean) count turtles","(std) count turtles","(mean) gini-index-reserve","(std) gini-index-reserve","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) mean-lowviz","(std) mean-lowviz","(mean) mean-hiviz","(std) mean-hiviz","(mean) median-lowviz","(std) median-lowviz","(mean) median-hiviz","(std) median-hiviz","(mean) sd-lowviz","(std) sd-lowviz","(mean) sd-hiviz","(std) sd-hiviz","(mean) mean-lowmtb","(std) mean-lowmtb","(mean) mean-himtb","(std) mean-himtb","(mean) median-lowmtb","(std) median-lowmtb","(mean) median-himtb","(std) median-himtb","(mean) sd-lowmtb","(std) sd-lowmtb","(mean) sd-himtb","(std) sd-himtb","(mean) starve-count","(std) starve-count","(mean) age-death-count","(std) age-death-count"
"25","0","100","color-agents-by-vision","500","63","N/A","9.436006188183358","N/A","913.1587301587301","N/A","995","N/A","790.7619047619048","N/A","916.8695652173913","N/A","861","N/A","995","N/A","462.03061638401243","N/A","506.60943395980604","N/A","1235.6774193548388","N/A","2","N/A","1424","N/A","2","N/A","427.5657756101607","N/A","1.4142135623730951","N/A","0","N/A","0","N/A"
"25","0","200","color-agents-by-vision","500","121","N/A","21.246459638733956","N/A","720.1487603305785","N/A","776","N/A","552.2727272727273","N/A","811.2222222222222","N/A","549","N/A","811","N/A","427.7907105647042","N/A","434.427650648297","N/A","1030.6851851851852","N/A","0","N/A","1181","N/A","0","N/A","412.516200897365","N/A","0","N/A","0","N/A","0","N/A"
"25","0","300","color-agents-by-vision","500","170","N/A","31.661066511678598","N/A","647.7411764705882","N/A","667.5","N/A","691.8108108108108","N/A","662.4683544303797","N/A","941","N/A","678","N/A","410.103295784383","N/A","428.8341630168174","N/A","964.9358974358975","N/A","0","N/A","1071","N/A","0","N/A","358.69859791917804","N/A","0","N/A","0","N/A","0","N/A"
"25","0","400","color-agents-by-vision","500","238","N/A","47.125839236218056","N/A","545.7142857142857","N/A","558","N/A","632.8793103448276","N/A","550.9354838709677","N/A","716.5","N/A","581","N/A","283.9209846583035","N/A","396.47818642917224","N/A","872.2688172043011","N/A","0","N/A","1019","N/A","0","N/A","333.55591213028146","N/A","0","N/A","0","N/A","0","N/A"
"25","0","500","color-agents-by-vision","500","252","N/A","44.10495343295073","N/A","597.7896825396825","N/A","544.5","N/A","564.051724137931","N/A","566","N/A","492","N/A","546","N/A","332.1499039307188","N/A","399.736688333708","N/A","902.7304347826087","N/A","0","N/A","990","N/A","0","N/A","274.34270160740186","N/A","0","N/A","0","N/A","0","N/A"
"25","0","600","color-agents-by-vision","500","303","N/A","49.3889756652187","N/A","597.9570957095709","N/A","544","N/A","539.1075268817204","N/A","636.2777777777778","N/A","607","N/A","532","N/A","327.2487241269709","N/A","364.96418550019297","N/A","782.4228571428572","N/A","0","N/A","924","N/A","0","N/A","326.440192798847","N/A","0","N/A","0","N/A","0","N/A"
"25","0","700","color-agents-by-vision","500","314","N/A","45.102655084465376","N/A","596.859872611465","N/A","512","N/A","452.7708333333333","N/A","680.2644628099174","N/A","542","N/A","513","N/A","302.5294932700705","N/A","287.80415124974144","N/A","781.9112426035502","N/A","0","N/A","907","N/A","0","N/A","289.56463285256706","N/A","0","N/A","0","N/A","0","N/A"
"25","0","800","color-agents-by-vision","500","353","N/A","55.7116129711518","N/A","538.1303116147309","N/A","531","N/A","408.6292134831461","N/A","617.5693430656934","N/A","356","N/A","766","N/A","296.48828667735654","N/A","267.1086966348112","N/A","728.3248730964467","N/A","0","N/A","777","N/A","0","N/A","253.61487764696858","N/A","0","N/A","0","N/A","0","N/A"
"25","0","900","color-agents-by-vision","500","412","N/A","73.79617195902557","N/A","464.8883495145631","N/A","372.5","N/A","296.7967479674797","N/A","573.7046979865772","N/A","153","N/A","766","N/A","258.2399747899258","N/A","267.13868003280936","N/A","664.1238938053098","N/A","0","N/A","767.5","N/A","0","N/A","247.10439117437747","N/A","0","N/A","0","N/A","0","N/A"
"25","0","1000","color-agents-by-vision","500","432","N/A","76.19720542655362","N/A","455.5787037037037","N/A","535","N/A","314.2170542635659","N/A","564.3537414965987","N/A","191","N/A","763","N/A","259.24779896728126","N/A","263.6738542349965","N/A","631.9442231075698","N/A","0","N/A","730","N/A","0","N/A","243.24359164527644","N/A","0","N/A","0","N/A","0","N/A"
