"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2-change.nlogo"
"pop-endowment1"
"03/06/2024 23:21:32:982 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","initial-population","visualization","[step]","(mean) count turtles","(std) count turtles","(mean) gini-index-reserve","(std) gini-index-reserve","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) mean-lowviz","(std) mean-lowviz","(mean) mean-hiviz","(std) mean-hiviz","(mean) median-lowviz","(std) median-lowviz","(mean) median-hiviz","(std) median-hiviz","(mean) sd-lowviz","(std) sd-lowviz","(mean) sd-hiviz","(std) sd-hiviz","(mean) mean-lowmtb","(std) mean-lowmtb","(mean) mean-himtb","(std) mean-himtb","(mean) median-lowmtb","(std) median-lowmtb","(mean) median-himtb","(std) median-himtb","(mean) sd-lowmtb","(std) sd-lowmtb","(mean) sd-himtb","(std) sd-himtb","(mean) starve-count","(std) starve-count","(mean) age-death-count","(std) age-death-count"
"25","0","100","color-agents-by-vision","500","67","N/A","10.577188338465415","N/A","828.8507462686567","N/A","862","N/A","693.3846153846154","N/A","925.2142857142857","N/A","704","N/A","929.5","N/A","436.0574385830263","N/A","502.9716402536737","N/A","1200.1153846153845","N/A","0","N/A","1400","N/A","0","N/A","454.7072312530846","N/A","0","N/A","0","N/A","0","N/A"
"25","0","120","color-agents-by-vision","500","79","N/A","10.906548105225847","N/A","821.379746835443","N/A","900","N/A","727.2608695652174","N/A","878.3571428571429","N/A","652","N/A","922","N/A","350.00989822254303","N/A","411.775578421216","N/A","1262.9655172413793","N/A","0","N/A","1289","N/A","0","N/A","148.8521516612615","N/A","0","N/A","0","N/A","0","N/A"
"25","0","140","color-agents-by-vision","500","86","N/A","13.327168489380172","N/A","789.9883720930233","N/A","848.5","N/A","567.04","N/A","892.5365853658536","N/A","558","N/A","909","N/A","414.10440309983017","N/A","428.0688669805932","N/A","1093.875","N/A","0","N/A","1365.5","N/A","0","N/A","493.870803923194","N/A","0","N/A","0","N/A","0","N/A"
"25","0","160","color-agents-by-vision","500","98","N/A","14.649261300697992","N/A","764.5816326530612","N/A","771.5","N/A","637.5","N/A","838.921052631579","N/A","574","N/A","861.5","N/A","345.9984920801522","N/A","419.69895141050597","N/A","1152.1142857142856","N/A","0","N/A","1267","N/A","0","N/A","317.0211322914101","N/A","0","N/A","0","N/A","0","N/A"
"25","0","180","color-agents-by-vision","500","111","N/A","20.048951146616005","N/A","645.063063063063","N/A","618","N/A","481","N/A","677.0851063829788","N/A","559","N/A","788","N/A","369.9946985067177","N/A","423.1549120073719","N/A","969.7647058823529","N/A","0","N/A","1176","N/A","0","N/A","505.5107263690389","N/A","0","N/A","0","N/A","0","N/A"
"25","0","200","color-agents-by-vision","500","123","N/A","23.432493971036497","N/A","664.1382113821138","N/A","641","N/A","466.93333333333334","N/A","824.8863636363636","N/A","521","N/A","839","N/A","377.25066419605366","N/A","445.09320768874403","N/A","920.4897959183673","N/A","0","N/A","1147","N/A","0","N/A","535.3977930181514","N/A","0","N/A","0","N/A","0","N/A"
"25","0","220","color-agents-by-vision","500","132","N/A","24.648787435172885","N/A","667.5681818181819","N/A","661","N/A","568.2058823529412","N/A","814.0943396226415","N/A","534.5","N/A","792","N/A","390.85088060977967","N/A","455.7079979443206","N/A","1026.8461538461538","N/A","0","N/A","1202.5","N/A","0","N/A","416.7358868596293","N/A","0","N/A","0","N/A","0","N/A"
"25","0","240","color-agents-by-vision","500","147","N/A","27.257827670600125","N/A","592.047619047619","N/A","560","N/A","471.40425531914894","N/A","660.5283018867924","N/A","508","N/A","720","N/A","331.9339679995607","N/A","396.2026289943833","N/A","951.4285714285714","N/A","0","N/A","1118.5","N/A","0","N/A","436.6388887441922","N/A","0","N/A","0","N/A","0","N/A"
"25","0","260","color-agents-by-vision","500","144","N/A","26.851946094705575","N/A","635.8888888888889","N/A","623","N/A","621.0666666666667","N/A","683.0961538461538","N/A","551","N/A","762","N/A","353.7561049906868","N/A","470.9745115960654","N/A","960.9074074074074","N/A","0","N/A","1083.5","N/A","0","N/A","441.452759006738","N/A","0","N/A","0","N/A","0","N/A"
"25","0","280","color-agents-by-vision","500","166","N/A","31.43992045022575","N/A","649.7409638554217","N/A","647","N/A","588.9473684210526","N/A","712.0677966101695","N/A","532.5","N/A","684","N/A","383.53631544243353","N/A","442.3740367921924","N/A","972.8","N/A","0","N/A","1108","N/A","0","N/A","389.250110659777","N/A","0","N/A","0","N/A","0","N/A"
"25","0","300","color-agents-by-vision","500","170","N/A","29.492480491435145","N/A","683.7117647058824","N/A","696","N/A","615.9607843137255","N/A","729.7142857142857","N/A","542","N/A","706","N/A","375.0184507879214","N/A","414.5506089409011","N/A","1009.9875","N/A","0","N/A","1106","N/A","0","N/A","322.4665812829351","N/A","0","N/A","0","N/A","0","N/A"
"25","0","320","color-agents-by-vision","500","189","N/A","33.243098071868225","N/A","648.1587301587301","N/A","623","N/A","522.0930232558139","N/A","709.1309523809524","N/A","503","N/A","675","N/A","370.3282851196893","N/A","404.8146022106138","N/A","989.2025316455696","N/A","0","N/A","1074","N/A","0","N/A","320.5510631647831","N/A","0","N/A","0","N/A","0","N/A"
"25","0","340","color-agents-by-vision","500","191","N/A","36.2399802285446","N/A","624.9424083769634","N/A","626","N/A","585.9473684210526","N/A","653.4054054054054","N/A","529","N/A","661.5","N/A","361.83547075257405","N/A","446.5523614059506","N/A","949.5","N/A","0","N/A","1057.5","N/A","0","N/A","356.5861252290705","N/A","0","N/A","0","N/A","0","N/A"
"25","0","360","color-agents-by-vision","500","206","N/A","37.85444248365508","N/A","624.4320388349514","N/A","608","N/A","490.74","N/A","700.5172413793103","N/A","472.5","N/A","649","N/A","331.58424976750257","N/A","415.0087379878345","N/A","929.2065217391304","N/A","0","N/A","1081.5","N/A","0","N/A","365.97332329500864","N/A","0","N/A","0","N/A","0","N/A"
"25","0","380","color-agents-by-vision","500","222","N/A","43.158041847552084","N/A","598.6981981981982","N/A","593","N/A","649.2786885245902","N/A","674.5694444444445","N/A","789","N/A","630.5","N/A","345.6434160204001","N/A","425.1863494154822","N/A","881.9906542056075","N/A","0","N/A","1027","N/A","0","N/A","367.98270814908926","N/A","0","N/A","0","N/A","0","N/A"
"25","0","400","color-agents-by-vision","500","218","N/A","40.323488453057905","N/A","592.9128440366973","N/A","567","N/A","583","N/A","629.0263157894736","N/A","524.5","N/A","617.5","N/A","328.9509262251845","N/A","411.293471013394","N/A","920.943820224719","N/A","0","N/A","1052","N/A","0","N/A","328.0773315002592","N/A","0","N/A","0","N/A","0","N/A"
"25","0","420","color-agents-by-vision","500","234","N/A","44.43349526057298","N/A","559.5","N/A","542.5","N/A","546.38","N/A","553.1473684210526","N/A","477","N/A","580","N/A","310.2327559384129","N/A","408.07670243814255","N/A","848.0674157303371","N/A","0","N/A","1022","N/A","0","N/A","401.47279421447973","N/A","0","N/A","0","N/A","0","N/A"
"25","0","440","color-agents-by-vision","500","241","N/A","48.456675315530326","N/A","542.1286307053942","N/A","521","N/A","477.6031746031746","N/A","555.950495049505","N/A","445","N/A","552","N/A","324.80507999377005","N/A","423.32149428626053","N/A","863.5591397849462","N/A","0","N/A","1009","N/A","0","N/A","370.29631091534367","N/A","0","N/A","0","N/A","0","N/A"
"25","0","460","color-agents-by-vision","500","233","N/A","41.185333435610644","N/A","615.4549356223176","N/A","571","N/A","560.4461538461538","N/A","664.8488372093024","N/A","498","N/A","604.5","N/A","348.4827843115618","N/A","407.6668339087941","N/A","909.4485981308411","N/A","0","N/A","1028","N/A","0","N/A","320.9772293588505","N/A","0","N/A","0","N/A","0","N/A"
"25","0","480","color-agents-by-vision","500","253","N/A","49.2565187733337","N/A","538.8814229249011","N/A","512","N/A","434.54237288135596","N/A","568.4141414141415","N/A","398","N/A","551","N/A","295.11834692344036","N/A","411.95323714457953","N/A","854.5918367346939","N/A","0","N/A","1003.5","N/A","0","N/A","346.29109489979805","N/A","0","N/A","0","N/A","0","N/A"
"25","0","500","color-agents-by-vision","500","262","N/A","46.999749611238514","N/A","579.2519083969465","N/A","542.5","N/A","548.9375","N/A","590.373831775701","N/A","538","N/A","550","N/A","311.6550488312765","N/A","403.5990099321328","N/A","837.9193548387096","N/A","0","N/A","975.5","N/A","0","N/A","329.5254187063027","N/A","0","N/A","0","N/A","0","N/A"
"25","0","520","color-agents-by-vision","500","261","N/A","47.03086717921885","N/A","571.1034482758621","N/A","528","N/A","518.2941176470588","N/A","552.0416666666666","N/A","468","N/A","533.5","N/A","313.18986536078387","N/A","402.75873036838715","N/A","859.7586206896551","N/A","0","N/A","986","N/A","0","N/A","306.1881382614193","N/A","0","N/A","0","N/A","0","N/A"
"25","0","540","color-agents-by-vision","500","272","N/A","49.134444524349696","N/A","562.3492647058823","N/A","527.5","N/A","480.5194805194805","N/A","575.7889908256881","N/A","421","N/A","550","N/A","296.3557433038885","N/A","401.0339662670708","N/A","831.35","N/A","0","N/A","986.5","N/A","0","N/A","330.94772620308424","N/A","0","N/A","0","N/A","0","N/A"
"25","0","560","color-agents-by-vision","500","274","N/A","46.707512486770526","N/A","589.6751824817518","N/A","531","N/A","538.5692307692308","N/A","560.1869918699186","N/A","618","N/A","530","N/A","312.43369142661544","N/A","390.66172003605976","N/A","822.7647058823529","N/A","0","N/A","970.5","N/A","0","N/A","331.2134644627152","N/A","0","N/A","0","N/A","0","N/A"
"25","0","580","color-agents-by-vision","500","266","N/A","45.581247207506216","N/A","588.984962406015","N/A","534.5","N/A","521.6875","N/A","620.6724137931035","N/A","555","N/A","551","N/A","312.6585375631235","N/A","391.9327310485391","N/A","849.9430894308944","N/A","0","N/A","989","N/A","0","N/A","320.40809789026224","N/A","0","N/A","0","N/A","0","N/A"
"25","0","600","color-agents-by-vision","500","279","N/A","47.69912426505253","N/A","577.9068100358423","N/A","516","N/A","476.4","N/A","620.4181818181818","N/A","416","N/A","538","N/A","321.87272959052314","N/A","378.6308357201403","N/A","800.5639097744361","N/A","0","N/A","969","N/A","0","N/A","356.7305950931416","N/A","0","N/A","0","N/A","0","N/A"
"25","0","620","color-agents-by-vision","500","284","N/A","48.07171911357015","N/A","600.7640845070423","N/A","535.5","N/A","486.3863636363636","N/A","594.5566037735849","N/A","413","N/A","529.5","N/A","321.86423324050537","N/A","397.89462783598464","N/A","847.3333333333334","N/A","0","N/A","962","N/A","0","N/A","287.6090436142092","N/A","0","N/A","0","N/A","0","N/A"
