"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2-change.nlogo"
"pop-endowment1"
"03/06/2024 23:13:54:628 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","initial-population","visualization","[step]","count turtles","gini-index-reserve","mean-sugar","median-sugar","mean-lowviz","mean-hiviz","median-lowviz","median-hiviz","sd-lowviz","sd-hiviz","mean-lowmtb","mean-himtb","median-lowmtb","median-himtb","sd-lowmtb","sd-himtb","starve-count","age-death-count"
"1","25","0","100","color-agents-by-vision","500","67","10.577188338465415","828.8507462686567","862","693.3846153846154","925.2142857142857","704","929.5","436.0574385830263","502.9716402536737","1200.1153846153845","0","1400","0","454.7072312530846","0","0","0"
"2","25","0","120","color-agents-by-vision","500","79","10.906548105225847","821.379746835443","900","727.2608695652174","878.3571428571429","652","922","350.00989822254303","411.775578421216","1262.9655172413793","0","1289","0","148.8521516612615","0","0","0"
"3","25","0","140","color-agents-by-vision","500","86","13.327168489380172","789.9883720930233","848.5","567.04","892.5365853658536","558","909","414.10440309983017","428.0688669805932","1093.875","0","1365.5","0","493.870803923194","0","0","0"
"4","25","0","160","color-agents-by-vision","500","98","14.649261300697992","764.5816326530612","771.5","637.5","838.921052631579","574","861.5","345.9984920801522","419.69895141050597","1152.1142857142856","0","1267","0","317.0211322914101","0","0","0"
"6","25","0","200","color-agents-by-vision","500","123","23.432493971036497","664.1382113821138","641","466.93333333333334","824.8863636363636","521","839","377.25066419605366","445.09320768874403","920.4897959183673","0","1147","0","535.3977930181514","0","0","0"
"5","25","0","180","color-agents-by-vision","500","111","20.048951146616005","645.063063063063","618","481","677.0851063829788","559","788","369.9946985067177","423.1549120073719","969.7647058823529","0","1176","0","505.5107263690389","0","0","0"
"7","25","0","220","color-agents-by-vision","500","132","24.648787435172885","667.5681818181819","661","568.2058823529412","814.0943396226415","534.5","792","390.85088060977967","455.7079979443206","1026.8461538461538","0","1202.5","0","416.7358868596293","0","0","0"
"8","25","0","240","color-agents-by-vision","500","147","27.257827670600125","592.047619047619","560","471.40425531914894","660.5283018867924","508","720","331.9339679995607","396.2026289943833","951.4285714285714","0","1118.5","0","436.6388887441922","0","0","0"
"9","25","0","260","color-agents-by-vision","500","144","26.851946094705575","635.8888888888889","623","621.0666666666667","683.0961538461538","551","762","353.7561049906868","470.9745115960654","960.9074074074074","0","1083.5","0","441.452759006738","0","0","0"
"10","25","0","280","color-agents-by-vision","500","166","31.43992045022575","649.7409638554217","647","588.9473684210526","712.0677966101695","532.5","684","383.53631544243353","442.3740367921924","972.8","0","1108","0","389.250110659777","0","0","0"
"11","25","0","300","color-agents-by-vision","500","170","29.492480491435145","683.7117647058824","696","615.9607843137255","729.7142857142857","542","706","375.0184507879214","414.5506089409011","1009.9875","0","1106","0","322.4665812829351","0","0","0"
"12","25","0","320","color-agents-by-vision","500","189","33.243098071868225","648.1587301587301","623","522.0930232558139","709.1309523809524","503","675","370.3282851196893","404.8146022106138","989.2025316455696","0","1074","0","320.5510631647831","0","0","0"
"13","25","0","340","color-agents-by-vision","500","191","36.2399802285446","624.9424083769634","626","585.9473684210526","653.4054054054054","529","661.5","361.83547075257405","446.5523614059506","949.5","0","1057.5","0","356.5861252290705","0","0","0"
"14","25","0","360","color-agents-by-vision","500","206","37.85444248365508","624.4320388349514","608","490.74","700.5172413793103","472.5","649","331.58424976750257","415.0087379878345","929.2065217391304","0","1081.5","0","365.97332329500864","0","0","0"
"15","25","0","380","color-agents-by-vision","500","222","43.158041847552084","598.6981981981982","593","649.2786885245902","674.5694444444445","789","630.5","345.6434160204001","425.1863494154822","881.9906542056075","0","1027","0","367.98270814908926","0","0","0"
"16","25","0","400","color-agents-by-vision","500","218","40.323488453057905","592.9128440366973","567","583","629.0263157894736","524.5","617.5","328.9509262251845","411.293471013394","920.943820224719","0","1052","0","328.0773315002592","0","0","0"
"17","25","0","420","color-agents-by-vision","500","234","44.43349526057298","559.5","542.5","546.38","553.1473684210526","477","580","310.2327559384129","408.07670243814255","848.0674157303371","0","1022","0","401.47279421447973","0","0","0"
"18","25","0","440","color-agents-by-vision","500","241","48.456675315530326","542.1286307053942","521","477.6031746031746","555.950495049505","445","552","324.80507999377005","423.32149428626053","863.5591397849462","0","1009","0","370.29631091534367","0","0","0"
"19","25","0","460","color-agents-by-vision","500","233","41.185333435610644","615.4549356223176","571","560.4461538461538","664.8488372093024","498","604.5","348.4827843115618","407.6668339087941","909.4485981308411","0","1028","0","320.9772293588505","0","0","0"
"20","25","0","480","color-agents-by-vision","500","253","49.2565187733337","538.8814229249011","512","434.54237288135596","568.4141414141415","398","551","295.11834692344036","411.95323714457953","854.5918367346939","0","1003.5","0","346.29109489979805","0","0","0"
"21","25","0","500","color-agents-by-vision","500","262","46.999749611238514","579.2519083969465","542.5","548.9375","590.373831775701","538","550","311.6550488312765","403.5990099321328","837.9193548387096","0","975.5","0","329.5254187063027","0","0","0"
"22","25","0","520","color-agents-by-vision","500","261","47.03086717921885","571.1034482758621","528","518.2941176470588","552.0416666666666","468","533.5","313.18986536078387","402.75873036838715","859.7586206896551","0","986","0","306.1881382614193","0","0","0"
"23","25","0","540","color-agents-by-vision","500","272","49.134444524349696","562.3492647058823","527.5","480.5194805194805","575.7889908256881","421","550","296.3557433038885","401.0339662670708","831.35","0","986.5","0","330.94772620308424","0","0","0"
"24","25","0","560","color-agents-by-vision","500","274","46.707512486770526","589.6751824817518","531","538.5692307692308","560.1869918699186","618","530","312.43369142661544","390.66172003605976","822.7647058823529","0","970.5","0","331.2134644627152","0","0","0"
"25","25","0","580","color-agents-by-vision","500","266","45.581247207506216","588.984962406015","534.5","521.6875","620.6724137931035","555","551","312.6585375631235","391.9327310485391","849.9430894308944","0","989","0","320.40809789026224","0","0","0"
"26","25","0","600","color-agents-by-vision","500","279","47.69912426505253","577.9068100358423","516","476.4","620.4181818181818","416","538","321.87272959052314","378.6308357201403","800.5639097744361","0","969","0","356.7305950931416","0","0","0"
"27","25","0","620","color-agents-by-vision","500","284","48.07171911357015","600.7640845070423","535.5","486.3863636363636","594.5566037735849","413","529.5","321.86423324050537","397.89462783598464","847.3333333333334","0","962","0","287.6090436142092","0","0","0"
"28","25","0","640","color-agents-by-vision","500","292","45.91857311527542","585.9109589041096","511","429.22093023255815","612.2177419354839","378.5","516","320.64543001899415","327.2155392299682","795.6503496503497","0","945","0","330.1450653994746","0","0","0"
"29","25","0","660","color-agents-by-vision","500","291","45.37857053548077","604.6529209621993","509","445.63291139240505","638.9495798319327","379","515","309.4318274289678","350.4217035481943","787.28025477707","0","953","0","344.5590611126146","0","0","0"
"30","25","0","680","color-agents-by-vision","500","295","40.836174735140744","612.4135593220338","519","507.78723404255317","684.7156862745098","607","524","294.8662854361124","310.43180968511564","819.8039215686274","0","922","0","262.169241712886","0","0","0"
"31","25","0","700","color-agents-by-vision","500","313","44.1943009351326","615.3130990415335","626","484.85714285714283","656.7413793103449","570","700","306.13971289188174","319.3256514346568","788.048128342246","0","875","0","269.7998318830322","0","0","0"
"32","25","0","720","color-agents-by-vision","500","309","46.57329410007798","585.1100323624595","498","483.08641975308643","668.2982456140351","558","536","289.2245752668186","332.1894099270647","741.3690476190476","0","914.5","0","341.39031623385165","0","0","0"
"33","25","0","740","color-agents-by-vision","500","317","52.44459555243096","547.4227129337539","477","404.58415841584156","631.544","351","504","294.3983786411444","313.7494763907725","740.7435897435897","0","910.5","0","338.27030367110314","0","0","0"
