"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3-change.nlogo"
"exp1-3-new"
"03/07/2024 01:48:31:164 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","gini-index","survival-ratio","death-ratio","mean-sugar","median-sugar","sd-sugar"
"2","25","5","color-agents-by-vision","0","0","0","1","0","0","0","0"
"1","25","5","color-agents-by-vision","0","0","0","1","0","0","0","0"
"4","25","5","color-agents-by-vision","20","1000","0.49102885821831865","1","0.3153153153153153","39.85","25","45.8134374679698"
"3","25","5","color-agents-by-vision","20","1000","0.46132852729145224","1","0.27672955974842767","48.55","36","42.84301208144131"
"5","25","5","color-agents-by-vision","40","1000","0.4391245630759452","1","0.2917316692667707","78.675","73.5","62.400027736680215"
"6","25","5","color-agents-by-vision","40","1000","0.4968172823218997","1","0.27724358974358976","75.8","67","70.14278477798167"
"7","25","5","color-agents-by-vision","60","1000","0.46943048576214425","1","0.2944915254237288","59.7","41","51.29122566783206"
"8","25","5","color-agents-by-vision","60","1000","0.4564990039840637","1","0.290491118077325","66.93333333333334","53.5","56.3833328740746"
"9","25","5","color-agents-by-vision","80","1000","0.4649671052631579","1","0.33946360153256705","68.4","56.5","59.57690487879266"
"10","25","5","color-agents-by-vision","80","1000","0.533102966673088","1","0.35237388724035607","64.8875","42","67.74636124564415"
"11","25","5","color-agents-by-vision","100","1000","0.4928658448150838","1","0.38033937975424226","68.95","40.5","64.80949160439543"
"12","25","5","color-agents-by-vision","100","1000","0.5094940131324835","1","0.38092451726155646","51.78","34","51.149134297600185"
"13","25","5","color-agents-by-vision","120","1000","0.4531331193642059","1","0.3944954128440367","72.7","58.5","60.733831752390955"
"14","25","5","color-agents-by-vision","120","1000","0.4906875543951263","1","0.40198863636363635","57.45","33.5","54.03233547896042"
"15","25","5","color-agents-by-vision","140","1000","0.4794924956882317","1","0.4016","55.614285714285714","36.5","51.32861904025522"
"16","25","5","color-agents-by-vision","140","1000","0.467906644593761","1","0.3960720130932897","62.871428571428574","43","55.03482780318111"
"17","25","5","color-agents-by-vision","160","1000","0.4528436195587357","1","0.39312567132116005","62.8875","48","53.030309062321"
"18","25","5","color-agents-by-vision","160","1000","0.4658555665349143","1","0.3951841359773371","56.925","39","49.89959100423507"
"19","25","5","color-agents-by-vision","180","1000","0.47228552480858504","1","0.40168276721720164","61.43333333333333","37","54.09902982432272"
"20","25","5","color-agents-by-vision","180","1000","0.4500682487978904","1","0.4127906976744186","59.69444444444444","43","49.73832051469564"
"21","25","5","color-agents-by-vision","200","1000","0.4973177775740348","1","0.41795497694602657","54.535","32","52.07646846550943"
"22","25","5","color-agents-by-vision","200","1000","0.4730410022779044","1","0.4117484831770546","52.68","35","47.96698613415241"
"23","25","5","color-agents-by-vision","220","1000","0.48093016936871663","1","0.42714424951267055","50.18636363636364","29","47.77197355182341"
"24","25","5","color-agents-by-vision","220","1000","0.48598604456024885","1","0.40756513026052105","56.14090909090909","38","51.88161056821111"
"25","25","5","color-agents-by-vision","240","1000","0.49203179844131134","1","0.4199546485260771","46.69166666666667","29","45.08992332545175"
"26","25","5","color-agents-by-vision","240","1000","0.4921496265739166","1","0.4209445585215606","51.5125","30.5","49.08126480026066"
