"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 3-change.nlogo"
"exp2-3"
"03/07/2024 02:04:08:644 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) gini-index","(std) gini-index","(mean) survival-ratio","(std) survival-ratio","(mean) death-ratio","(std) death-ratio","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar"
"20","0","color-agents-by-vision","500","1000","0.462668345814313","N/A","1","N/A","0.5943572997646581","N/A","39.798","N/A","29.5","N/A","34.223667236765614","N/A"
"20","5","color-agents-by-vision","500","1000","0.4661411618700054","N/A","1","N/A","0.5842867396131293","N/A","37.788","N/A","25.25","N/A","33.66719509290864","N/A"
"20","10","color-agents-by-vision","500","1000","0.45439886114261985","N/A","1","N/A","0.5816841131114463","N/A","39.834","N/A","26.75","N/A","34.59852484563466","N/A"
"20","15","color-agents-by-vision","500","1000","0.44208638006400014","N/A","1","N/A","0.5864903695602417","N/A","40.998000000000005","N/A","28","N/A","34.48425433992813","N/A"
"20","20","color-agents-by-vision","500","1000","0.44427493604649915","N/A","1","N/A","0.5735829964187518","N/A","40.822","N/A","27","N/A","34.46255646213325","N/A"
"20","25","color-agents-by-vision","500","1000","0.42048164121267884","N/A","1","N/A","0.5715177294500613","N/A","43.259","N/A","30","N/A","35.20019420104052","N/A"
"20","30","color-agents-by-vision","500","1000","0.418888286939865","N/A","1","N/A","0.5687615688383365","N/A","45.006","N/A","32","N/A","35.70845517766409","N/A"
"25","0","color-agents-by-vision","500","1000","0.4599487059122622","N/A","1","N/A","0.5931099228978904","N/A","39.405","N/A","27","N/A","34.08144330796232","N/A"
"25","5","color-agents-by-vision","500","1000","0.46714546566147275","N/A","1","N/A","0.5828945054128278","N/A","39.295","N/A","26.5","N/A","35.19995947004005","N/A"
"25","10","color-agents-by-vision","500","1000","0.438752083365911","N/A","1","N/A","0.5815993431796515","N/A","41.887","N/A","29","N/A","34.75218499682138","N/A"
"25","15","color-agents-by-vision","500","1000","0.4392959286749857","N/A","1","N/A","0.5796194392344886","N/A","41.515","N/A","29.5","N/A","34.80228327475518","N/A"
"25","20","color-agents-by-vision","500","1000","0.43741960904392563","N/A","1","N/A","0.5790155145272645","N/A","45.116","N/A","31","N/A","37.57090029834083","N/A"
"25","25","color-agents-by-vision","500","1000","0.4224042083712145","N/A","1","N/A","0.5682202428357233","N/A","45.602","N/A","32.25","N/A","36.04138244349518","N/A"
"25","30","color-agents-by-vision","500","1000","0.40720882702858685","N/A","1","N/A","0.5610050720653614","N/A","46.903999999999996","N/A","35.25","N/A","35.96058922347885","N/A"
"30","0","color-agents-by-vision","500","1000","0.46817755698880803","N/A","1","N/A","0.5859976321088665","N/A","39.553","N/A","27.5","N/A","35.32910539491618","N/A"
"30","5","color-agents-by-vision","500","1000","0.44044181703714047","N/A","1","N/A","0.5834074169288777","N/A","41.642","N/A","30","N/A","34.21796096489401","N/A"
"30","10","color-agents-by-vision","500","1000","0.4373142920122841","N/A","1","N/A","0.5783082805062998","N/A","41.995000000000005","N/A","30.25","N/A","34.71145953706306","N/A"
"30","15","color-agents-by-vision","500","1000","0.42254531351384456","N/A","1","N/A","0.5791367819681803","N/A","43.385999999999996","N/A","31","N/A","34.795197166254724","N/A"
"30","20","color-agents-by-vision","500","1000","0.4219697422003929","N/A","1","N/A","0.57911693154689","N/A","43.542","N/A","31","N/A","35.14252707157552","N/A"
"30","25","color-agents-by-vision","500","1000","0.4150348706922919","N/A","1","N/A","0.5675105056959816","N/A","44.201","N/A","32","N/A","34.66409852294825","N/A"
"30","30","color-agents-by-vision","500","1000","0.4049985479244901","N/A","1","N/A","0.5608427879798991","N/A","48.578","N/A","35.5","N/A","36.790835477372866","N/A"
"35","0","color-agents-by-vision","500","1000","0.4422225286196855","N/A","1","N/A","0.5813475612657626","N/A","41.426","N/A","31","N/A","34.46317502575995","N/A"
"35","5","color-agents-by-vision","500","1000","0.44037412276357574","N/A","1","N/A","0.5752970041677319","N/A","42.900999999999996","N/A","32","N/A","35.83045537240635","N/A"
"35","10","color-agents-by-vision","500","1000","0.4187532886208484","N/A","1","N/A","0.5704053272453375","N/A","43.501999999999995","N/A","33.5","N/A","34.4244664805204","N/A"
"35","15","color-agents-by-vision","500","1000","0.42637093975962015","N/A","1","N/A","0.5707233014153424","N/A","46.092","N/A","34","N/A","36.922408348110096","N/A"
"35","20","color-agents-by-vision","500","1000","0.4070278285090009","N/A","1","N/A","0.5633850935042508","N/A","47.024","N/A","34.5","N/A","36.266384797893735","N/A"
"35","25","color-agents-by-vision","500","1000","0.4025850134062934","N/A","1","N/A","0.5616467501658418","N/A","48.510999999999996","N/A","36.75","N/A","36.16637242973222","N/A"
"35","30","color-agents-by-vision","500","1000","0.401610649348704","N/A","1","N/A","0.5520362401589424","N/A","47.212","N/A","35.5","N/A","35.8588237507473","N/A"
"40","0","color-agents-by-vision","500","1000","0.43193417366422987","N/A","1","N/A","0.5723552217674153","N/A","42.479","N/A","33.5","N/A","34.29608031044489","N/A"
"40","5","color-agents-by-vision","500","1000","0.4362404094547039","N/A","1","N/A","0.5686343773312492","N/A","43.955","N/A","34","N/A","36.35141476368981","N/A"
"40","10","color-agents-by-vision","500","1000","0.4208184469315345","N/A","1","N/A","0.56421900959261","N/A","45.656","N/A","35","N/A","36.109979226884256","N/A"
"40","15","color-agents-by-vision","500","1000","0.4082943271308508","N/A","1","N/A","0.5635860210923427","N/A","45.424","N/A","35.5","N/A","35.03269544372037","N/A"
"40","20","color-agents-by-vision","500","1000","0.40351759631043105","N/A","1","N/A","0.551374418555237","N/A","48.063","N/A","38.25","N/A","36.12163817092649","N/A"
"40","25","color-agents-by-vision","500","1000","0.40057994717167106","N/A","1","N/A","0.5490584694896992","N/A","49.683","N/A","38.5","N/A","37.436926004052154","N/A"
"40","30","color-agents-by-vision","500","1000","0.40017481894408785","N/A","1","N/A","0.5530335878848129","N/A","47.891999999999996","N/A","38","N/A","36.1414829017275","N/A"
"45","0","color-agents-by-vision","500","1000","0.4270757922522683","N/A","1","N/A","0.5629206522028642","N/A","45.715","N/A","36.5","N/A","35.794837196794774","N/A"
"45","5","color-agents-by-vision","500","1000","0.4318355265265962","N/A","1","N/A","0.5647363458447057","N/A","46.504999999999995","N/A","35","N/A","37.75675690303816","N/A"
