"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 3-change.nlogo"
"gini-by-max-endowment-1000"
"03/06/2024 00:14:44:420 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","visualization","initial-population","[step]","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar","(mean) gini-index-reserve","(std) gini-index-reserve"
"50","color-agents-by-vision","400","300","51.7675","N/A","40.25","N/A","42.37126182023251","N/A","87.94685313590672","N/A"
"60","color-agents-by-vision","400","300","56.32375","N/A","46","N/A","42.54447331444915","N/A","81.63654104238925","N/A"
"70","color-agents-by-vision","400","300","55.8575","N/A","45","N/A","43.606962022413256","N/A","83.23134858325729","N/A"
"80","color-agents-by-vision","400","300","62.662499999999994","N/A","52.5","N/A","47.01463784246465","N/A","81.70172634268249","N/A"
"90","color-agents-by-vision","400","300","65.495","N/A","58.5","N/A","46.067052366251694","N/A","76.6427521603044","N/A"
"100","color-agents-by-vision","400","300","68.02","N/A","60.25","N/A","46.731836580194766","N/A","75.34579743995107","N/A"
"110","color-agents-by-vision","400","300","78.67125","N/A","69.5","N/A","51.72615786820879","N/A","72.59520246543296","N/A"
"120","color-agents-by-vision","400","300","78.7575","N/A","71.25","N/A","52.323878354171526","N/A","73.23738721429997","N/A"
"130","color-agents-by-vision","400","300","86.10875","N/A","79.75","N/A","55.91274933104896","N/A","72.24732138033198","N/A"
"140","color-agents-by-vision","400","300","86.64875","N/A","78.75","N/A","56.68866285886675","N/A","73.33190479136101","N/A"
"150","color-agents-by-vision","400","300","91.16624999999999","N/A","86.5","N/A","56.355136454966285","N/A","68.87614264120285","N/A"
"160","color-agents-by-vision","400","300","96.9025","N/A","94","N/A","60.35202681186267","N/A","70.21538262879292","N/A"
"170","color-agents-by-vision","400","300","103.16125","N/A","97","N/A","61.27500337320431","N/A","67.0242188914396","N/A"
"180","color-agents-by-vision","400","300","105.4975","N/A","99.25","N/A","64.50952438559906","N/A","69.28458635934122","N/A"
"190","color-agents-by-vision","400","300","111.99","N/A","106.75","N/A","65.71223734532383","N/A","66.54223281431928","N/A"
"200","color-agents-by-vision","400","300","114.46125","N/A","109.75","N/A","67.07610729455297","N/A","66.72475003327929","N/A"
"210","color-agents-by-vision","400","300","119.425","N/A","117","N/A","70.51732618859468","N/A","67.17596986733133","N/A"
"220","color-agents-by-vision","400","300","123.7175","N/A","116.5","N/A","71.35304002384811","N/A","65.49780400009843","N/A"
"230","color-agents-by-vision","400","300","126.59375","N/A","123.25","N/A","73.86344685876429","N/A","66.34474030184396","N/A"
"240","color-agents-by-vision","400","300","130.9425","N/A","124.5","N/A","76.67401426387468","N/A","66.61564543426991","N/A"
"250","color-agents-by-vision","400","300","139.465","N/A","133","N/A","79.51128457834298","N/A","64.98234220067064","N/A"
"260","color-agents-by-vision","400","300","140.66500000000002","N/A","133.5","N/A","83.47404784388078","N/A","67.4570045012562","N/A"
"270","color-agents-by-vision","400","300","147.44875","N/A","140.25","N/A","82.87217770000083","N/A","63.86285781538719","N/A"
"280","color-agents-by-vision","400","300","148.99875","N/A","142","N/A","87.05186739347513","N/A","66.51298786029236","N/A"
"290","color-agents-by-vision","400","300","155.6775","N/A","152.75","N/A","90.16219682297695","N/A","66.11123701943909","N/A"
"300","color-agents-by-vision","400","300","159.89125","N/A","151.75","N/A","90.79449543481014","N/A","64.77513422885312","N/A"
"310","color-agents-by-vision","400","300","169.08125","N/A","166.25","N/A","94.74752546464701","N/A","64.35268135342193","N/A"
"320","color-agents-by-vision","400","300","176.54500000000002","N/A","174.75","N/A","95.57733209077128","N/A","61.95572056919232","N/A"
"330","color-agents-by-vision","400","300","175.20625","N/A","168.75","N/A","100.97518951507139","N/A","65.91256525227755","N/A"
"340","color-agents-by-vision","400","300","191.7975","N/A","189.25","N/A","104.36460243133328","N/A","62.34261067019806","N/A"
"350","color-agents-by-vision","400","300","183.72625","N/A","178","N/A","105.995517679008","N/A","65.97787204933186","N/A"
"360","color-agents-by-vision","400","300","192.055","N/A","186.5","N/A","110.11911359546916","N/A","65.7101167863562","N/A"
"370","color-agents-by-vision","400","300","199.90375","N/A","203.75","N/A","111.85229338725537","N/A","64.13654467031336","N/A"
"380","color-agents-by-vision","400","300","196.065","N/A","191.5","N/A","111.3206599006845","N/A","65.1190460331059","N/A"
"390","color-agents-by-vision","400","300","211.405","N/A","202.5","N/A","114.14019647353871","N/A","61.70380632933622","N/A"
"400","color-agents-by-vision","400","300","215.11624999999998","N/A","217.75","N/A","117.17893796418687","N/A","62.52557415783815","N/A"
"410","color-agents-by-vision","400","300","214.64625","N/A","209.5","N/A","119.0130594464386","N/A","63.66768828403411","N/A"
"420","color-agents-by-vision","400","300","221.53625","N/A","217.5","N/A","122.63527567815294","N/A","63.4000062586799","N/A"
"430","color-agents-by-vision","400","300","223.79375","N/A","223.75","N/A","127.13955254043643","N/A","65.11905291120758","N/A"
"440","color-agents-by-vision","400","300","234.52875","N/A","232","N/A","129.17212849557956","N/A","63.18436548093078","N/A"
"450","color-agents-by-vision","400","300","231.98875","N/A","221.5","N/A","131.63219691680416","N/A","65.13927054551047","N/A"
"460","color-agents-by-vision","400","300","244.83249999999998","N/A","242.75","N/A","138.02287910794436","N/A","64.80402176431275","N/A"
"470","color-agents-by-vision","400","300","245.50375","N/A","249","N/A","137.3443405108397","N/A","64.16801420377183","N/A"
"480","color-agents-by-vision","400","300","256.15250000000003","N/A","256.5","N/A","137.48755941324328","N/A","61.70183350497143","N/A"
"490","color-agents-by-vision","400","300","259.34875","N/A","256","N/A","145.022501651747","N/A","64.32512172882903","N/A"
"500","color-agents-by-vision","400","300","270.34749999999997","N/A","276.25","N/A","145.337147117236","N/A","61.77644322618785","N/A"
"510","color-agents-by-vision","400","300","262.95875","N/A","253","N/A","152.53505561774878","N/A","66.66533191002569","N/A"
"520","color-agents-by-vision","400","300","262.45124999999996","N/A","253","N/A","148.992164942363","N/A","65.22466920426677","N/A"
"530","color-agents-by-vision","400","300","272.47749999999996","N/A","267.5","N/A","151.62075817348415","N/A","63.94094653429962","N/A"
"540","color-agents-by-vision","400","300","276.2875","N/A","265.25","N/A","160.33123253633605","N/A","66.67596284114201","N/A"
"550","color-agents-by-vision","400","300","293.07875","N/A","290.75","N/A","154.39641869998343","N/A","60.632386173556405","N/A"
"560","color-agents-by-vision","400","300","288.09","N/A","279.5","N/A","161.8385651326339","N/A","64.61765295680627","N/A"
"570","color-agents-by-vision","400","300","285.78375","N/A","276.75","N/A","161.8244371859451","N/A","65.05187435914173","N/A"
"580","color-agents-by-vision","400","300","301.5425","N/A","312","N/A","174.3509687988569","N/A","66.54077746810265","N/A"
"590","color-agents-by-vision","400","300","305.58625","N/A","304.25","N/A","171.8556838046287","N/A","64.66244938825123","N/A"
"600","color-agents-by-vision","400","300","298.60625","N/A","287.25","N/A","169.9172622644215","N/A","65.29803067085935","N/A"
"610","color-agents-by-vision","400","300","319.26625","N/A","313","N/A","173.0763313481086","N/A","62.35138200734846","N/A"
"620","color-agents-by-vision","400","300","316.695","N/A","308.25","N/A","173.30025219994775","N/A","62.94506855668719","N/A"
"630","color-agents-by-vision","400","300","315.94875","N/A","311.5","N/A","176.85403755670825","N/A","64.37408408975588","N/A"
"640","color-agents-by-vision","400","300","337.00625","N/A","341.75","N/A","184.70492244645192","N/A","63.09569416889019","N/A"
"650","color-agents-by-vision","400","300","333.6475","N/A","335.75","N/A","183.22535871576457","N/A","63.15211465194869","N/A"
"660","color-agents-by-vision","400","300","343.09125","N/A","346","N/A","189.32905926690748","N/A","63.57775585017481","N/A"
"670","color-agents-by-vision","400","300","350.40625","N/A","347.5","N/A","194.7429541002282","N/A","63.96470172985205","N/A"
"680","color-agents-by-vision","400","300","349.83875","N/A","341","N/A","189.50282166199213","N/A","62.25525081673008","N/A"
