"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3-change.nlogo"
"gini-by-max-endowment-1000"
"03/06/2024 00:13:56:063 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","visualization","initial-population","[step]","mean-sugar","median-sugar","sd-sugar","gini-index-reserve"
"4","60","color-agents-by-vision","400","300","56.9175","48","42.32794385305134","80.82727192866875"
"3","60","color-agents-by-vision","400","300","55.73","44","42.76100277584696","82.44581015610976"
"2","50","color-agents-by-vision","400","300","50.9","38","41.97343711871709","88.36468565815325"
"1","50","color-agents-by-vision","400","300","52.635","42.5","42.76908652174794","87.5290206136602"
"5","70","color-agents-by-vision","400","300","56.59","45","45.38961823599117","84.42922777875954"
"7","80","color-agents-by-vision","400","300","65.77","56","47.225392473070976","78.10255435608944"
"6","70","color-agents-by-vision","400","300","55.125","45","41.82430580883534","82.03346938775503"
"8","80","color-agents-by-vision","400","300","59.555","49","46.80388321185832","85.30089832927553"
"9","90","color-agents-by-vision","400","300","67.77","61","47.816085631435605","77.8984432639811"
"10","90","color-agents-by-vision","400","300","63.22","56","44.31801910106778","75.3870610566277"
"11","100","color-agents-by-vision","400","300","67.07","58","47.203819776621444","77.8456836141344"
"12","100","color-agents-by-vision","400","300","68.97","62.5","46.25985338376809","72.84591126576773"
"13","110","color-agents-by-vision","400","300","81.0625","73","51.42382344589409","70.45000771010022"
"14","110","color-agents-by-vision","400","300","76.28","66","52.02849229052348","74.7403972207657"
"15","120","color-agents-by-vision","400","300","78.645","68.5","53.265674267184906","74.9353741496599"
"16","120","color-agents-by-vision","400","300","78.87","74","51.38208244115815","71.53940027894004"
"17","130","color-agents-by-vision","400","300","84.05","76","56.39399975192437","74.32305175490782"
"18","130","color-agents-by-vision","400","300","88.1675","83.5","55.43149891017354","70.17159100575613"
"19","140","color-agents-by-vision","400","300","87.8825","79.5","57.35864126764314","72.94101499160806"
"20","140","color-agents-by-vision","400","300","85.415","78","56.01868445009037","73.72279459111395"
"21","150","color-agents-by-vision","400","300","90.5175","85","55.50785980381518","68.17520092799731"
"22","150","color-agents-by-vision","400","300","91.815","88","57.20241310611738","69.57708435440838"
"23","160","color-agents-by-vision","400","300","97.7975","94","61.87979692045937","71.27279582811418"
"24","160","color-agents-by-vision","400","300","96.0075","94","58.82425670326597","69.15796942947165"
"25","170","color-agents-by-vision","400","300","102.5125","98","60.745286387469896","66.97269845140829"
"26","170","color-agents-by-vision","400","300","103.81","96","61.80472035893872","67.07573933147091"
"27","180","color-agents-by-vision","400","300","107.52","101.5","65.21535252924562","69.09205264136905"
"28","180","color-agents-by-vision","400","300","103.475","97","63.80369624195251","69.47712007731339"
"29","190","color-agents-by-vision","400","300","110.005","101.5","68.22372142747373","69.9633425753374"
"30","190","color-agents-by-vision","400","300","113.975","112","63.20075326317393","63.12112305330115"
"31","200","color-agents-by-vision","400","300","113.685","110.5","65.31969405223582","65.39002506927034"
"32","200","color-agents-by-vision","400","300","115.2375","109","68.8325205368701","68.05947499728823"
"33","210","color-agents-by-vision","400","300","117.725","116","67.83109182037295","65.5466765767679"
"34","210","color-agents-by-vision","400","300","121.125","118","73.20356055681641","68.80526315789477"
"35","220","color-agents-by-vision","400","300","129.385","125.5","69.6270895845146","61.18601460756655"
"36","220","color-agents-by-vision","400","300","118.05","107.5","73.07899046318161","69.8095933926303"
"37","230","color-agents-by-vision","400","300","126.985","126.5","76.26151928271737","68.34769854707253"
"38","230","color-agents-by-vision","400","300","126.2025","120","71.46537443481122","64.3417820566154"
"39","240","color-agents-by-vision","400","300","129.705","121","78.42780295079815","68.78566747619601"
"40","240","color-agents-by-vision","400","300","132.18","128","74.9202255769512","64.44562339234379"
"41","250","color-agents-by-vision","400","300","141.235","134","79.74951245520003","64.27055970545544"
