"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 3-change.nlogo"
"mean-sugar-by-max-endowment"
"03/06/2024 00:13:52:139 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","visualization","initial-population","[step]","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar"
"50","color-agents-by-vision","400","300","51.551249999999996","N/A","39.25","N/A","41.921919735277285","N/A"
"60","color-agents-by-vision","400","300","52.385000000000005","N/A","43.25","N/A","39.69775124535053","N/A"
"70","color-agents-by-vision","400","300","58.8275","N/A","48.25","N/A","44.41588749309291","N/A"
"80","color-agents-by-vision","400","300","62.2275","N/A","54.5","N/A","43.99831414535293","N/A"
"90","color-agents-by-vision","400","300","63.0925","N/A","55","N/A","44.421038761627635","N/A"
"100","color-agents-by-vision","400","300","69.85375","N/A","63.75","N/A","46.55692313595957","N/A"
"110","color-agents-by-vision","400","300","76.3725","N/A","71","N/A","50.41389220613263","N/A"
"120","color-agents-by-vision","400","300","78.32625","N/A","73.25","N/A","52.85709220512652","N/A"
"130","color-agents-by-vision","400","300","82.83625","N/A","73.5","N/A","55.54113196798462","N/A"
"140","color-agents-by-vision","400","300","85.995","N/A","80.75","N/A","53.495201528494235","N/A"
"150","color-agents-by-vision","400","300","92.92125","N/A","87","N/A","57.447243336615216","N/A"
"160","color-agents-by-vision","400","300","92.3","N/A","84.75","N/A","59.47375821650488","N/A"
"170","color-agents-by-vision","400","300","100.93125","N/A","94.25","N/A","61.66292559415464","N/A"
"180","color-agents-by-vision","400","300","108.6525","N/A","104.5","N/A","65.7469520226565","N/A"
"190","color-agents-by-vision","400","300","112.0775","N/A","105.75","N/A","66.76415337798207","N/A"
"200","color-agents-by-vision","400","300","112.63875","N/A","106.25","N/A","69.07207502357772","N/A"
"210","color-agents-by-vision","400","300","117.06","N/A","108.75","N/A","69.97595052338212","N/A"
"220","color-agents-by-vision","400","300","125.39625000000001","N/A","118.25","N/A","74.50149391581887","N/A"
"230","color-agents-by-vision","400","300","125.14625","N/A","119.25","N/A","77.11321405027826","N/A"
"240","color-agents-by-vision","400","300","132.31875","N/A","127.75","N/A","74.51336650576094","N/A"
"250","color-agents-by-vision","400","300","135.4425","N/A","131.5","N/A","80.57804200975039","N/A"
"260","color-agents-by-vision","400","300","144.60750000000002","N/A","141.25","N/A","81.47858469222366","N/A"
"270","color-agents-by-vision","400","300","144.88","N/A","143.75","N/A","81.62368703304884","N/A"
"280","color-agents-by-vision","400","300","150.48125","N/A","147.25","N/A","91.87721758710882","N/A"
"290","color-agents-by-vision","400","300","151.30124999999998","N/A","141.75","N/A","86.988817526976","N/A"
"300","color-agents-by-vision","400","300","163.16250000000002","N/A","157.75","N/A","92.9780492970481","N/A"
"310","color-agents-by-vision","400","300","170.79000000000002","N/A","169","N/A","93.15667787774703","N/A"
"320","color-agents-by-vision","400","300","172.46875","N/A","167.25","N/A","95.05959629918203","N/A"
"330","color-agents-by-vision","400","300","172.42374999999998","N/A","169","N/A","100.40691169490222","N/A"
"340","color-agents-by-vision","400","300","175.565","N/A","164","N/A","101.60631856692434","N/A"
"350","color-agents-by-vision","400","300","191.32875","N/A","186","N/A","106.48970194705271","N/A"
"360","color-agents-by-vision","400","300","191.62875","N/A","181.75","N/A","108.15329482326452","N/A"
"370","color-agents-by-vision","400","300","195.93124999999998","N/A","190.75","N/A","112.69640319834352","N/A"
"380","color-agents-by-vision","400","300","198.9025","N/A","190.75","N/A","117.99083044773346","N/A"
"390","color-agents-by-vision","400","300","195.89999999999998","N/A","188.25","N/A","117.0498197800313","N/A"
"400","color-agents-by-vision","400","300","211.26999999999998","N/A","219","N/A","118.34661636260219","N/A"
"410","color-agents-by-vision","400","300","217.59875","N/A","220.5","N/A","120.52956793427951","N/A"
"420","color-agents-by-vision","400","300","216.53875","N/A","218.25","N/A","121.90211032951612","N/A"
"430","color-agents-by-vision","400","300","230.77625","N/A","223","N/A","124.9294548922801","N/A"
"440","color-agents-by-vision","400","300","233.9075","N/A","230.75","N/A","131.19447724390105","N/A"
"450","color-agents-by-vision","400","300","239.28875","N/A","243.25","N/A","131.92578321892523","N/A"
"460","color-agents-by-vision","400","300","236.1725","N/A","229.75","N/A","133.05180280530416","N/A"
"470","color-agents-by-vision","400","300","242.6925","N/A","235.75","N/A","136.3013982922813","N/A"
"480","color-agents-by-vision","400","300","256.97625","N/A","262.5","N/A","141.14054760474278","N/A"
"490","color-agents-by-vision","400","300","253.4075","N/A","252.75","N/A","146.34400315802446","N/A"
"500","color-agents-by-vision","400","300","259.78999999999996","N/A","252.5","N/A","142.64089574908394","N/A"
"510","color-agents-by-vision","400","300","264.82375","N/A","259","N/A","146.6280799209097","N/A"
"520","color-agents-by-vision","400","300","270.47375","N/A","269.5","N/A","150.44937925946314","N/A"
"530","color-agents-by-vision","400","300","276.25874999999996","N/A","271.5","N/A","153.50013008464043","N/A"
"540","color-agents-by-vision","400","300","277.48875","N/A","281","N/A","153.11817411139594","N/A"
"550","color-agents-by-vision","400","300","286.66875000000005","N/A","276.5","N/A","157.50931419773195","N/A"
"560","color-agents-by-vision","400","300","293.35625000000005","N/A","295.25","N/A","159.19871078314173","N/A"
"570","color-agents-by-vision","400","300","301.23875","N/A","304","N/A","161.66924698060444","N/A"
"580","color-agents-by-vision","400","300","299.1325","N/A","299","N/A","168.33333716584696","N/A"
"590","color-agents-by-vision","400","300","316.9075","N/A","317.75","N/A","168.12262188632633","N/A"
"600","color-agents-by-vision","400","300","309.36749999999995","N/A","309.25","N/A","175.12967386062465","N/A"
"610","color-agents-by-vision","400","300","311.50875","N/A","307","N/A","170.40928117760438","N/A"
"620","color-agents-by-vision","400","300","328.80875000000003","N/A","333.25","N/A","183.67447489486915","N/A"
"630","color-agents-by-vision","400","300","324.115","N/A","330.25","N/A","177.01394191513097","N/A"
"640","color-agents-by-vision","400","300","326.51","N/A","329.25","N/A","183.33783232927684","N/A"
"650","color-agents-by-vision","400","300","333.34000000000003","N/A","332","N/A","186.3660644988845","N/A"
"660","color-agents-by-vision","400","300","345.815","N/A","346.75","N/A","189.35712628540853","N/A"
"670","color-agents-by-vision","400","300","342.325","N/A","345.75","N/A","188.755998330451","N/A"
"680","color-agents-by-vision","400","300","345.97375","N/A","344","N/A","196.3218717547353","N/A"
"690","color-agents-by-vision","400","300","340.41875","N/A","329.25","N/A","197.19440888388056","N/A"
"700","color-agents-by-vision","400","300","358.70875","N/A","358.75","N/A","198.45645227407343","N/A"
"710","color-agents-by-vision","400","300","361.28499999999997","N/A","365.25","N/A","204.43951985799453","N/A"
"720","color-agents-by-vision","400","300","367.5475","N/A","368","N/A","209.96381197894334","N/A"
"730","color-agents-by-vision","400","300","366.14750000000004","N/A","364.5","N/A","217.001876505991","N/A"
"740","color-agents-by-vision","400","300","388.65375","N/A","396.5","N/A","210.0163760345289","N/A"
"750","color-agents-by-vision","400","300","383.84375","N/A","371.5","N/A","213.44470259630242","N/A"
"760","color-agents-by-vision","400","300","393.15875","N/A","384.25","N/A","219.93883214529092","N/A"
"770","color-agents-by-vision","400","300","385.86375","N/A","378.25","N/A","215.05699733114176","N/A"
"780","color-agents-by-vision","400","300","384.49","N/A","383.5","N/A","220.2146014524668","N/A"
"790","color-agents-by-vision","400","300","390.065","N/A","392.75","N/A","228.27433419245182","N/A"
"800","color-agents-by-vision","400","300","414.13625","N/A","419.75","N/A","232.9091656009057","N/A"
"810","color-agents-by-vision","400","300","434.60375","N/A","444","N/A","233.47692073343842","N/A"
