BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarscape 2 Constant Growback.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth Change Constant Growback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/20/2021 23:24:50:550 +0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
initial-population,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
[reporter],growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth
[final],-0.124,-0.164,-0.168,-0.216,-0.184,-0.228,-0.228,-0.296,-0.284,-0.292,-0.308,-0.288,-0.316,-0.352,-0.384,-0.4,-0.412,-0.364,-0.412,-0.484,-0.484,-0.468,-0.532,-0.552,-0.56,-0.612,-0.664,-0.584,-0.68,-0.604,-0.64,-0.684,-0.764,-0.708,-0.768,-0.808,-0.82,-0.848,-0.868,-0.916,-0.952,-0.98,-1.072,-1.084,-1.06,-1.068,-1.1,-1.116,-1.128,-1.252,-1.208,-1.324,-1.332,-1.316,-1.336,-1.436,-1.42,-1.432,-1.484,-1.52,-1.528,-1.532,-1.6,-1.608,-1.652,-1.68,-1.68,-1.724,-1.716,-1.696,-1.756,-1.788,-1.764,-1.832,-1.884,-1.852,-1.948,-2.036,-1.896,-1.98,-1.976,-2.08,-1.98,-2.096,-2.104,-1.968,-2.072,-2.2,-2.232,-2.312,-2.24
[min],-1.875,-2.166666667,-2.090909091,-3.571428571,-2.555555556,-2.666666667,-2.8,-3.545454545,-3.875,-3.875,-3.75,-3.571428571,-4.25,-5,-4.888888889,-5.5,-5.5,-4.555555556,-5.875,-7.166666667,-6.125,-5.2,-7,-6.777777778,-7,-8,-8.9,-7.666666667,-8.181818182,-8.272727273,-8.285714286,-9,-9.444444444,-7.75,-9.083333333,-10.33333333,-10.18181818,-10.4,-10.8,-11.4,-11.27272727,-11.58333333,-14.75,-13.91666667,-13.41666667,-11.6,-12.66666667,-13.72727273,-13.76923077,-17,-13.58333333,-15.66666667,-15.3,-16.27272727,-16.7,-17.76923077,-18.81818182,-17.75,-17.16666667,-18.75,-17.66666667,-18.63636364,-18.85714286,-19.83333333,-19.75,-21,-22,-21.76923077,-22.2,-23.11111111,-21.91666667,-23,-23.16666667,-23.25,-23.27272727,-24.33333333,-26.08333333,-27.1,-25.1,-27,-27.09090909,-26.66666667,-26.08333333,-30.45454545,-29,-28.72727273,-28.8,-32,-33,-32.18181818,-33.7
[max],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[mean],-0.397607049,-0.488117222,-0.464302857,-0.675371045,-0.576202884,-0.680193623,-0.699322493,-0.916674265,-0.893870322,-0.924896474,-0.964663401,-0.89885043,-1.000911259,-1.149778353,-1.212199463,-1.313201687,-1.273612825,-1.107267008,-1.331625137,-1.58379077,-1.548038934,-1.434544115,-1.725308621,-1.72285593,-1.798992425,-1.903204945,-2.112617928,-1.857940051,-2.121602426,-1.875726415,-2.036946011,-2.148457784,-2.424680027,-2.08628757,-2.390655915,-2.57227007,-2.623143753,-2.711911674,-2.742327134,-2.887533004,-2.917583508,-2.984879052,-3.394231014,-3.448919341,-3.325316207,-3.194295027,-3.281240893,-3.370073839,-3.462039584,-3.950943636,-3.624871189,-4.000561655,-4.049145204,-4.06432555,-4.116668111,-4.453552878,-4.409402036,-4.401289564,-4.56465387,-4.668293019,-4.743469803,-4.745872064,-4.943566663,-4.963823228,-5.134225048,-5.290955681,-5.362650951,-5.427887487,-5.445646594,-5.458853133,-5.502173524,-5.738302483,-5.674827483,-5.75619651,-5.982943864,-5.942508791,-6.223799935,-6.607552698,-6.185169598,-6.457233274,-6.401649799,-6.660261213,-6.413554198,-6.904199548,-6.923043619,-6.53703603,-6.795932314,-7.277450356,-7.442321627,-7.571034822,-7.469977458
[steps],250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[all run data],growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
