BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarscape 2 Constant Growback.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growth Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/21/2021 00:11:47:324 +0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
initial-population,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
[reporter],growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth
[final],-0.424242424,-0.458100559,-0.376237624,-0.429906542,-0.522522523,-0.459016393,-0.490272374,-0.454873646,-0.457337884,-0.459546926,-0.395209581,-0.592592593,-0.451253482,-0.5,-0.474226804,-0.538071066,-0.494004796,-0.454545455,-0.488888889,-0.473347548,-0.43902439,-0.510121457,-0.485436893,-0.5,-0.495412844,-0.473498233,-0.491349481,-0.454394693,-0.520729685,-0.512077295,-0.580645161,-0.546583851,-0.53776435,-0.50363901,-0.558139535,-0.556818182,-0.552011096,-0.618384401,-0.584118439,-0.545454545,-0.621231979,-0.615384615,-0.649681529,-0.623762376,-0.647058824,-0.686202686,-0.669845054,-0.682352941,-0.700814901,-0.672706682,-0.705749718,-0.696132597,-0.722283205,-0.73318872,-0.726304579,-0.731092437,-0.75286757,-0.774327122,-0.753036437,-0.796352584,-0.726387537,-0.757281553,-0.748091603,-0.765151515,-0.740740741,-0.754820937,-0.771194166,-0.767295597,-0.763507529,-0.75261324,-0.749140893,-0.788296041,-0.837370242,-0.792262405,-0.781456954,-0.78004906,-0.819672131,-0.716627635,-0.745709828,-0.78342455,-0.769230769,-0.763857251,-0.830769231,-0.790697674,-0.781065089,-0.73381295,-0.719546742,-0.789360173,-0.792022792,-0.869565217,-0.787456446
[min],-0.424242424,-0.458100559,-0.376237624,-0.429906542,-0.522522523,-0.459016393,-0.490272374,-0.454873646,-0.457337884,-0.459546926,-0.395209581,-0.592592593,-0.451253482,-0.5,-0.474226804,-0.538071066,-0.494004796,-0.454545455,-0.488888889,-0.473347548,-0.43902439,-0.510121457,-0.485436893,-0.5,-0.495412844,-0.473498233,-0.491349481,-0.454394693,-0.520729685,-0.512077295,-0.580645161,-0.546583851,-0.53776435,-0.50363901,-0.558139535,-0.556818182,-0.552011096,-0.618384401,-0.584118439,-0.545454545,-0.621231979,-0.615384615,-0.649681529,-0.623762376,-0.647058824,-0.686202686,-0.669845054,-0.682352941,-0.700814901,-0.672706682,-0.705749718,-0.696132597,-0.722283205,-0.73318872,-0.726304579,-0.731092437,-0.75286757,-0.774327122,-0.753036437,-0.796352584,-0.726387537,-0.757281553,-0.748091603,-0.765151515,-0.740740741,-0.754820937,-0.771194166,-0.767295597,-0.763507529,-0.75261324,-0.749140893,-0.788296041,-0.837370242,-0.792262405,-0.781456954,-0.78004906,-0.819672131,-0.716627635,-0.745709828,-0.78342455,-0.769230769,-0.763857251,-0.830769231,-0.790697674,-0.781065089,-0.73381295,-0.719546742,-0.789360173,-0.792022792,-0.869565217,-0.787456446
[max],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[mean],-0.373808366,-0.357045238,-0.325287992,-0.3871021,-0.470703827,-0.414226629,-0.442528617,-0.408593959,-0.426310659,-0.428484186,-0.368621163,-0.549848569,-0.412767358,-0.469560656,-0.441681737,-0.502161448,-0.4563207,-0.420602545,-0.445309293,-0.437770737,-0.411951473,-0.470065147,-0.444774505,-0.453901546,-0.45166341,-0.446084225,-0.45497961,-0.411972097,-0.486091159,-0.474726014,-0.540385591,-0.509849925,-0.49641801,-0.455066176,-0.513760588,-0.511871468,-0.503879358,-0.572047949,-0.524798242,-0.485707791,-0.563197913,-0.560015535,-0.57784136,-0.556894771,-0.577421946,-0.608251755,-0.596501093,-0.616975257,-0.627206101,-0.602607681,-0.635519356,-0.626302938,-0.656392116,-0.668352327,-0.656009685,-0.655395422,-0.683759518,-0.693787101,-0.69000559,-0.720145878,-0.664741208,-0.690684062,-0.688534543,-0.699327491,-0.68542662,-0.692685834,-0.709985076,-0.707199775,-0.709777831,-0.701482023,-0.690428502,-0.730675945,-0.774083749,-0.734744763,-0.721841409,-0.732931022,-0.761522933,-0.672915525,-0.698880519,-0.734016621,-0.718961615,-0.71322563,-0.779054971,-0.746879333,-0.736411638,-0.69339946,-0.678875131,-0.745870432,-0.747548673,-0.817253249,-0.745841005
[steps],250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[all run data],growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth,growth
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
