"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 1 Immediate Growback.nlogo"
"Carrying Capacity Step 10"
"02/20/2021 14:09:07:458 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","initial-population","[step]","count turtles"
"2","110","30","69"
"6","150","30","98"
"4","130","30","87"
"9","180","30","118"
"11","200","30","116"
"8","170","30","110"
"3","120","30","78"
"7","160","30","107"
"5","140","30","90"
"12","210","30","133"
"10","190","30","121"
"20","290","30","178"
"17","260","30","159"
"19","280","30","178"
"13","220","30","132"
"15","240","30","163"
"16","250","30","166"
"14","230","30","158"
"18","270","30","179"
"1","100","30","74"
"21","300","30","185"
"23","320","30","202"
"24","330","30","211"
"26","350","30","209"
"32","410","30","262"
"22","310","30","211"
"29","380","30","236"
"33","420","30","263"
"25","340","30","219"
"28","370","30","223"
"27","360","30","242"
"35","440","30","272"
"34","430","30","266"
"36","450","30","290"
"37","460","30","300"
"30","390","30","238"
"31","400","30","257"
"39","480","30","299"
"38","470","30","290"
"40","490","30","306"
"43","520","30","316"
"44","530","30","332"
"42","510","30","311"
"41","500","30","324"
"46","550","30","340"
"48","570","30","348"
"45","540","30","347"
"53","620","30","371"
"47","560","30","346"
"54","630","30","395"
"55","640","30","388"
"50","590","30","345"
"57","660","30","400"
"58","670","30","404"
"51","600","30","381"
"49","580","30","371"
"56","650","30","393"
"52","610","30","380"
"59","680","30","420"
"62","710","30","435"
"60","690","30","407"
"61","700","30","413"
"63","720","30","451"
"64","730","30","448"
"68","770","30","467"
"65","740","30","446"
"67","760","30","468"
"66","750","30","461"
"70","790","30","464"
"71","800","30","483"
"69","780","30","484"
"74","830","30","491"
"72","810","30","507"
"75","840","30","510"
"73","820","30","488"
"76","850","30","512"
"77","860","30","557"
"78","870","30","503"
"79","880","30","515"
"80","890","30","539"
"82","910","30","545"
"81","900","30","523"
"83","920","30","571"
"84","930","30","557"
"87","960","30","550"
"85","940","30","556"
"88","970","30","554"
"86","950","30","552"
"89","980","30","588"
"90","990","30","565"
"91","1000","30","612"
