"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 1 Immediate Growback.nlogo"
"Growth Change"
"02/21/2021 00:21:26:123 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91"
"initial-population","100","110","120","130","140","150","160","170","180","190","200","210","220","230","240","250","260","270","280","290","300","310","320","330","340","350","360","370","380","390","400","410","420","430","440","450","460","470","480","490","500","510","520","530","540","550","560","570","580","590","600","610","620","630","640","650","660","670","680","690","700","710","720","730","740","750","760","770","780","790","800","810","820","830","840","850","860","870","880","890","900","910","920","930","940","950","960","970","980","990","1000"
"[reporter]","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth"
"[final]","-0.40963855421686746","-0.5287356321839081","-0.4","-0.4074074074074074","-0.5112107623318386","-0.38095238095238093","-0.3970037453183521","-0.39436619718309857","-0.4489795918367347","-0.5165562913907285","-0.4169184290030212","-0.48520710059171596","-0.35294117647058826","-0.4403183023872679","-0.45524296675191817","-0.4449877750611247","-0.46445497630331756","-0.4601366742596811","-0.45076586433260396","-0.5162689804772235","-0.4539877300613497","-0.421875","-0.46153846153846156","-0.4489795918367347","-0.5185185185185185","-0.42634315424610053","-0.4742268041237113","-0.44224422442244227","-0.459546925566343","-0.4261275272161742","-0.3988005997001499","-0.43684992570579495","-0.43478260869565216","-0.46771879483500717","-0.4788732394366197","-0.4691358024691358","-0.38961038961038963","-0.5167336010709505","-0.43037974683544306","-0.3990208078335373","-0.41545893719806765","-0.4727272727272727","-0.4074074074074074","-0.4766355140186916","-0.505800464037123","-0.4943310657596372","-0.41379310344827586","-0.48366013071895425","-0.43441762854144805","-0.4405377456049638","-0.5078369905956113","-0.4497991967871486","-0.4578790882061447","-0.4585365853658537","-0.440419447092469","-0.47619047619047616","-0.5142857142857142","-0.4632352941176471","-0.45709123757904246","-0.5136612021857924","-0.4778761061946903","-0.46956521739130436","-0.4742268041237113","-0.4703891708967851","-0.46256239600665555","-0.4630541871921182","-0.5186412593206297","-0.4878836833602585","-0.46250986582478293","-0.48232521602513745","-0.47295208655332305","-0.5","-0.4680210684725357","-0.47391952309985097","-0.5074626865671642","-0.4853801169590643","-0.4694903086862886","-0.5","-0.4581005586592179","-0.5035161744022504","-0.4930747922437673","-0.5120772946859904","-0.5431928127159641","-0.4750499001996008","-0.5133689839572193","-0.4771838331160365","-0.5048923679060665","-0.4619289340101523","-0.5047923322683706","-0.48900062853551224","-0.5461489497135582"
"[min]","-0.40963855421686746","-0.5287356321839081","-0.4","-0.4074074074074074","-0.5112107623318386","-0.38095238095238093","-0.3970037453183521","-0.39436619718309857","-0.4489795918367347","-0.5165562913907285","-0.4169184290030212","-0.48520710059171596","-0.35294117647058826","-0.4403183023872679","-0.45524296675191817","-0.4449877750611247","-0.46445497630331756","-0.4601366742596811","-0.45076586433260396","-0.5162689804772235","-0.4539877300613497","-0.421875","-0.46153846153846156","-0.4489795918367347","-0.5185185185185185","-0.42634315424610053","-0.4742268041237113","-0.44224422442244227","-0.459546925566343","-0.4261275272161742","-0.3988005997001499","-0.43684992570579495","-0.43478260869565216","-0.46771879483500717","-0.4788732394366197","-0.4691358024691358","-0.38961038961038963","-0.5167336010709505","-0.43037974683544306","-0.3990208078335373","-0.41545893719806765","-0.4727272727272727","-0.4074074074074074","-0.4766355140186916","-0.505800464037123","-0.4943310657596372","-0.41379310344827586","-0.48366013071895425","-0.43441762854144805","-0.4405377456049638","-0.5078369905956113","-0.4497991967871486","-0.4578790882061447","-0.4585365853658537","-0.440419447092469","-0.47619047619047616","-0.5142857142857142","-0.4632352941176471","-0.45709123757904246","-0.5136612021857924","-0.4778761061946903","-0.46956521739130436","-0.4742268041237113","-0.4703891708967851","-0.46256239600665555","-0.4630541871921182","-0.5186412593206297","-0.4878836833602585","-0.46250986582478293","-0.48232521602513745","-0.47295208655332305","-0.5","-0.4680210684725357","-0.47391952309985097","-0.5074626865671642","-0.4853801169590643","-0.4694903086862886","-0.5","-0.4581005586592179","-0.5035161744022504","-0.4930747922437673","-0.5120772946859904","-0.5431928127159641","-0.4750499001996008","-0.5133689839572193","-0.4771838331160365","-0.5048923679060665","-0.4619289340101523","-0.5047923322683706","-0.48900062853551224","-0.5461489497135582"
"[max]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[mean]","-0.3603887660859566","-0.4627046281994799","-0.35751375216157516","-0.36235522871467807","-0.4502890195422849","-0.34150447328103445","-0.34967480344105256","-0.3475229656135261","-0.3985612820559675","-0.45932963957524064","-0.3646399545154246","-0.42961414017206867","-0.3127388679285021","-0.3879748915257918","-0.4015406524147454","-0.39226224028951334","-0.41152736889900216","-0.4095448958956588","-0.4011266312030292","-0.46302636774295947","-0.3989545601335786","-0.3718252439193327","-0.4110234253632935","-0.3984038357816864","-0.45669078418716424","-0.37492723540651746","-0.4196643018445804","-0.3939981663643545","-0.4037087807457148","-0.37596300488117357","-0.35502361297036744","-0.38730724930349814","-0.38523802880563307","-0.4150338021459254","-0.4229771421041365","-0.4102404707581197","-0.3433690433141881","-0.45454450097759674","-0.38212928316800254","-0.3513995098157184","-0.3682312702605243","-0.4178611402278339","-0.36066660411935936","-0.421784678960538","-0.44513731167601456","-0.43907016990136133","-0.36485522573783963","-0.4281618882594069","-0.38376400709293124","-0.39024619460195287","-0.4494277452831778","-0.3981815780159972","-0.4040278600782703","-0.4058717191845934","-0.3906041192972407","-0.4193789602447356","-0.45633405502834273","-0.4099046904916932","-0.40452949973419505","-0.45157187906336343","-0.42383261313821663","-0.4142263209815117","-0.42200820209167716","-0.41568385180558126","-0.40435141833733634","-0.4085891817392391","-0.4582215201136491","-0.43263920032431485","-0.41086334323273754","-0.42903767477395394","-0.42193010013974414","-0.44124786756997053","-0.41420925642470396","-0.42050066854922885","-0.4476234005104247","-0.4296009524089973","-0.4143484537579274","-0.4413001293592721","-0.4077998674887066","-0.4456166758473103","-0.4365178631892484","-0.4535150334210963","-0.4793470252798516","-0.42035038846500666","-0.4547042443241308","-0.4238296906551342","-0.44678481751687715","-0.4072428143982859","-0.44672035002972954","-0.4345242201011764","-0.4839156847178306"
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

"[all run data]","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth","growth"
,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
