"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 1 Immediate Growback.nlogo"
"Growth Change"
"02/21/2021 00:21:12:569 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","initial-population","[step]","growth"
"7","160","0","0"
"5","140","0","0"
"5","140","1","0"
"7","160","1","0"
"5","140","2","-0.007168458781362007"
"7","160","2","0"
"7","160","3","-0.012578616352201259"
"5","140","3","-0.021660649819494584"
"5","140","4","-0.05128205128205128"
"7","160","4","-0.031746031746031744"
"5","140","5","-0.07407407407407407"
"7","160","5","-0.07119741100323625"
"5","140","6","-0.13740458015267176"
"7","160","6","-0.07792207792207792"
"5","140","7","-0.15384615384615385"
"7","160","7","-0.11920529801324503"
"5","140","8","-0.2047244094488189"
"7","160","8","-0.15488215488215487"
"4","130","0","0"
"5","140","9","-0.23107569721115537"
"7","160","9","-0.1917808219178082"
"5","140","10","-0.24899598393574296"
"7","160","10","-0.19931271477663232"
"5","140","11","-0.2764227642276423"
"7","160","11","-0.22996515679442509"
"5","140","12","-0.3140495867768595"
"7","160","12","-0.23776223776223776"
"8","170","0","0"
"3","120","0","0"
"5","140","13","-0.35294117647058826"
"4","130","1","0"
"7","160","13","-0.26148409893992935"
"5","140","14","-0.35294117647058826"
"7","160","14","-0.26148409893992935"
"5","140","15","-0.35294117647058826"
"7","160","15","-0.2857142857142857"
"5","140","16","-0.35294117647058826"
"4","130","2","-0.007722007722007722"
"7","160","16","-0.2939068100358423"
"5","140","17","-0.3728813559322034"
"8","170","1","0"
"3","120","1","0"
"7","160","17","-0.2939068100358423"
"6","150","0","0"
"2","110","0","0"
"5","140","18","-0.39316239316239315"
"4","130","3","-0.023346303501945526"
"7","160","18","-0.302158273381295"
"8","170","2","0"
"1","100","0","0"
"5","140","19","-0.4034334763948498"
"7","160","19","-0.302158273381295"
"3","120","2","-0.008368200836820083"
"4","130","4","-0.03125"
"8","170","3","-0.011834319526627219"
"6","150","1","0"
"2","110","1","0"
"5","140","20","-0.43478260869565216"
"7","160","20","-0.3357664233576642"
"4","130","5","-0.047244094488188976"
"3","120","3","-0.02531645569620253"
"8","170","4","-0.029850746268656716"
"5","140","21","-0.44541484716157204"
"7","160","21","-0.35294117647058826"
"1","100","1","0"
"5","140","22","-0.45614035087719296"
"7","160","22","-0.36162361623616235"
"2","110","2","-0.01834862385321101"
"8","170","5","-0.042042042042042045"
"3","120","4","-0.05128205128205128"
"6","150","2","0"
"4","130","6","-0.08"
"5","140","23","-0.4888888888888889"
"1","100","2","0"
"7","160","23","-0.37037037037037035"
"2","110","3","-0.027649769585253458"
"3","120","5","-0.07792207792207792"
"6","150","3","-0.020202020202020204"
"1","100","3","0"
"2","110","4","-0.037037037037037035"
"3","120","6","-0.12389380530973451"
"6","150","4","-0.04778156996587031"
"3","120","7","-0.13333333333333333"
"8","170","6","-0.06060606060606061"
"2","110","5","-0.09523809523809523"
"1","100","4","-0.020202020202020204"
"4","130","7","-0.10526315789473684"
"6","150","5","-0.0979020979020979"
"3","120","8","-0.15246636771300448"
"2","110","6","-0.10526315789473684"
"1","100","5","-0.020202020202020204"
"6","150","6","-0.1276595744680851"
"4","130","8","-0.1487603305785124"
"5","140","24","-0.5"
"8","170","7","-0.09876543209876543"
"7","160","24","-0.3970037453183521"
"3","120","9","-0.15246636771300448"
"2","110","7","-0.11538461538461539"
