Initial-Population,Immediate Growback Carrying Capacity,Constant Growback Carrying Capacity
100,74,68.2659176
110,69,76.0287141
120,78,73.8776529
130,87,68.8626717
140,90,86.3245943
150,98,100.194757
160,107,88.82397
170,110,109.466916
180,118,113.116105
190,121,122.367041
200,116,121.600499
210,133,133.825218
220,132,140.428215
230,158,132.795256
240,163,141.856429
250,166,165.80025
260,159,163.404494
270,179,157.644195
280,178,168.545568
290,178,175.193508
300,185,182.149813
310,211,179.037453
320,202,181.93633
330,211,214.061174
340,219,193.510612
350,209,210.062422
360,242,215.569288
370,223,213.600499
380,236,221.128589
390,238,237.561798
400,257,226.029963
410,262,227.923845
420,263,245.35206
430,266,244.742821
440,272,246.106117
450,290,257.972534
460,300,269.219725
470,290,253.818976
480,299,260.147316
490,306,272.193508
500,324,252.627965
510,311,268.865169
520,316,285.189763
530,332,274.443196
540,347,279.612984
550,340,280.289638
560,346,284.486891
570,348,301.55181
580,371,290.54432
590,345,296.139825
600,381,300.535581
610,380,290.440699
620,371,304.656679
630,395,305.692884
640,388,318.916355
650,393,300.137328
660,400,318.657928
670,404,301.794007
680,420,308.35206
690,407,331.285893
700,413,300.641698
710,435,344.571785
720,451,322.523096
730,448,309.164794
740,446,325.529338
750,461,340.393258
760,468,335.454432
770,467,357.821473
780,484,366.791511
790,464,343.952559
800,483,376.11985
810,507,375.315855
820,488,383.901373
830,491,350.275905
840,510,380.413233
850,512,356.111111
860,557,383.576779
870,503,378.792759
880,515,402.691635
890,539,394.932584
900,523,399.866417
910,545,407.514357
920,571,405.409488
930,557,421.97628
940,556,409.655431
950,552,409.086142
960,550,407.072409
970,554,459.991261
980,588,447.463171
990,565,442.690387
1000,612,440.405743
