"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 1 Immediate Growback.nlogo"
"survivor-rate & high-meta"
"02/21/2021 12:38:40:769 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","survivor-rate","high-metabolism"
"5","no-visualization","100","200","0.55","0.23636363636363636"
"6","no-visualization","100","200","0.59","0.3559322033898305"
"7","no-visualization","100","200","0.66","0.19696969696969696"
"8","no-visualization","100","200","0.61","0.3442622950819672"
"10","no-visualization","100","200","0.63","0.4444444444444444"
"2","no-visualization","100","200","0.56","0.2857142857142857"
"9","no-visualization","100","200","0.7","0.35714285714285715"
"4","no-visualization","100","200","0.68","0.2647058823529412"
"3","no-visualization","100","200","0.64","0.234375"
"11","no-visualization","200","200","0.635","0.29133858267716534"
"12","no-visualization","200","200","0.65","0.3076923076923077"
"14","no-visualization","200","200","0.645","0.3798449612403101"
"16","no-visualization","200","200","0.67","0.31343283582089554"
"18","no-visualization","200","200","0.64","0.3359375"
"20","no-visualization","200","200","0.565","0.23893805309734514"
"13","no-visualization","200","200","0.715","0.3356643356643357"
"15","no-visualization","200","200","0.675","0.28888888888888886"
"1","no-visualization","100","200","0.67","0.23880597014925373"
"17","no-visualization","200","200","0.635","0.3464566929133858"
"19","no-visualization","200","200","0.605","0.33884297520661155"
"21","no-visualization","300","200","0.6166666666666667","0.2918918918918919"
"22","no-visualization","300","200","0.6233333333333333","0.31016042780748665"
"23","no-visualization","300","200","0.6466666666666666","0.29896907216494845"
"26","no-visualization","300","200","0.6066666666666667","0.2857142857142857"
"29","no-visualization","300","200","0.6333333333333333","0.34210526315789475"
"27","no-visualization","300","200","0.6533333333333333","0.32142857142857145"
"25","no-visualization","300","200","0.6933333333333334","0.25"
"24","no-visualization","300","200","0.6733333333333333","0.23267326732673269"
"28","no-visualization","300","200","0.6233333333333333","0.26737967914438504"
"30","no-visualization","300","200","0.6566666666666666","0.29441624365482233"
"31","no-visualization","400","200","0.61","0.27459016393442626"
"32","no-visualization","400","200","0.6275","0.32270916334661354"
"33","no-visualization","400","200","0.625","0.356"
"34","no-visualization","400","200","0.6225","0.24899598393574296"
"35","no-visualization","400","200","0.665","0.30451127819548873"
"36","no-visualization","400","200","0.6075","0.2757201646090535"
"37","no-visualization","400","200","0.635","0.2677165354330709"
"38","no-visualization","400","200","0.6175","0.27125506072874495"
"39","no-visualization","400","200","0.645","0.29069767441860467"
"40","no-visualization","400","200","0.6775","0.2878228782287823"
"41","no-visualization","500","200","0.614","0.2899022801302932"
"42","no-visualization","500","200","0.626","0.3035143769968051"
"43","no-visualization","500","200","0.592","0.30067567567567566"
"44","no-visualization","500","200","0.636","0.279874213836478"
"45","no-visualization","500","200","0.6","0.34"
"46","no-visualization","500","200","0.628","0.321656050955414"
"47","no-visualization","500","200","0.612","0.30718954248366015"
"48","no-visualization","500","200","0.63","0.24126984126984127"
"50","no-visualization","500","200","0.606","0.32673267326732675"
"49","no-visualization","500","200","0.63","0.27936507936507937"
"51","no-visualization","600","200","0.6116666666666667","0.3188010899182561"
"52","no-visualization","600","200","0.64","0.2838541666666667"
"54","no-visualization","600","200","0.595","0.28291316526610644"
"53","no-visualization","600","200","0.64","0.265625"
"56","no-visualization","600","200","0.5966666666666667","0.29329608938547486"
"55","no-visualization","600","200","0.6233333333333333","0.25935828877005346"
"57","no-visualization","600","200","0.6183333333333333","0.2695417789757412"
"58","no-visualization","600","200","0.64","0.2630208333333333"
