"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 2 Constant Growback.nlogo"
"initialpop vs Growback"
"02/21/2021 13:11:18:412 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","Growback-number","visualization","initial-population","[step]","survivor-rate","high-metabolism"
"3","1","no-visualization","100","600","0.56","0.25"
"10","1","no-visualization","100","600","0.58","0.3275862068965517"
"7","1","no-visualization","100","600","0.6","0.25"
"9","1","no-visualization","100","600","0.54","0.2962962962962963"
"8","1","no-visualization","100","600","0.62","0.2903225806451613"
"2","1","no-visualization","100","600","0.6","0.4"
"5","1","no-visualization","100","600","0.54","0.35185185185185186"
"6","1","no-visualization","100","600","0.66","0.2727272727272727"
"4","1","no-visualization","100","600","0.62","0.25806451612903225"
"12","1","no-visualization","200","600","0.555","0.27927927927927926"
"11","1","no-visualization","200","600","0.59","0.2542372881355932"
"1","1","no-visualization","100","600","0.68","0.3235294117647059"
"14","1","no-visualization","200","600","0.55","0.2545454545454545"
"13","1","no-visualization","200","600","0.625","0.304"
"16","1","no-visualization","200","600","0.605","0.30578512396694213"
"17","1","no-visualization","200","600","0.6","0.2916666666666667"
"15","1","no-visualization","200","600","0.615","0.2926829268292683"
"19","1","no-visualization","200","600","0.62","0.3387096774193548"
"18","1","no-visualization","200","600","0.575","0.2608695652173913"
"20","1","no-visualization","200","600","0.58","0.3706896551724138"
"21","1","no-visualization","300","600","0.5966666666666667","0.3128491620111732"
"23","1","no-visualization","300","600","0.6366666666666667","0.23036649214659685"
"22","1","no-visualization","300","600","0.6033333333333334","0.1878453038674033"
"24","1","no-visualization","300","600","0.5933333333333334","0.2696629213483146"
"25","1","no-visualization","300","600","0.5733333333333334","0.25"
"26","1","no-visualization","300","600","0.6033333333333334","0.2541436464088398"
"28","1","no-visualization","300","600","0.5566666666666666","0.2874251497005988"
"29","1","no-visualization","300","600","0.59","0.22033898305084745"
"27","1","no-visualization","300","600","0.6366666666666667","0.225130890052356"
"30","1","no-visualization","300","600","0.59","0.2937853107344633"
"31","1","no-visualization","400","600","0.535","0.2757009345794392"
"32","1","no-visualization","400","600","0.5625","0.27111111111111114"
"35","1","no-visualization","400","600","0.535","0.24766355140186916"
"33","1","no-visualization","400","600","0.58","0.20689655172413793"
"34","1","no-visualization","400","600","0.5825","0.2145922746781116"
"36","1","no-visualization","400","600","0.59","0.2245762711864407"
"37","1","no-visualization","400","600","0.555","0.28378378378378377"
"38","1","no-visualization","400","600","0.535","0.1822429906542056"
"39","1","no-visualization","400","600","0.5425","0.2534562211981567"
"40","1","no-visualization","400","600","0.5725","0.27510917030567683"
"41","1","no-visualization","500","600","0.522","0.19157088122605365"
"42","1","no-visualization","500","600","0.5","0.176"
"43","1","no-visualization","500","600","0.532","0.18421052631578946"
"44","1","no-visualization","500","600","0.524","0.14122137404580154"
"45","1","no-visualization","500","600","0.518","0.16602316602316602"
"46","1","no-visualization","500","600","0.516","0.1821705426356589"
"47","1","no-visualization","500","600","0.532","0.16917293233082706"
"48","1","no-visualization","500","600","0.534","0.10486891385767791"
"49","1","no-visualization","500","600","0.534","0.15355805243445692"
"50","1","no-visualization","500","600","0.522","0.1685823754789272"
"51","1","no-visualization","600","600","0.47","0.04964539007092199"
"52","1","no-visualization","600","600","0.49666666666666665","0.040268456375838924"
"53","1","no-visualization","600","600","0.47333333333333333","0.07394366197183098"
"54","1","no-visualization","600","600","0.48333333333333334","0.04827586206896552"
"55","1","no-visualization","600","600","0.45666666666666667","0.08394160583941605"
"56","1","no-visualization","600","600","0.45166666666666666","0.11070110701107011"
"57","1","no-visualization","600","600","0.4666666666666667","0.09642857142857143"
"59","1","no-visualization","600","600","0.4766666666666667","0.03496503496503497"
"58","1","no-visualization","600","600","0.48","0.0625"
"60","1","no-visualization","600","600","0.4716666666666667","0.05653710247349823"
"62","1","no-visualization","700","600","0.4328571428571429","0.0462046204620462"
"61","1","no-visualization","700","600","0.47714285714285715","0"
"63","1","no-visualization","700","600","0.44","0.003246753246753247"
"64","1","no-visualization","700","600","0.43857142857142856","0.026058631921824105"
"65","1","no-visualization","700","600","0.4471428571428571","0.03194888178913738"
"67","1","no-visualization","700","600","0.44142857142857145","0.016181229773462782"
"66","1","no-visualization","700","600","0.44857142857142857","0.025477707006369428"
"68","1","no-visualization","700","600","0.4328571428571429","0.056105610561056105"
"69","1","no-visualization","700","600","0.4442857142857143","0.03858520900321544"
"70","1","no-visualization","700","600","0.46","0.024844720496894408"
"71","1","no-visualization","800","600","0.4175","0.020958083832335328"
"72","1","no-visualization","800","600","0.4225","0.0029585798816568047"
"73","1","no-visualization","800","600","0.43625","0"
"74","1","no-visualization","800","600","0.4525","0"
"75","1","no-visualization","800","600","0.42","0"
"78","1","no-visualization","800","600","0.4325","0"
"76","1","no-visualization","800","600","0.4675","0"
"77","1","no-visualization","800","600","0.4275","0"
"79","1","no-visualization","800","600","0.42125","0"
"80","1","no-visualization","800","600","0.445","0"
"81","1","no-visualization","900","600","0.45111111111111113","0"
"82","1","no-visualization","900","600","0.4266666666666667","0"
"83","1","no-visualization","900","600","0.4077777777777778","0"
"84","1","no-visualization","900","600","0.42777777777777776","0"
"86","1","no-visualization","900","600","0.43444444444444447","0"
"85","1","no-visualization","900","600","0.41333333333333333","0"
"88","1","no-visualization","900","600","0.4288888888888889","0"
"87","1","no-visualization","900","600","0.4633333333333333","0"
"89","1","no-visualization","900","600","0.44555555555555554","0"
"90","1","no-visualization","900","600","0.45444444444444443","0"
"91","1","no-visualization","1000","600","0.447","0"
"92","1","no-visualization","1000","600","0.422","0"
"93","1","no-visualization","1000","600","0.451","0"
"101","2","no-visualization","100","600","0.71","0.36619718309859156"
"102","2","no-visualization","100","600","0.7","0.34285714285714286"
"103","2","no-visualization","100","600","0.75","0.32"
"95","1","no-visualization","1000","600","0.429","0"
"96","1","no-visualization","1000","600","0.428","0"
"94","1","no-visualization","1000","600","0.471","0"
"105","2","no-visualization","100","600","0.64","0.421875"
"104","2","no-visualization","100","600","0.74","0.24324324324324326"
"106","2","no-visualization","100","600","0.69","0.30434782608695654"
"107","2","no-visualization","100","600","0.71","0.4084507042253521"
"97","1","no-visualization","1000","600","0.424","0"
"98","1","no-visualization","1000","600","0.449","0"
"108","2","no-visualization","100","600","0.72","0.2916666666666667"
"109","2","no-visualization","100","600","0.69","0.37681159420289856"
"99","1","no-visualization","1000","600","0.452","0"
"110","2","no-visualization","100","600","0.72","0.4305555555555556"
"100","1","no-visualization","1000","600","0.47","0"
"111","2","no-visualization","200","600","0.64","0.3359375"
"112","2","no-visualization","200","600","0.6","0.3"
"113","2","no-visualization","200","600","0.635","0.30708661417322836"
"114","2","no-visualization","200","600","0.605","0.2975206611570248"
"115","2","no-visualization","200","600","0.63","0.2619047619047619"
"116","2","no-visualization","200","600","0.61","0.319672131147541"
"117","2","no-visualization","200","600","0.675","0.24444444444444444"
"118","2","no-visualization","200","600","0.655","0.32061068702290074"
"119","2","no-visualization","200","600","0.675","0.24444444444444444"
"120","2","no-visualization","200","600","0.655","0.29770992366412213"
"122","2","no-visualization","300","600","0.6366666666666667","0.193717277486911"
"121","2","no-visualization","300","600","0.63","0.25396825396825395"
"123","2","no-visualization","300","600","0.6","0.25"
"124","2","no-visualization","300","600","0.63","0.17989417989417988"
"126","2","no-visualization","300","600","0.5633333333333334","0.1893491124260355"
"125","2","no-visualization","300","600","0.6266666666666667","0.21808510638297873"
"127","2","no-visualization","300","600","0.5733333333333334","0.28488372093023256"
"128","2","no-visualization","300","600","0.61","0.24043715846994534"
"129","2","no-visualization","300","600","0.5433333333333333","0.22699386503067484"
"130","2","no-visualization","300","600","0.6466666666666666","0.31958762886597936"
"132","2","no-visualization","400","600","0.5775","0.22077922077922077"
"131","2","no-visualization","400","600","0.6075","0.22633744855967078"
"134","2","no-visualization","400","600","0.5675","0.28193832599118945"
"136","2","no-visualization","400","600","0.5825","0.26180257510729615"
"135","2","no-visualization","400","600","0.56","0.25"
"133","2","no-visualization","400","600","0.6","0.22083333333333333"
"137","2","no-visualization","400","600","0.6125","0.27346938775510204"
"139","2","no-visualization","400","600","0.5625","0.24888888888888888"
"138","2","no-visualization","400","600","0.61","0.27459016393442626"
"140","2","no-visualization","400","600","0.57","0.2324561403508772"
"141","2","no-visualization","500","600","0.568","0.23943661971830985"
"142","2","no-visualization","500","600","0.6","0.23"
"143","2","no-visualization","500","600","0.584","0.25"
"144","2","no-visualization","500","600","0.59","0.2677966101694915"
"145","2","no-visualization","500","600","0.556","0.22302158273381295"
"146","2","no-visualization","500","600","0.596","0.27181208053691275"
"148","2","no-visualization","500","600","0.54","0.22962962962962963"
"147","2","no-visualization","500","600","0.556","0.21942446043165467"
"149","2","no-visualization","500","600","0.558","0.25089605734767023"
"150","2","no-visualization","500","600","0.556","0.2805755395683453"
"151","2","no-visualization","600","600","0.5883333333333334","0.24079320113314448"
"152","2","no-visualization","600","600","0.5866666666666667","0.21875"
"153","2","no-visualization","600","600","0.5966666666666667","0.2569832402234637"
"154","2","no-visualization","600","600","0.57","0.23976608187134502"
"155","2","no-visualization","600","600","0.5683333333333334","0.24633431085043989"
"156","2","no-visualization","600","600","0.61","0.19672131147540983"
"157","2","no-visualization","600","600","0.58","0.20689655172413793"
"158","2","no-visualization","600","600","0.5966666666666667","0.2569832402234637"
"160","2","no-visualization","600","600","0.565","0.22713864306784662"
"159","2","no-visualization","600","600","0.5816666666666667","0.28939828080229224"
"161","2","no-visualization","700","600","0.58","0.25862068965517243"
"162","2","no-visualization","700","600","0.5857142857142857","0.2658536585365854"
"163","2","no-visualization","700","600","0.53","0.21024258760107817"
"164","2","no-visualization","700","600","0.5642857142857143","0.21012658227848102"
"167","2","no-visualization","700","600","0.5385714285714286","0.2413793103448276"
"165","2","no-visualization","700","600","0.56","0.25510204081632654"
"166","2","no-visualization","700","600","0.5942857142857143","0.21875"
"169","2","no-visualization","700","600","0.5685714285714286","0.228643216080402"
"168","2","no-visualization","700","600","0.5857142857142857","0.1975609756097561"
"170","2","no-visualization","700","600","0.5485714285714286","0.21875"
"171","2","no-visualization","800","600","0.565","0.19247787610619468"
"172","2","no-visualization","800","600","0.58375","0.22269807280513917"
"173","2","no-visualization","800","600","0.54","0.25925925925925924"
"174","2","no-visualization","800","600","0.55375","0.23476297968397292"
"175","2","no-visualization","800","600","0.535","0.205607476635514"
"176","2","no-visualization","800","600","0.56375","0.21951219512195122"
"177","2","no-visualization","800","600","0.5725","0.21615720524017468"
"179","2","no-visualization","800","600","0.555","0.19594594594594594"
"178","2","no-visualization","800","600","0.565","0.22787610619469026"
"180","2","no-visualization","800","600","0.58125","0.25161290322580643"
"182","2","no-visualization","900","600","0.5544444444444444","0.18036072144288579"
"181","2","no-visualization","900","600","0.5488888888888889","0.15991902834008098"
"183","2","no-visualization","900","600","0.5422222222222223","0.18237704918032788"
"184","2","no-visualization","900","600","0.5655555555555556","0.21218074656188604"
"186","2","no-visualization","900","600","0.5277777777777778","0.18526315789473685"
"185","2","no-visualization","900","600","0.5255555555555556","0.2029598308668076"
"187","2","no-visualization","900","600","0.5388888888888889","0.1979381443298969"
"188","2","no-visualization","900","600","0.5211111111111111","0.208955223880597"
"189","2","no-visualization","900","600","0.5344444444444445","0.1995841995841996"
"190","2","no-visualization","900","600","0.5411111111111111","0.23613963039014374"
"191","2","no-visualization","1000","600","0.53","0.18490566037735848"
"201","3","no-visualization","100","600","0.63","0.3333333333333333"
"192","2","no-visualization","1000","600","0.53","0.16792452830188678"
"193","2","no-visualization","1000","600","0.515","0.17281553398058253"
"202","3","no-visualization","100","600","0.64","0.296875"
"203","3","no-visualization","100","600","0.56","0.3392857142857143"
"195","2","no-visualization","1000","600","0.517","0.16827852998065765"
"194","2","no-visualization","1000","600","0.529","0.16824196597353497"
"204","3","no-visualization","100","600","0.66","0.3181818181818182"
"196","2","no-visualization","1000","600","0.509","0.18664047151277013"
"206","3","no-visualization","100","600","0.61","0.3442622950819672"
"205","3","no-visualization","100","600","0.66","0.30303030303030304"
"207","3","no-visualization","100","600","0.72","0.2777777777777778"
"197","2","no-visualization","1000","600","0.534","0.18726591760299627"
"208","3","no-visualization","100","600","0.65","0.3076923076923077"
"209","3","no-visualization","100","600","0.63","0.2698412698412698"
"198","2","no-visualization","1000","600","0.529","0.17580340264650285"
"210","3","no-visualization","100","600","0.68","0.39705882352941174"
"200","2","no-visualization","1000","600","0.536","0.15298507462686567"
"199","2","no-visualization","1000","600","0.533","0.18198874296435272"
"212","3","no-visualization","200","600","0.67","0.3283582089552239"
"211","3","no-visualization","200","600","0.69","0.3188405797101449"
"213","3","no-visualization","200","600","0.645","0.34108527131782945"
"214","3","no-visualization","200","600","0.66","0.26515151515151514"
"215","3","no-visualization","200","600","0.62","0.2661290322580645"
"216","3","no-visualization","200","600","0.67","0.3582089552238806"
"218","3","no-visualization","200","600","0.675","0.2518518518518518"
"217","3","no-visualization","200","600","0.645","0.34108527131782945"
"219","3","no-visualization","200","600","0.68","0.3088235294117647"
"220","3","no-visualization","200","600","0.67","0.34328358208955223"
"221","3","no-visualization","300","600","0.6266666666666667","0.31382978723404253"
"223","3","no-visualization","300","600","0.6533333333333333","0.28061224489795916"
"224","3","no-visualization","300","600","0.6366666666666667","0.31413612565445026"
"222","3","no-visualization","300","600","0.6233333333333333","0.28342245989304815"
"225","3","no-visualization","300","600","0.64","0.296875"
"228","3","no-visualization","300","600","0.64","0.3645833333333333"
"226","3","no-visualization","300","600","0.6666666666666666","0.28"
"227","3","no-visualization","300","600","0.68","0.3088235294117647"
"229","3","no-visualization","300","600","0.6","0.3388888888888889"
"230","3","no-visualization","300","600","0.6433333333333333","0.3316062176165803"
"231","3","no-visualization","400","600","0.62","0.2862903225806452"
"232","3","no-visualization","400","600","0.62","0.25"
"235","3","no-visualization","400","600","0.605","0.24793388429752067"
"234","3","no-visualization","400","600","0.6","0.275"
"233","3","no-visualization","400","600","0.5925","0.22784810126582278"
"237","3","no-visualization","400","600","0.6125","0.27346938775510204"
"236","3","no-visualization","400","600","0.615","0.3008130081300813"
"238","3","no-visualization","400","600","0.595","0.25210084033613445"
"240","3","no-visualization","400","600","0.5975","0.28451882845188287"
"239","3","no-visualization","400","600","0.6225","0.24899598393574296"
"241","3","no-visualization","500","600","0.574","0.18118466898954705"
"242","3","no-visualization","500","600","0.552","0.19927536231884058"
"243","3","no-visualization","500","600","0.592","0.21621621621621623"
"244","3","no-visualization","500","600","0.568","0.25"
"246","3","no-visualization","500","600","0.568","0.24295774647887325"
"245","3","no-visualization","500","600","0.548","0.25547445255474455"
"248","3","no-visualization","500","600","0.576","0.2152777777777778"
"247","3","no-visualization","500","600","0.6","0.21333333333333335"
"249","3","no-visualization","500","600","0.574","0.21951219512195122"
"250","3","no-visualization","500","600","0.582","0.24742268041237114"
"253","3","no-visualization","600","600","0.5483333333333333","0.24620060790273557"
"251","3","no-visualization","600","600","0.5516666666666666","0.23867069486404835"
"252","3","no-visualization","600","600","0.5983333333333334","0.22562674094707522"
"254","3","no-visualization","600","600","0.54","0.2345679012345679"
"255","3","no-visualization","600","600","0.5766666666666667","0.21965317919075145"
"256","3","no-visualization","600","600","0.5733333333333334","0.2238372093023256"
"258","3","no-visualization","600","600","0.5633333333333334","0.20710059171597633"
"257","3","no-visualization","600","600","0.6166666666666667","0.26756756756756755"
"259","3","no-visualization","600","600","0.585","0.2564102564102564"
"260","3","no-visualization","600","600","0.5783333333333334","0.2680115273775216"
"262","3","no-visualization","700","600","0.5528571428571428","0.2041343669250646"
"261","3","no-visualization","700","600","0.5985714285714285","0.2052505966587112"
"263","3","no-visualization","700","600","0.5514285714285714","0.21502590673575128"
"265","3","no-visualization","700","600","0.5257142857142857","0.24728260869565216"
"264","3","no-visualization","700","600","0.5942857142857143","0.22596153846153846"
"266","3","no-visualization","700","600","0.56","0.22448979591836735"
"267","3","no-visualization","700","600","0.58","0.22660098522167488"
"269","3","no-visualization","700","600","0.5857142857142857","0.24146341463414633"
"268","3","no-visualization","700","600","0.5671428571428572","0.2040302267002519"
"270","3","no-visualization","700","600","0.5714285714285714","0.28"
"271","3","no-visualization","800","600","0.53125","0.23529411764705882"
"272","3","no-visualization","800","600","0.55875","0.203579418344519"
"273","3","no-visualization","800","600","0.54375","0.23908045977011494"
"275","3","no-visualization","800","600","0.55","0.225"
"274","3","no-visualization","800","600","0.57125","0.25820568927789933"
"276","3","no-visualization","800","600","0.5475","0.18036529680365296"
"277","3","no-visualization","800","600","0.5625","0.21777777777777776"
"278","3","no-visualization","800","600","0.56125","0.2383073496659243"
"279","3","no-visualization","800","600","0.56125","0.24944320712694878"
"280","3","no-visualization","800","600","0.55","0.22727272727272727"
"281","3","no-visualization","900","600","0.5677777777777778","0.20939334637964774"
"282","3","no-visualization","900","600","0.53","0.23270440251572327"
"283","3","no-visualization","900","600","0.5611111111111111","0.2396039603960396"
"284","3","no-visualization","900","600","0.5655555555555556","0.21021611001964635"
"285","3","no-visualization","900","600","0.5466666666666666","0.21951219512195122"
"287","3","no-visualization","900","600","0.5644444444444444","0.23228346456692914"
"286","3","no-visualization","900","600","0.5555555555555556","0.206"
"288","3","no-visualization","900","600","0.5466666666666666","0.23577235772357724"
"289","3","no-visualization","900","600","0.5622222222222222","0.21936758893280633"
"290","3","no-visualization","900","600","0.57","0.23196881091617932"
"292","3","no-visualization","1000","600","0.526","0.24714828897338403"
"291","3","no-visualization","1000","600","0.577","0.21663778162911612"
"301","4","no-visualization","100","600","0.67","0.22388059701492538"
"302","4","no-visualization","100","600","0.64","0.265625"
"295","3","no-visualization","1000","600","0.548","0.21715328467153286"
"293","3","no-visualization","1000","600","0.56","0.22321428571428573"
"294","3","no-visualization","1000","600","0.546","0.21978021978021978"
"303","4","no-visualization","100","600","0.69","0.3333333333333333"
"304","4","no-visualization","100","600","0.65","0.3230769230769231"
"305","4","no-visualization","100","600","0.66","0.3333333333333333"
"306","4","no-visualization","100","600","0.62","0.43548387096774194"
"307","4","no-visualization","100","600","0.6","0.4"
"296","3","no-visualization","1000","600","0.576","0.203125"
"310","4","no-visualization","100","600","0.62","0.3709677419354839"
"309","4","no-visualization","100","600","0.6","0.25"
"308","4","no-visualization","100","600","0.75","0.28"
"297","3","no-visualization","1000","600","0.538","0.19516728624535315"
"300","3","no-visualization","1000","600","0.533","0.21951219512195122"
"298","3","no-visualization","1000","600","0.577","0.22530329289428075"
"311","4","no-visualization","200","600","0.61","0.3360655737704918"
"312","4","no-visualization","200","600","0.605","0.2396694214876033"
"299","3","no-visualization","1000","600","0.569","0.2478031634446397"
"314","4","no-visualization","200","600","0.615","0.2845528455284553"
"313","4","no-visualization","200","600","0.62","0.28225806451612906"
"316","4","no-visualization","200","600","0.64","0.3046875"
"315","4","no-visualization","200","600","0.66","0.3106060606060606"
"317","4","no-visualization","200","600","0.66","0.30303030303030304"
"319","4","no-visualization","200","600","0.61","0.2786885245901639"
"318","4","no-visualization","200","600","0.69","0.3188405797101449"
"320","4","no-visualization","200","600","0.645","0.31007751937984496"
"321","4","no-visualization","300","600","0.6","0.3333333333333333"
"322","4","no-visualization","300","600","0.61","0.3333333333333333"
"323","4","no-visualization","300","600","0.6433333333333333","0.2849740932642487"
"324","4","no-visualization","300","600","0.6633333333333333","0.3065326633165829"
"326","4","no-visualization","300","600","0.5733333333333334","0.3023255813953488"
"325","4","no-visualization","300","600","0.6466666666666666","0.26804123711340205"
"327","4","no-visualization","300","600","0.6133333333333333","0.2554347826086957"
"328","4","no-visualization","300","600","0.61","0.34972677595628415"
"329","4","no-visualization","300","600","0.7","0.3047619047619048"
"330","4","no-visualization","300","600","0.63","0.31216931216931215"
"331","4","no-visualization","400","600","0.6525","0.2720306513409962"
"332","4","no-visualization","400","600","0.6375","0.3137254901960784"
"333","4","no-visualization","400","600","0.615","0.3008130081300813"
"334","4","no-visualization","400","600","0.61","0.29098360655737704"
"335","4","no-visualization","400","600","0.6625","0.28679245283018867"
"336","4","no-visualization","400","600","0.63","0.32142857142857145"
"337","4","no-visualization","400","600","0.6375","0.30196078431372547"
"338","4","no-visualization","400","600","0.6925","0.30324909747292417"
"339","4","no-visualization","400","600","0.605","0.3181818181818182"
"340","4","no-visualization","400","600","0.6125","0.3183673469387755"
"341","4","no-visualization","500","600","0.618","0.3300970873786408"
"342","4","no-visualization","500","600","0.632","0.2721518987341772"
