"BehaviorSpace results (NetLogo 6.2.0)"
"Sugarscape 2 Constant Growback.nlogo"
"survivor-rate & high-meta"
"02/21/2021 12:58:28:653 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","survivor-rate","high-metabolism"
"10","no-visualization","100","600","0.58","0.22413793103448276"
"2","no-visualization","100","600","0.62","0.2903225806451613"
"4","no-visualization","100","600","0.61","0.3114754098360656"
"7","no-visualization","100","600","0.61","0.29508196721311475"
"6","no-visualization","100","600","0.61","0.2459016393442623"
"3","no-visualization","100","600","0.63","0.2857142857142857"
"9","no-visualization","100","600","0.59","0.288135593220339"
"8","no-visualization","100","600","0.63","0.25396825396825395"
"5","no-visualization","100","600","0.66","0.2727272727272727"
"12","no-visualization","200","600","0.615","0.3170731707317073"
"11","no-visualization","200","600","0.65","0.3076923076923077"
"1","no-visualization","100","600","0.66","0.3181818181818182"
"15","no-visualization","200","600","0.585","0.23076923076923078"
"14","no-visualization","200","600","0.67","0.29850746268656714"
"18","no-visualization","200","600","0.575","0.22608695652173913"
"13","no-visualization","200","600","0.615","0.2764227642276423"
"19","no-visualization","200","600","0.58","0.35344827586206895"
"16","no-visualization","200","600","0.61","0.26229508196721313"
"17","no-visualization","200","600","0.605","0.2892561983471074"
"20","no-visualization","200","600","0.665","0.3157894736842105"
"21","no-visualization","300","600","0.6","0.3"
"22","no-visualization","300","600","0.5766666666666667","0.3063583815028902"
"24","no-visualization","300","600","0.55","0.28484848484848485"
"23","no-visualization","300","600","0.6","0.2388888888888889"
"28","no-visualization","300","600","0.59","0.24858757062146894"
"25","no-visualization","300","600","0.58","0.22988505747126436"
"27","no-visualization","300","600","0.5766666666666667","0.14450867052023122"
"26","no-visualization","300","600","0.6033333333333334","0.30939226519337015"
"29","no-visualization","300","600","0.52","0.26282051282051283"
"30","no-visualization","300","600","0.54","0.30246913580246915"
"31","no-visualization","400","600","0.56","0.26339285714285715"
"32","no-visualization","400","600","0.58","0.22844827586206898"
"33","no-visualization","400","600","0.5525","0.23529411764705882"
"34","no-visualization","400","600","0.5575","0.2062780269058296"
"35","no-visualization","400","600","0.56","0.20982142857142858"
"36","no-visualization","400","600","0.575","0.21304347826086956"
"40","no-visualization","400","600","0.555","0.25675675675675674"
"37","no-visualization","400","600","0.5875","0.2553191489361702"
"39","no-visualization","400","600","0.5825","0.2446351931330472"
"38","no-visualization","400","600","0.6025","0.2157676348547718"
"42","no-visualization","500","600","0.522","0.1417624521072797"
"41","no-visualization","500","600","0.542","0.11808118081180811"
"43","no-visualization","500","600","0.54","0.14444444444444443"
"44","no-visualization","500","600","0.54","0.0962962962962963"
"45","no-visualization","500","600","0.54","0.13333333333333333"
"46","no-visualization","500","600","0.54","0.14074074074074075"
"47","no-visualization","500","600","0.52","0.2076923076923077"
"48","no-visualization","500","600","0.534","0.17228464419475656"
"49","no-visualization","500","600","0.502","0.15139442231075698"
"50","no-visualization","500","600","0.526","0.13307984790874525"
"52","no-visualization","600","600","0.45666666666666667","0.11313868613138686"
"51","no-visualization","600","600","0.48333333333333334","0.06206896551724138"
"53","no-visualization","600","600","0.49666666666666665","0.08053691275167785"
"54","no-visualization","600","600","0.485","0.06529209621993128"
"55","no-visualization","600","600","0.48333333333333334","0.041379310344827586"
"56","no-visualization","600","600","0.49","0.027210884353741496"
"57","no-visualization","600","600","0.48833333333333334","0.040955631399317405"
"58","no-visualization","600","600","0.4716666666666667","0.08833922261484099"
"59","no-visualization","600","600","0.5016666666666667","0.04983388704318937"
"60","no-visualization","600","600","0.465","0.07885304659498207"
"61","no-visualization","700","600","0.45","0.006349206349206349"
"62","no-visualization","700","600","0.4471428571428571","0.009584664536741214"
"63","no-visualization","700","600","0.4514285714285714","0"
"64","no-visualization","700","600","0.45285714285714285","0.012618296529968454"
"65","no-visualization","700","600","0.43","0.023255813953488372"
"66","no-visualization","700","600","0.4514285714285714","0.02531645569620253"
"67","no-visualization","700","600","0.4614285714285714","0.0030959752321981426"
"69","no-visualization","700","600","0.45571428571428574","0.009404388714733543"
"68","no-visualization","700","600","0.47714285714285715","0.011976047904191617"
"70","no-visualization","700","600","0.4757142857142857","0.015015015015015015"
"71","no-visualization","800","600","0.4275","0"
"73","no-visualization","800","600","0.425","0"
"74","no-visualization","800","600","0.445","0"
"72","no-visualization","800","600","0.45625","0"
"75","no-visualization","800","600","0.445","0"
"76","no-visualization","800","600","0.43625","0"
"77","no-visualization","800","600","0.46875","0"
"78","no-visualization","800","600","0.41875","0"
"79","no-visualization","800","600","0.47375","0"
"80","no-visualization","800","600","0.46875","0"
"81","no-visualization","900","600","0.43777777777777777","0"
"82","no-visualization","900","600","0.4311111111111111","0"
"84","no-visualization","900","600","0.4122222222222222","0"
"83","no-visualization","900","600","0.4477777777777778","0"
"85","no-visualization","900","600","0.4088888888888889","0"
"86","no-visualization","900","600","0.4122222222222222","0"
"87","no-visualization","900","600","0.43666666666666665","0"
"88","no-visualization","900","600","0.44333333333333336","0"
"90","no-visualization","900","600","0.43","0"
"89","no-visualization","900","600","0.45666666666666667","0"
"91","no-visualization","1000","600","0.447","0"
"92","no-visualization","1000","600","0.446","0"
"93","no-visualization","1000","600","0.437","0"
"94","no-visualization","1000","600","0.424","0"
"96","no-visualization","1000","600","0.424","0"
"97","no-visualization","1000","600","0.437","0"
"95","no-visualization","1000","600","0.432","0"
"98","no-visualization","1000","600","0.445","0"
"99","no-visualization","1000","600","0.445","0"
"100","no-visualization","1000","600","0.442","0"
