"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3 Wealth Distribution.nlogo"
"experiment"
"02/27/2024 19:29:36:847 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-initial-vision","initial-population","[step]","gini-index","survival-ratio"
"4","2","100","0","0","1"
"5","2","120","0","0","1"
"3","2","100","0","0","1"
"7","2","120","0","0","1"
"6","2","120","0","0","1"
"2","2","100","0","0","1"
"8","2","120","0","0","1"
"1","2","100","0","0","1"
"2","2","100","200","0.2828037243204115","0.97"
"3","2","100","200","0.3377809646061481","0.97"
"7","2","120","200","0.32208704559070767","0.9833333333333333"
"5","2","120","200","0.29766068770641313","0.9416666666666667"
"8","2","120","200","0.3187727721258844","0.9833333333333333"
"6","2","120","200","0.3457000523026094","0.9833333333333333"
"4","2","100","200","0.321630334970256","0.99"
"3","2","100","400","0.39995462530976966","0.92"
"2","2","100","400","0.39312490754559737","0.94"
"8","2","120","400","0.4122837089295058","0.95"
"7","2","120","400","0.4106028331739104","0.9583333333333334"
"6","2","120","400","0.4292983446409165","0.9666666666666667"
"5","2","120","400","0.39436399731567623","0.9083333333333333"
"4","2","100","400","0.40868082821571194","0.99"
"3","2","100","600","0.3742308898124552","0.91"
"4","2","100","600","0.3897886106946487","0.97"
"8","2","120","600","0.3867993120632742","0.9083333333333333"
"2","2","100","600","0.41678183360388404","0.92"
"6","2","120","600","0.4240301013690223","0.9416666666666667"
"5","2","120","600","0.4145671151278626","0.8916666666666667"
"7","2","120","600","0.3563029150642629","0.9416666666666667"
"3","2","100","800","0.3876424216271821","0.89"
"1","2","100","200","0.30337856667154744","0.95"
"2","2","100","800","0.3559946794120296","0.91"
"4","2","100","800","0.38834483987839347","0.91"
"8","2","120","800","0.3967449109615728","0.9"
"6","2","120","800","0.3863520724196517","0.9333333333333333"
"5","2","120","800","0.41117257525083617","0.8666666666666667"
"7","2","120","800","0.43539647453345376","0.925"
"3","2","100","1000","0.35059272306811184","0.87"
"2","2","100","1000","0.42128552971576194","0.9"
"4","2","100","1000","0.41882140390031314","0.9"
"5","2","120","1000","0.39129386823847784","0.8166666666666667"
"6","2","120","1000","0.46825434602101734","0.9"
"8","2","120","1000","0.3604196255979821","0.8416666666666667"
"3","2","100","1200","0.3953551438847321","0.81"
"7","2","120","1000","0.4367745368875494","0.9"
"2","2","100","1200","0.36562568127316325","0.88"
"4","2","100","1200","0.3733131487889272","0.85"
"5","2","120","1200","0.41818913819734804","0.775"
"8","2","120","1200","0.4030268786311689","0.8333333333333334"
"3","2","100","1400","0.33020006314762196","0.79"
"6","2","120","1200","0.3752143281555042","0.875"
"1","2","100","400","0.4348964524657861","0.91"
"7","2","120","1200","0.3787765540242157","0.8583333333333333"
"2","2","100","1400","0.41683277703409677","0.85"
"3","2","100","1600","0.39481484486972973","0.77"
"5","2","120","1400","0.387182548341791","0.7583333333333333"
"4","2","100","1400","0.38501400774636035","0.83"
"8","2","120","1400","0.4343760005122623","0.8083333333333333"
"2","2","100","1600","0.39488699481916245","0.82"
"6","2","120","1400","0.38698587393588973","0.8416666666666667"
"7","2","120","1400","0.40702423364978746","0.8083333333333333"
"3","2","100","1800","0.39317763515511006","0.76"
"5","2","120","1600","0.41119650746346664","0.75"
