"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3 Wealth Distribution.nlogo"
"experiment"
"02/29/2024 00:25:42:701 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-initial-vision","initial-population","[step]","gini-index","survival-ratio"
"3","6","100","0","0","1"
"4","6","100","0","0","1"
"2","6","100","0","0","1"
"5","6","100","0","0","1"
"7","6","200","0","0","1"
"6","6","100","0","0","1"
"8","6","200","0","0","1"
"1","6","100","0","0","1"
"5","6","100","4","0.19441894892672087","1"
"3","6","100","4","0.18365927040240695","1"
"4","6","100","4","0.16443609022556382","1"
"6","6","100","4","0.22077897875512487","1"
"2","6","100","4","0.17255899705014752","1"
"7","6","200","4","0.18459305581482166","1"
"8","6","200","4","0.20703460733979842","1"
"5","6","100","8","0.20290680100755673","1"
"4","6","100","8","0.17020159399906234","1"
"3","6","100","8","0.20036736762097793","1"
"1","6","100","4","0.17988539741219967","1"
"6","6","100","8","0.21723240316534775","0.98"
"2","6","100","8","0.18876574307304794","1"
"5","6","100","12","0.20998486568293617","1"
"7","6","200","8","0.18854632170390695","1"
"8","6","200","8","0.20849436298946644","0.995"
"3","6","100","12","0.20176743740724792","0.99"
"6","6","100","12","0.21921899529042388","0.98"
"4","6","100","12","0.17948827292110883","1"
"2","6","100","12","0.19820609251598348","1"
"5","6","100","16","0.21200693084224792","1"
"6","6","100","16","0.20840393942549534","0.97"
"4","6","100","16","0.17490575268353045","0.99"
"1","6","100","8","0.19689741660396287","1"
"2","6","100","16","0.20432705350414462","1"
"8","6","200","12","0.21237907779942067","0.995"
"7","6","200","12","0.1962295081967213","1"
"5","6","100","20","0.21174990612091624","1"
"6","6","100","20","0.20528637248412326","0.97"
"3","6","100","16","0.203810641197211","0.99"
"4","6","100","20","0.17722364599966586","0.99"
"2","6","100","20","0.2080531636091352","1"
"5","6","100","24","0.20994452149791953","1"
"8","6","200","16","0.21643525331657468","0.995"
"7","6","200","16","0.20064174198849627","1"
"3","6","100","20","0.20645953970944578","0.99"
"4","6","100","24","0.17876400516987323","0.99"
"6","6","100","24","0.20240839352090045","0.97"
"2","6","100","24","0.2100724020442929","1"
"5","6","100","28","0.20927249046422922","1"
"3","6","100","24","0.19612166538970552","0.98"
"4","6","100","28","0.1801603309221592","0.99"
"1","6","100","12","0.206714501510574","1"
"6","6","100","28","0.20077494123944065","0.97"
"8","6","200","20","0.2197712941438493","0.995"
"2","6","100","28","0.21150810560444666","1"
"5","6","100","32","0.20783961798122857","1"
"7","6","200","20","0.20677360314938883","1"
"4","6","100","32","0.18057736983081726","0.99"
"6","6","100","32","0.20006810522514626","0.97"
"2","6","100","32","0.21374651124610086","1"
"3","6","100","28","0.1955470856186669","0.98"
"5","6","100","36","0.20633765272121438","1"
"4","6","100","36","0.18070089318216054","0.99"
"6","6","100","36","0.20005926199574406","0.97"
"8","6","200","24","0.21932665561755596","0.99"
"5","6","100","40","0.20512787809626098","1"
"2","6","100","36","0.21489009777255016","1"
"7","6","200","24","0.210805125148987","1"
"3","6","100","32","0.1946046149247917","0.98"
"4","6","100","40","0.18087094636540924","0.99"
"6","6","100","40","0.199537566776166","0.97"
"5","6","100","44","0.20342090724940148","1"
"2","6","100","40","0.21514331422476995","1"
"3","6","100","36","0.19466699146502112","0.98"
"6","6","100","44","0.1990101765189465","0.97"
"4","6","100","44","0.18120233232029687","0.99"
"8","6","200","28","0.22106507415123475","0.99"
"5","6","100","48","0.20209091937125412","1"
"3","6","100","40","0.19513067190434877","0.98"
"2","6","100","44","0.21518202329410335","1"
"7","6","200","28","0.21403082317232705","1"
"4","6","100","48","0.18105066651626023","0.99"
