initial-population,gini-index,survival-ratio,mean-sugar,median-sugar,sd-sugar
20,0.368950228,0.75,1536.214286,1507.25,1047.563231
40,0.401871383,0.6875,1523.121032,1504.75,1080.088746
60,0.344084309,0.7,1719.578409,1920.25,1051.91894
80,0.317280736,0.6375,1637.766344,1489,891.3003984
100,0.311530802,0.65,1728.075434,1792,951.3121289
120,0.317907591,0.629166667,1575.740858,1744.25,884.2671994
140,0.327333288,0.621428571,1543.784071,1698.5,886.4606451
160,0.349674646,0.625,1500.232372,1507.5,915.119118
180,0.348105273,0.613888889,1402.652655,1424.5,853.4070801
200,0.366497672,0.5825,1380.746736,1303.5,884.1573023
220,0.339272189,0.579545455,1395.059259,1470.25,826.9613878
240,0.377689729,0.597916667,1281.383673,1311.5,846.7718596
260,0.389287423,0.565384615,1231.445652,1181,836.6824839
280,0.37511171,0.582142857,1296.974572,1319,855.990689
300,0.392423836,0.616666667,1204.290469,1162.25,829.8259012
320,0.391067723,0.61875,1182.669192,1177.75,813.8314706
340,0.37934491,0.572058824,1205.098789,1191,803.0611333
360,0.371308334,0.581944444,1215.815344,1149.75,795.8603686
380,0.380635564,0.584210526,1118.502841,1119.5,749.7175361
400,0.37863335,0.595,1172.505979,1109,780.0586451
420,0.380201625,0.554761905,1141.089212,1108.5,767.2080407
440,0.395760797,0.565909091,1104.512768,1082.75,772.4039635
460,0.375994255,0.558695652,1129.94239,1083.25,754.7323213
480,0.353395525,0.539583333,1151.887726,1060.5,717.5438974
500,0.368354728,0.533,1137.655861,1061,744.8357045
520,0.365761061,0.509615385,1103.919231,1051.5,716.9275644
540,0.349212246,0.480555556,1156.20127,1053.5,715.3916099
560,0.344745004,0.488392857,1186.553302,1053.75,726.7813066
580,0.318536403,0.485344828,1215.659642,1048.25,693.5001043
600,0.338457463,0.459166667,1169.730651,1041.75,701.5859686
620,0.328261797,0.475806452,1152.491868,992,672.0460264
640,0.317560218,0.47109375,1180.884829,1011.25,669.0675484
660,0.306704464,0.440151515,1213.873113,1051.75,662.7953801
680,0.304986536,0.447058824,1171.411159,992.25,635.8087498
700,0.317930751,0.453571429,1167.641865,1012.25,659.8543069
720,0.309225874,0.445833333,1143.935705,1034.75,622.6780848
740,0.310764349,0.443918919,1113.637899,934,612.5653122
760,0.3074999,0.434210526,1141.84045,961.75,621.494068
780,0.331880811,0.433974359,1090.272287,948.5,637.3393085
800,0.31250443,0.41875,1111.975878,970.5,610.479636
820,0.328494391,0.444512195,1021.78435,881.5,588.397509
840,0.336492529,0.4375,1016.224283,813.75,605.1653394
860,0.345487492,0.441860465,981.0059902,822,595.4323102
880,0.351655026,0.442613636,938.651371,735.5,582.3091151
900,0.363316843,0.472777778,873.4541558,628.25,561.261388
920,0.351759755,0.44673913,926.916231,728.5,574.0136534
940,0.372430662,0.443617021,878.6729862,641,578.7705863
960,0.36724313,0.4484375,861.6905123,634.75,559.5117798
980,0.35173255,0.433673469,903.3500102,856,559.1813008
1000,0.36798738,0.4495,840.6855616,594.25,548.4106671
