maximum-sugar-endowment,minimum-sugar-endowment,gini-index,survival-ratio,mean-sugar,median-sugar,sd-sugar
20,0,0.359788898,0.519,1142.428941,1053.75,724.4474271
20,5,0.378669187,0.526,1117.225535,1034.75,749.0176557
20,10,0.389688719,0.519,1109.954354,1089.25,764.4743294
20,15,0.35578115,0.497,1173.993463,1080,739.3987354
20,20,0.355201529,0.515,1169.186501,1061,735.4004384
25,0,0.369516237,0.533,1106.59564,1059.5,724.0953418
25,5,0.365874908,0.524,1090.565734,1053.75,707.3884091
25,10,0.388572018,0.518,1111.00691,1065.5,763.7954786
25,15,0.356179551,0.512,1152.379326,1078.25,728.8698756
25,20,0.350824625,0.498,1166.578659,1052.75,724.4738325
25,25,0.376123254,0.517,1110.59365,1084.75,738.5321038
30,0,0.380216525,0.507,1130.393839,1093.5,762.5517135
30,5,0.3680875,0.498,1171.603392,1104.5,763.6678444
30,10,0.352121644,0.514,1146.029675,1047,714.3893084
30,15,0.354676619,0.51,1156.918753,1061,725.8323764
30,20,0.38095237,0.514,1123.679225,1071.25,755.6281177
30,25,0.384264749,0.536,1097.417269,1052.5,746.4278899
30,30,0.358482966,0.528,1166.599918,1071,741.4257007
35,0,0.361158751,0.528,1166.439394,1081.25,746.1790637
35,5,0.359817529,0.522,1158.706879,1065,740.2562602
35,10,0.358096812,0.524,1140.157751,1071.5,719.8824463
35,15,0.364988248,0.526,1171.074489,1081,758.0246302
35,20,0.332928906,0.525,1224.183407,1087.5,726.9398829
35,25,0.381998619,0.521,1088.688474,1053.25,733.8625035
35,30,0.36291914,0.505,1112.63722,1062,715.1254719
40,0,0.331154098,0.532,1215.110357,1093,716.6683201
40,5,0.381359804,0.527,1117.346421,1060.5,754.3755387
40,10,0.353710678,0.534,1192.818805,1082.25,749.4676565
40,15,0.399044005,0.539,1073.676742,1034.75,759.2882144
40,20,0.339601936,0.525,1176.806093,1050.5,713.5569807
40,25,0.348435911,0.538,1169.299118,1058.75,722.0929838
40,30,0.37871885,0.524,1116.035357,1057.5,746.710316
45,0,0.365809296,0.532,1113.50931,1069,721.7490606
45,5,0.361624441,0.52,1165.944864,1073.75,748.3117761
45,10,0.36506627,0.547,1109.222333,1030,719.0841405
45,15,0.348476362,0.51,1194.624652,1095,740.5030245
45,20,0.363225645,0.516,1151.596529,1071.5,741.8127545
45,25,0.372037886,0.531,1148.317959,1065.25,758.2263238
45,30,0.351899192,0.532,1161.735588,1050,726.3837914
50,0,0.370220776,0.537,1098.906325,1043.25,719.5205366
50,5,0.362695173,0.526,1160.177785,1092.75,744.1787998
50,10,0.382580342,0.515,1092.035709,1044.25,735.8223153
50,15,0.374964442,0.533,1101.305633,1057.5,730.8610111
50,20,0.385653638,0.517,1138.348815,1070.25,780.915435
50,25,0.393065399,0.51,1100.411123,1082.25,764.3654988
50,30,0.352597409,0.507,1144.562852,1056,711.108858
