maximum-sugar-endowment,minimum-sugar-endowment,initial-population,gini-index,death-ratio,mean-sugar,median-sugar,sd-sugar
20,0,20,0.48574124,0.324561404,92.75,74,86.11673534
20,0,40,0.491333452,0.326894502,70.025,52,63.21249775
20,0,60,0.493126828,0.339215686,62.68333333,50.5,59.83862243
20,0,80,0.516732694,0.381959126,59.95,39,59.33212676
20,0,100,0.514341447,0.419457735,59.98,39,58.46504265
20,0,120,0.475946735,0.415921288,60.44166667,49.5,53.03745241
20,0,140,0.49018297,0.436437546,58,38,52.73416432
20,0,160,0.519261111,0.429314267,49.21875,30.5,49.92531175
20,0,180,0.488979793,0.428406467,47.53333333,35.5,44.56448469
20,0,200,0.506692544,0.440460948,55.39,34.5,52.55930271
20,0,220,0.499375781,0.440277778,53.55454545,39,49.98713741
20,0,240,0.505436112,0.462299135,53.39166667,30,50.35859624
20,0,260,0.495683079,0.466966967,47.51153846,28,44.553164
20,0,280,0.48988771,0.475845411,51.275,35.5,46.41166215
20,0,300,0.491450416,0.482952718,46.57666667,33,43.17287473
20,0,320,0.50780632,0.505480053,46.615625,27,44.48661247
20,0,340,0.501316431,0.525647948,43.26470588,30,41.24758602
20,0,360,0.516735978,0.544794487,39.075,23,38.73662857
20,0,380,0.485838816,0.570565193,39.57894737,29,36.63254863
20,0,400,0.502049726,0.580835796,44.695,32.5,42.30379419
20,0,420,0.479456062,0.582970297,41.7047619,28.5,37.80610596
20,0,440,0.473956353,0.591725287,40,27,35.826461
20,0,460,0.488931023,0.583660714,37.58695652,24,34.94301373
20,0,480,0.476725266,0.592620609,39.15208333,26,35.22329302
20,0,500,0.47748993,0.601392039,38.928,27,35.01231985
20,0,520,0.484730845,0.599045888,35.16923077,24,32.69038228
20,0,540,0.480353628,0.597192931,37.77037037,25,33.98099234
20,0,560,0.483104657,0.595822235,33.76428571,22,31.65429558
20,0,580,0.472631272,0.59816095,34.47241379,22,31.00555855
20,0,600,0.467783552,0.602335429,34.47833333,22,31.00497344
20,0,620,0.474548782,0.606341224,33.17419355,21,30.07092282
20,0,640,0.487133647,0.603964547,33.946875,21,31.76887862
20,0,660,0.482073068,0.608974359,33.05454545,20,30.31438799
20,0,680,0.481063505,0.601954361,32.68676471,21,30.129526
20,0,700,0.49286285,0.614052791,30.03714286,18,28.65863998
20,0,720,0.494351318,0.619157916,29.84861111,18,28.77065077
20,0,740,0.485551736,0.615736781,30.51756757,19,28.09828997
20,0,760,0.502629987,0.620365866,29.36184211,18,27.99754115
20,0,780,0.493851363,0.626169103,28.9,18,27.03841702
20,0,800,0.498459938,0.630859995,29.595,17,28.20763307
20,0,820,0.49780353,0.647580125,28.23536585,17,26.82588854
20,0,840,0.494914505,0.644626702,27.77619048,17,26.20465716
20,0,860,0.496126344,0.654389547,26.89534884,16,25.56127978
20,0,880,0.480980895,0.66956993,28.04772727,17,25.44694889
20,0,900,0.500063045,0.68231705,26.35777778,15,25.09396791
20,0,920,0.505127983,0.697816439,27.47282609,16,25.96333987
20,0,940,0.482309514,0.70965435,26.94680851,17,24.10010496
20,0,960,0.486623061,0.724176038,26.809375,17,24.21855035
20,0,980,0.493445123,0.738342931,25.30918367,16,23.3108259
20,0,1000,0.480119496,0.749249205,25.39,16,22.5691663
20,5,20,0.559623431,0.285266458,47.8,23,61.81858007
20,5,40,0.479109848,0.287925697,66,46.5,58.18758348
20,5,60,0.551703163,0.339,61.65,30,66.901097
20,5,80,0.54999206,0.341062079,59.0375,32,62.57723203
20,5,100,0.487839026,0.381692573,59.14,42.5,54.41164091
20,5,120,0.435422926,0.372417107,61.01666667,49,49.85187864
20,5,140,0.477120567,0.402212564,51.27142857,35.5,47.4884072
20,5,160,0.474506349,0.394351464,53.65,33,48.67349827
20,5,180,0.480007855,0.413397707,51.08333333,37,47.35364103
20,5,200,0.517927498,0.416170903,52.895,34,53.10815716
20,5,220,0.455248176,0.4073335,51.1,34,43.86903506
20,5,240,0.510997346,0.436188811,50.76666667,28,50.17162734
20,5,260,0.483806166,0.440708677,50.01538462,33.5,46.32627024
20,5,280,0.462561541,0.444423826,49.53571429,37,41.66918886
20,5,300,0.481208911,0.46966633,49.08,33.5,44.64973605
20,5,320,0.524923014,0.475832942,42.875,24,43.74960815
20,5,340,0.507742125,0.496392496,42.47647059,29,41.40443066
20,5,360,0.50289267,0.516588314,44.72777778,29,42.9871822
20,5,380,0.481309106,0.549193255,43.93684211,31,39.37025665
20,5,400,0.469709121,0.56162843,43.36,32.5,38.13622069
20,5,420,0.476260639,0.568930804,42.01428571,27,37.85432176
20,5,440,0.482494781,0.578916198,39.29318182,26,35.8160696
20,5,460,0.481199476,0.585512335,38.50217391,26,35.22145928
20,5,480,0.469489131,0.590363557,34.86875,23,31.41741108
20,5,500,0.468193195,0.586279109,36.564,24.5,33.07218534
20,5,520,0.465966395,0.583848935,38.45192308,27,33.86214823
20,5,540,0.464220553,0.582197087,38.62962963,25.5,34.51782702
20,5,560,0.470623938,0.580405003,35.74642857,22,32.40535946
20,5,580,0.472427117,0.594024237,35.25172414,22,32.22297232
20,5,600,0.451007155,0.579507008,37.115,26,31.48773683
20,5,620,0.461394968,0.593866232,35.02741935,23,30.85686728
20,5,640,0.456907487,0.584833397,34.9453125,24,29.96505753
20,5,660,0.458189933,0.593694845,34.45909091,22,30.24020918
20,5,680,0.466539488,0.590785748,30.13235294,19,27.61021796
20,5,700,0.462253335,0.594115299,30.20285714,19,27.43996423
20,5,720,0.475567147,0.59137382,32.11805556,19,29.43895797
20,5,740,0.464953243,0.597765963,30.58108108,19,27.91205343
20,5,760,0.476291347,0.597553964,29.60789474,18,27.53924383
20,5,780,0.484160881,0.603590466,28.45,17,27.39379187
20,5,800,0.474389033,0.608767496,29.11625,18,26.73609469
20,5,820,0.487404934,0.616189582,29.0195122,17,27.5523187
20,5,840,0.479088576,0.622538293,27.17738095,17,25.22066075
20,5,860,0.491236886,0.63454307,26.37906977,15,25.17081165
20,5,880,0.483904914,0.641611366,27.04204545,16,25.24423237
20,5,900,0.497570334,0.65,27.76888889,16,26.2719145
20,5,920,0.492549154,0.66550564,26.46630435,16,24.80950175
20,5,940,0.488930081,0.680467332,25.09042553,15,23.26403784
20,5,960,0.487624986,0.704048728,25.45416667,15,23.47754198
20,5,980,0.480510693,0.716595274,25.75612245,15,23.08957362
20,5,1000,0.477727638,0.733529665,25.914,17,22.89770532
20,10,0,0,0,0,0,0
20,10,20,0.532752613,0.275080906,57.4,44,66.47627198
20,10,40,0.489551699,0.27929374,69.15,47,64.19064154
20,10,60,0.481527679,0.282958199,70.15,49.5,63.32076667
20,10,80,0.472197846,0.340568862,62.675,42,55.72781389
20,10,100,0.450270979,0.365693865,68.64,54,56.35574594
20,10,120,0.449554946,0.405700713,62.25833333,46,53.0038045
20,10,140,0.491903952,0.39574816,50.42142857,31.5,48.48140901
20,10,160,0.443093292,0.395833333,55.4375,42,46.13211647
20,10,180,0.4739739,0.424434389,56.38333333,38,50.58587201
20,10,200,0.469281798,0.421978022,54.72,35,48.95379423
20,10,220,0.447394617,0.408691284,53.25909091,41.5,43.78581283
20,10,240,0.474297901,0.416742081,52.54583333,34.5,47.36299316
20,10,260,0.479873936,0.43508485,53.20384615,32.5,49.24527675
20,10,280,0.480218121,0.44862627,53.21428571,33.5,47.51891315
20,10,300,0.501393655,0.451249133,46.82333333,28,44.77478524
20,10,320,0.482820237,0.462171318,47.9625,32.5,44.42123634
20,10,340,0.495603995,0.492385036,45.28529412,28,43.26775136
20,10,360,0.494821859,0.511871894,41.11388889,25,39.34421806
20,10,380,0.473622085,0.543114221,46.59473684,32,41.71127008
20,10,400,0.471015293,0.550295858,41.195,30,37.27385579
20,10,420,0.459996486,0.569274476,42.91190476,31,37.21291832
20,10,440,0.464062671,0.580625508,39.72954545,28,35.02270061
20,10,460,0.458303427,0.5811801,41.37608696,27,35.96221501
20,10,480,0.453377498,0.577167603,41.17708333,29,35.62838668
20,10,500,0.459424236,0.588540316,37.96,24.5,33.76380294
20,10,520,0.452308799,0.580521216,40.11538462,26,34.60732314
20,10,540,0.455249695,0.575177077,38.63703704,25,33.47861886
20,10,560,0.448278272,0.580934838,38.87142857,26,33.35794764
20,10,580,0.443584614,0.582777085,37.62413793,25,32.10964759
20,10,600,0.454861515,0.585302391,36.105,22,32.03160962
20,10,620,0.455677311,0.587621885,34.63225806,21.5,30.95361465
20,10,640,0.435397293,0.588135593,34.6546875,23,29.24957862
20,10,660,0.45331962,0.584390863,35.38939394,21,30.89423255
20,10,680,0.44509728,0.589287895,36.10294118,23,31.03513127
20,10,700,0.436168275,0.589392239,34.68571429,21,28.97769003
20,10,720,0.444762587,0.589885057,31.80833333,20,27.53870838
20,10,740,0.447838452,0.595688517,32.12567568,19,28.23771392
20,10,760,0.460267106,0.59650913,33.15526316,19,29.49383444
20,10,780,0.443617789,0.593548725,30.53461538,19,26.51146155
20,10,800,0.459490064,0.599806891,30.79125,19,27.78349468
20,10,820,0.44752107,0.606229797,30.33658537,18,26.72062084
20,10,840,0.458270666,0.606520598,28.90238095,17,26.0320696
20,10,860,0.452170957,0.61467253,29.17093023,18,25.36898534
20,10,880,0.460981992,0.616955893,29.23409091,17,26.30610429
20,10,900,0.467964738,0.632460914,28.28888889,16,25.47198266
20,10,920,0.465322328,0.642204539,26.52608696,16,23.80806855
20,10,940,0.462857213,0.666428373,26.81276596,16,23.94080041
20,10,960,0.46117683,0.67418762,27.14375,16,23.63323693
20,10,980,0.468902731,0.694392663,27.12653061,17,23.80621266
20,10,1000,0.478288343,0.715850675,25.324,15,22.95172773
20,15,0,0,0,0,0,0
20,15,20,0.487613169,0.235099338,60.75,38,58.31301651
20,15,40,0.501999102,0.236666667,55.65,28.5,59.45761257
20,15,60,0.492924405,0.296808511,63.71666667,45,59.32447166
20,15,80,0.473096064,0.340507302,55.8875,42.5,52.24285882
20,15,100,0.462831178,0.329974811,57.22,39,50.34940141
20,15,120,0.476300823,0.384500745,67.15833333,43,61.80818741
20,15,140,0.459157362,0.400578752,53.18571429,42.5,47.24428871
20,15,160,0.457735538,0.39092559,59.6375,40.5,51.56683244
20,15,180,0.468691688,0.400950872,58.22222222,42,51.55498833
20,15,200,0.480942399,0.390328152,54.86,33.5,50.45203105
20,15,220,0.477009894,0.421433925,58.01363636,36,52.87639412
20,15,240,0.45881521,0.397093854,54.87083333,33.5,47.48754498
20,15,260,0.456012171,0.412899079,49.2,29,43.52869732
20,15,280,0.476455809,0.429353137,48.88928571,30,45.79131281
20,15,300,0.473827693,0.437906137,47.87333333,29,43.35484707
20,15,320,0.477419827,0.450800534,48.746875,31,44.24881547
20,15,340,0.475739403,0.466490847,48.94411765,33,44.04757211
20,15,360,0.472170195,0.494655836,47.75555556,32,42.52184393
20,15,380,0.479862953,0.519720354,42.93157895,28,39.69229341
20,15,400,0.474650907,0.547169811,43.7025,30,39.43846441
20,15,420,0.464906158,0.570398738,43.12619048,28,38.11145293
20,15,440,0.467265164,0.56795756,40.97727273,25,37.15386259
20,15,460,0.444860117,0.576628352,45.09565217,31.5,37.67611633
20,15,480,0.454651842,0.576985259,39.25416667,26,34.54279339
20,15,500,0.449528354,0.591501819,41.828,28,36.27265951
20,15,520,0.433682235,0.580692387,37.58269231,27,31.60145738
20,15,540,0.455154652,0.585990378,39.04074074,26,34.00395873
20,15,560,0.424047468,0.587401697,36.60357143,25,29.78389646
20,15,580,0.417593421,0.58859196,40.21896552,28,31.71780776
20,15,600,0.415765681,0.586074482,37.2,25,29.57325869
20,15,620,0.430627065,0.58519036,36.8016129,25,30.09201286
20,15,640,0.417079679,0.588799463,37.678125,25,30.05497555
20,15,660,0.429409718,0.597247119,38.06212121,25,31.16261264
20,15,680,0.421242248,0.588657393,35.08088235,22,28.83109492
20,15,700,0.434541307,0.590536354,34.93285714,22,29.79865299
20,15,720,0.426156941,0.592299114,35.17916667,22,28.69565705
20,15,740,0.419222262,0.600673023,34.54324324,22,27.86230439
20,15,760,0.411577199,0.592938446,33.27894737,21,26.82939962
20,15,780,0.426626802,0.593294225,33.94102564,20,28.12869944
20,15,800,0.416780699,0.595789035,32.4925,20.5,26.65019202
20,15,820,0.440834294,0.600394597,32.21829268,20,27.80693788
20,15,840,0.435363153,0.60098256,32.07142857,20,27.10126937
20,15,860,0.447736594,0.610087386,30.92325581,18,27.35045985
20,15,880,0.441269894,0.611335281,29.15113636,18,25.49069961
20,15,900,0.44020702,0.624592725,29.72222222,18,25.57530606
20,15,920,0.448232088,0.627210646,28.11086957,17,24.63263693
20,15,940,0.442306009,0.638334889,27.72765957,17,24.11987017
20,15,960,0.450558793,0.656102714,27.284375,17,23.50181067
20,15,980,0.455883454,0.670693194,26.9244898,16,23.54337514
20,15,1000,0.455101949,0.68344502,26.778,17,22.91706587
20,20,0,0.442306009,0.638334889,30.47765957,20,24.89809969
20,20,20,0.441530876,0.654295187,27.66326531,19,23.12794448
20,20,40,0.429790163,0.6375613,29.440625,20,23.94363854
20,20,60,0.435830778,0.670001545,28.241,19,23.57483174
20,20,80,0.42556849,0.622310826,29.45744681,20,24.39158049
20,20,100,0.429282781,0.649284639,29.45918367,20,23.80224467
20,20,120,0.42839009,0.6659907,27.791,20,22.57274569
20,20,140,0.421068016,0.619196948,30.05957447,20,24.49469447
20,20,160,0.426829964,0.646114933,29.34285714,20,23.59270502
20,20,180,0.425137148,0.663124873,28.378,20,22.7763447
