"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2 Constant Growback_custom.nlogo"
"mean-sugar-by-max-endowment-1000"
"03/05/2024 23:27:41:987 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","mean-sugar","median-sugar","sd-sugar"
"4","110","20","color-agents-by-vision","400","500","610.6737288135594","613","386.0993030523703"
"2","100","20","color-agents-by-vision","400","500","605.4590163934427","575","388.2967692751011"
"1","100","20","color-agents-by-vision","400","500","610.5872340425532","605","420.4883351619567"
"3","110","20","color-agents-by-vision","400","500","527.53515625","539.5","384.0278568510656"
"5","120","20","color-agents-by-vision","400","500","547.8362068965517","580","402.4331504587406"
"6","120","20","color-agents-by-vision","400","500","566.7280334728033","563","401.62379090500406"
"7","130","20","color-agents-by-vision","400","500","571.5619834710744","589.5","403.81727087668025"
"8","130","20","color-agents-by-vision","400","500","540.36820083682","546","402.75723863175796"
"9","140","20","color-agents-by-vision","400","500","576.984","579.5","398.70766099958377"
"10","140","20","color-agents-by-vision","400","500","556.7090163934427","579.5","398.4221262684381"
"11","150","20","color-agents-by-vision","400","500","591.2742616033755","595","406.26446870190745"
"12","150","20","color-agents-by-vision","400","500","569.1274900398406","569","409.8671976156117"
"13","160","20","color-agents-by-vision","400","500","617.0169491525423","627.5","398.1439701767434"
"14","160","20","color-agents-by-vision","400","500","589.6913043478261","590","403.0131331775371"
"15","170","20","color-agents-by-vision","400","500","570.4435483870968","571","385.3215346427224"
"16","170","20","color-agents-by-vision","400","500","610.5696202531645","614","395.6222523200476"
"17","180","20","color-agents-by-vision","400","500","600.7095435684647","608","390.8564190128402"
"18","180","20","color-agents-by-vision","400","500","614.5744680851063","625","404.1160208649175"
"19","190","20","color-agents-by-vision","400","500","566.9698275862069","575.5","398.74422352636185"
"20","190","20","color-agents-by-vision","400","500","557.0891472868217","590.5","391.2915009483917"
"21","200","20","color-agents-by-vision","400","500","645.7416666666667","641","393.8533485719157"
"22","200","20","color-agents-by-vision","400","500","591.8810572687224","602","400.22218269923644"
"23","210","20","color-agents-by-vision","400","500","629.3807531380753","648","417.16152863434047"
"24","210","20","color-agents-by-vision","400","500","628.6008230452675","598","398.9375781234318"
"25","220","20","color-agents-by-vision","400","500","624.6455696202531","614","411.78918328913466"
"26","220","20","color-agents-by-vision","400","500","582.8722466960353","601","394.05882773143355"
"28","230","20","color-agents-by-vision","400","500","644.2222222222222","638","427.58596091108274"
"27","230","20","color-agents-by-vision","400","500","588.3151260504202","614","389.832872150433"
"29","240","20","color-agents-by-vision","400","500","613.0983606557377","620","398.1904110524156"
"30","240","20","color-agents-by-vision","400","500","635.0746887966804","631","388.6611026738765"
"31","250","20","color-agents-by-vision","400","500","656.3728813559322","637.5","405.334960965124"
"32","250","20","color-agents-by-vision","400","500","630.35","622.5","397.70501988935"
"33","260","20","color-agents-by-vision","400","500","647.8455284552846","625","390.3036501321175"
"34","260","20","color-agents-by-vision","400","500","611.6521739130435","605","398.6724965297995"
"35","270","20","color-agents-by-vision","400","500","620.8702928870293","619","418.3292950197999"
"36","270","20","color-agents-by-vision","400","500","624.6597510373444","619","385.776123006083"
