"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2-change.nlogo"
"2-1"
"03/07/2024 00:40:51:473 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) gini-index","(std) gini-index","(mean) survival-ratio","(std) survival-ratio","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar"
"25","5","color-agents-by-vision","0","0","0","N/A","1","N/A","0","N/A","0","N/A","0","N/A"
"25","5","color-agents-by-vision","50","1000","0.3898360068024859","N/A","0.79","N/A","1503.7253205128204","N/A","1692","N/A","1050.969228488028","N/A"
"25","5","color-agents-by-vision","100","1000","0.2810116999777623","N/A","0.645","N/A","1707.0433944069432","N/A","1771","N/A","845.1698883527038","N/A"
"25","5","color-agents-by-vision","150","1000","0.3301002547751154","N/A","0.6133333333333333","N/A","1550.6867612293145","N/A","1615.5","N/A","894.8100917949992","N/A"
"25","5","color-agents-by-vision","200","1000","0.3759620330955843","N/A","0.5925","N/A","1303.5429988581216","N/A","1239.25","N/A","855.909901415651","N/A"
"25","5","color-agents-by-vision","250","1000","0.3564185363052321","N/A","0.63","N/A","1309.6833333333334","N/A","1290.25","N/A","815.1460237337606","N/A"
"25","5","color-agents-by-vision","300","1000","0.36562044552217865","N/A","0.5800000000000001","N/A","1269.0785544397463","N/A","1255.5","N/A","814.3919831747182","N/A"
"25","5","color-agents-by-vision","350","1000","0.3654129474040796","N/A","0.5885714285714285","N/A","1210.3470873786407","N/A","1190.25","N/A","782.6469366763347","N/A"
"25","5","color-agents-by-vision","400","1000","0.375195643779522","N/A","0.56375","N/A","1163.1876279326088","N/A","1145.75","N/A","768.0906879116333","N/A"
"25","5","color-agents-by-vision","450","1000","0.362935051516455","N/A","0.5566666666666666","N/A","1144.0158341833483","N/A","1061","N/A","733.0293007525672","N/A"
"25","5","color-agents-by-vision","500","1000","0.37627841726551114","N/A","0.524","N/A","1083.3660422502335","N/A","1041","N/A","724.4348528526042","N/A"
"25","5","color-agents-by-vision","550","1000","0.34802963591268893","N/A","0.48363636363636364","N/A","1166.8031382527565","N/A","1055","N/A","722.0475731379515","N/A"
"25","5","color-agents-by-vision","600","1000","0.3075320741595115","N/A","0.47583333333333333","N/A","1232.9768337873322","N/A","1113.25","N/A","673.9455475368245","N/A"
"25","5","color-agents-by-vision","650","1000","0.29637044648091015","N/A","0.46307692307692305","N/A","1196.2564488890362","N/A","995","N/A","634.1938728501025","N/A"
"25","5","color-agents-by-vision","700","1000","0.3111463930337167","N/A","0.4521428571428572","N/A","1128.251901766996","N/A","970.5","N/A","620.285336232502","N/A"
"25","5","color-agents-by-vision","750","1000","0.3079424996956716","N/A","0.432","N/A","1142.3482156473997","N/A","951.5","N/A","625.0194941065229","N/A"
"25","5","color-agents-by-vision","800","1000","0.31794546266404833","N/A","0.43625","N/A","1053.8757112944945","N/A","938","N/A","587.223825191485","N/A"
"25","5","color-agents-by-vision","850","1000","0.3385309790809216","N/A","0.4441176470588235","N/A","1006.2420877407392","N/A","892.25","N/A","595.4198995206884","N/A"
"25","5","color-agents-by-vision","900","1000","0.3417179183493507","N/A","0.42388888888888887","N/A","993.7974362150112","N/A","843.75","N/A","596.0908443178208","N/A"
"25","5","color-agents-by-vision","950","1000","0.34599790167565225","N/A","0.4152631578947369","N/A","955.6247522841334","N/A","746.5","N/A","582.8482188355881","N/A"
"25","5","color-agents-by-vision","1000","1000","0.3580710078596692","N/A","0.4235","N/A","883.3134710835982","N/A","636","N/A","560.257727539881","N/A"
