"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2-change.nlogo"
"2-1"
"03/07/2024 00:40:29:282 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","gini-index","survival-ratio","mean-sugar","median-sugar","sd-sugar"
"2","25","5","color-agents-by-vision","0","0","0","1","0","0","0"
"1","25","5","color-agents-by-vision","0","0","0","1","0","0","0"
"4","25","5","color-agents-by-vision","50","1000","0.4269777588869036","0.8","1442.425","1403","1100.484133263221"
"3","25","5","color-agents-by-vision","50","1000","0.35269425471806826","0.78","1565.025641025641","1981","1001.4543237128346"
"5","25","5","color-agents-by-vision","100","1000","0.26852295646554153","0.61","1791.5573770491803","1816","853.8884689971745"
"6","25","5","color-agents-by-vision","100","1000","0.29350044348998316","0.68","1622.5294117647059","1726","836.4513077082329"
"7","25","5","color-agents-by-vision","150","1000","0.35160133335562616","0.6266666666666667","1463.595744680851","1476.5","900.1650066079455"
"8","25","5","color-agents-by-vision","150","1000","0.30859917619460464","0.6","1637.7777777777778","1754.5","889.4551769820529"
"10","25","5","color-agents-by-vision","200","1000","0.3907481259646484","0.565","1293.787610619469","1231","884.5356676500568"
"9","25","5","color-agents-by-vision","200","1000","0.36117594022652016","0.62","1313.2983870967741","1247.5","827.2841351812452"
"11","25","5","color-agents-by-vision","250","1000","0.3435371378313382","0.6","1408.7","1340.5","848.1565145386569"
"12","25","5","color-agents-by-vision","250","1000","0.369299934779126","0.66","1210.6666666666667","1240","782.1355329288642"
"13","25","5","color-agents-by-vision","300","1000","0.36175692193648606","0.5733333333333334","1287.1627906976744","1278.5","816.6870439343201"
"14","25","5","color-agents-by-vision","300","1000","0.36948396910787124","0.5866666666666667","1250.9943181818182","1232.5","812.0969224151165"
"15","25","5","color-agents-by-vision","350","1000","0.3747678042110504","0.5885714285714285","1182.3009708737864","1184.5","782.3456392276787"
"16","25","5","color-agents-by-vision","350","1000","0.35605809059710875","0.5885714285714285","1238.393203883495","1196","782.9482341249907"
"17","25","5","color-agents-by-vision","400","1000","0.38997036900406734","0.58","1120.3706896551723","1140.5","772.6978546291172"
"18","25","5","color-agents-by-vision","400","1000","0.3604209185549767","0.5475","1206.0045662100456","1151","763.4835211941495"
"19","25","5","color-agents-by-vision","450","1000","0.3571250271981855","0.5511111111111111","1120.8024193548388","1062","707.9441048138489"
"20","25","5","color-agents-by-vision","450","1000","0.36874507583472454","0.5622222222222222","1167.2292490118577","1060","758.1144966912855"
"22","25","5","color-agents-by-vision","500","1000","0.37477691170940813","0.504","1114.2063492063492","1070.5","740.5842080429173"
"21","25","5","color-agents-by-vision","500","1000","0.3777799228216142","0.544","1052.5257352941176","1011.5","708.285497662291"
"23","25","5","color-agents-by-vision","550","1000","0.33842430388244965","0.4763636363636364","1202.4618320610687","1068.5","726.8763093097142"
"24","25","5","color-agents-by-vision","550","1000","0.3576349679429282","0.4909090909090909","1131.1444444444444","1041.5","717.2188369661887"
"25","25","5","color-agents-by-vision","600","1000","0.28650707689120214","0.4816666666666667","1273.152249134948","1168","653.9235835543817"
"26","25","5","color-agents-by-vision","600","1000","0.32855707142782087","0.47","1192.8014184397164","1058.5","693.9675115192672"
"27","25","5","color-agents-by-vision","650","1000","0.2996964229312372","0.46","1185.6020066889632","979","635.8428788412596"
"28","25","5","color-agents-by-vision","650","1000","0.2930444700305831","0.46615384615384614","1206.9108910891089","1011","632.5448668589453"
"29","25","5","color-agents-by-vision","700","1000","0.2958538725018506","0.45","1144.4031746031746","982","599.3067273884672"
"30","25","5","color-agents-by-vision","700","1000","0.3264389135655828","0.4542857142857143","1112.1006289308177","959","641.2639450765367"
"31","25","5","color-agents-by-vision","750","1000","0.2954945213959256","0.42133333333333334","1186.5759493670887","975.5","627.4241601604643"
"32","25","5","color-agents-by-vision","750","1000","0.32039047799541764","0.44266666666666665","1098.120481927711","927.5","622.6148280525815"
"33","25","5","color-agents-by-vision","800","1000","0.3301905097117599","0.44125","1027.5949008498583","936","593.1266418475734"
"34","25","5","color-agents-by-vision","800","1000","0.3057004156163367","0.43125","1080.1565217391305","940","581.3210085353968"
"35","25","5","color-agents-by-vision","850","1000","0.3343098156099038","0.4576470588235294","990.7300771208227","868","579.1334591886382"
"36","25","5","color-agents-by-vision","850","1000","0.3427521425519394","0.43058823529411766","1021.7540983606557","916.5","611.7063398527386"
"38","25","5","color-agents-by-vision","900","1000","0.3416943945477768","0.4077777777777778","1036.640326975477","932","620.6216179655942"
"37","25","5","color-agents-by-vision","900","1000","0.3417414421509246","0.44","950.9545454545455","755.5","571.5600706700475"
"39","25","5","color-agents-by-vision","950","1000","0.33122166584381496","0.4","1009.7947368421053","823","589.9782429454557"
"40","25","5","color-agents-by-vision","950","1000","0.36077413750748955","0.4305263157894737","901.4547677261613","670","575.7181947257204"
"42","25","5","color-agents-by-vision","1000","1000","0.3483394325754147","0.417","885.2757793764988","630","547.0762701831693"
"41","25","5","color-agents-by-vision","1000","1000","0.3678025831439237","0.43","881.3511627906977","642","573.4391848965926"
