"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2-change.nlogo"
"exp1-2"
"03/07/2024 00:45:37:807 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","gini-index","survival-ratio","mean-sugar","median-sugar","sd-sugar"
"2","25","5","color-agents-by-vision","0","0","0","1","0","0","0"
"1","25","5","color-agents-by-vision","0","0","0","1","0","0","0"
"4","25","5","color-agents-by-vision","20","1000","0.34035039483647633","0.8","1735","2005","1099.6569768189836"
"3","25","5","color-agents-by-vision","20","1000","0.3975500603320553","0.7","1337.4285714285713","1009.5","995.469484467251"
"5","25","5","color-agents-by-vision","40","1000","0.3161315352767599","0.7","1803.4642857142858","1995.5","1046.0199163227799"
"6","25","5","color-agents-by-vision","40","1000","0.48761123154059144","0.675","1242.7777777777778","1014","1114.1575752846195"
"7","25","5","color-agents-by-vision","60","1000","0.3053209199705823","0.6666666666666666","1871.475","2002","1035.5366250997965"
"8","25","5","color-agents-by-vision","60","1000","0.38284769854494266","0.7333333333333333","1567.6818181818182","1838.5","1068.3012547144763"
"9","25","5","color-agents-by-vision","80","1000","0.2441928948081739","0.5875","1915.787234042553","1967","839.7955221147123"
"10","25","5","color-agents-by-vision","80","1000","0.39036857667830754","0.6875","1359.7454545454545","1011","942.8052746238674"
"11","25","5","color-agents-by-vision","100","1000","0.2968558438874196","0.69","1755.7246376811595","1831","920.6667322566063"
"12","25","5","color-agents-by-vision","100","1000","0.32620576104863347","0.61","1700.4262295081967","1753","981.9575255413102"
"13","25","5","color-agents-by-vision","120","1000","0.31133533246713774","0.6","1615.7222222222222","1726.5","888.0989702210381"
"14","25","5","color-agents-by-vision","120","1000","0.3244798492834383","0.6583333333333333","1535.759493670886","1762","880.4354286256473"
"15","25","5","color-agents-by-vision","140","1000","0.30978100597161984","0.6071428571428571","1600.1411764705883","1792","873.7646538445713"
"16","25","5","color-agents-by-vision","140","1000","0.34488557079344967","0.6357142857142857","1487.426966292135","1605","899.1566362638283"
"17","25","5","color-agents-by-vision","160","1000","0.368209362389352","0.65","1455.173076923077","1504","935.902258633193"
"18","25","5","color-agents-by-vision","160","1000","0.3311399291497974","0.6","1545.2916666666667","1511","894.3359773322762"
"19","25","5","color-agents-by-vision","180","1000","0.3516687621442446","0.6","1378.5","1508","848.3181657140049"
"20","25","5","color-agents-by-vision","180","1000","0.344541783899816","0.6277777777777778","1426.8053097345132","1341","858.4959944411826"
"21","25","5","color-agents-by-vision","200","1000","0.3493596006085749","0.535","1397.0093457943926","1379","851.5483510943196"
"22","25","5","color-agents-by-vision","200","1000","0.3836357429436063","0.63","1364.484126984127","1228","916.7662536034101"
"23","25","5","color-agents-by-vision","220","1000","0.3371556985485018","0.5454545454545454","1392.3333333333333","1513.5","819.469631036121"
"24","25","5","color-agents-by-vision","220","1000","0.34138867965452174","0.6136363636363636","1397.7851851851851","1427","834.4531445954002"
"25","25","5","color-agents-by-vision","240","1000","0.3754030894552339","0.6125","1199.5102040816328","1167","786.4394216570397"
"26","25","5","color-agents-by-vision","240","1000","0.37997636830085535","0.5833333333333334","1363.2571428571428","1456","907.1042976323863"
"27","25","5","color-agents-by-vision","260","1000","0.42146825090096623","0.5307692307692308","1158.7246376811595","1095.5","857.4909909349135"
"28","25","5","color-agents-by-vision","260","1000","0.3571065958468416","0.6","1304.1666666666667","1266.5","815.8739769330548"
"29","25","5","color-agents-by-vision","280","1000","0.3604863764029502","0.5892857142857143","1354.2969696969697","1390","862.9652101644515"
"30","25","5","color-agents-by-vision","280","1000","0.3897370441855145","0.575","1239.6521739130435","1248","849.0161678442112"
"31","25","5","color-agents-by-vision","300","1000","0.3861800499939778","0.62","1217.5537634408602","1149.5","824.7997298685088"
"32","25","5","color-agents-by-vision","300","1000","0.3986676217025299","0.6133333333333333","1191.0271739130435","1175","834.8520724440355"
"33","25","5","color-agents-by-vision","320","1000","0.4011395776144663","0.61875","1140.9747474747476","1192","807.0264177540794"
"34","25","5","color-agents-by-vision","320","1000","0.3809958676794912","0.61875","1224.3636363636363","1163.5","820.636523465531"
"35","25","5","color-agents-by-vision","340","1000","0.3662498118078814","0.5823529411764706","1233.3232323232323","1202","793.5163383664344"
