"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 2-change.nlogo"
"exp2-2"
"03/07/2024 01:59:27:830 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) gini-index","(std) gini-index","(mean) survival-ratio","(std) survival-ratio","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar"
"20","0","color-agents-by-vision","500","1000","0.3597888979147825","N/A","0.519","N/A","1142.4289405684754","N/A","1053.75","N/A","724.4474270732444","N/A"
"20","5","color-agents-by-vision","500","1000","0.3786691868173728","N/A","0.526","N/A","1117.2255349913244","N/A","1034.75","N/A","749.017655686426","N/A"
"20","10","color-agents-by-vision","500","1000","0.389688718683433","N/A","0.519","N/A","1109.9543542248916","N/A","1089.25","N/A","764.4743294112799","N/A"
"20","15","color-agents-by-vision","500","1000","0.3557811501994418","N/A","0.497","N/A","1173.9934626227277","N/A","1080","N/A","739.3987354251362","N/A"
"20","20","color-agents-by-vision","500","1000","0.35520152908457336","N/A","0.515","N/A","1169.1865007541478","N/A","1061","N/A","735.4004383566669","N/A"
"20","25","color-agents-by-vision","500","1000","0.34728535572470365","N/A","0.526","N/A","1187.1089395977037","N/A","1085","N/A","732.6518173195383","N/A"
"20","30","color-agents-by-vision","500","1000","0.3699413864094031","N/A","0.535","N/A","1129.1235745430154","N/A","1056.75","N/A","739.8405476977166","N/A"
"25","0","color-agents-by-vision","500","1000","0.3695162370757221","N/A","0.533","N/A","1106.5956404190606","N/A","1059.5","N/A","724.0953418321012","N/A"
"25","5","color-agents-by-vision","500","1000","0.36587490793843935","N/A","0.524","N/A","1090.5657342657341","N/A","1053.75","N/A","707.3884090735983","N/A"
"25","10","color-agents-by-vision","500","1000","0.3885720183794994","N/A","0.518","N/A","1111.00690996914","N/A","1065.5","N/A","763.7954785709909","N/A"
"25","15","color-agents-by-vision","500","1000","0.3561795508486917","N/A","0.512","N/A","1152.379326130745","N/A","1078.25","N/A","728.8698755988571","N/A"
"25","20","color-agents-by-vision","500","1000","0.35082462511915147","N/A","0.498","N/A","1166.5786594810895","N/A","1052.75","N/A","724.4738325168014","N/A"
"25","25","color-agents-by-vision","500","1000","0.3761232535680863","N/A","0.517","N/A","1110.5936498907217","N/A","1084.75","N/A","738.5321037571723","N/A"
"25","30","color-agents-by-vision","500","1000","0.35219255834310215","N/A","0.527","N/A","1164.0081673881673","N/A","1065.5","N/A","728.642513151844","N/A"
"30","0","color-agents-by-vision","500","1000","0.38021652506324954","N/A","0.507","N/A","1130.3938386041439","N/A","1093.5","N/A","762.5517134865477","N/A"
"30","5","color-agents-by-vision","500","1000","0.3680874999389858","N/A","0.498","N/A","1171.6033920996176","N/A","1104.5","N/A","763.6678443669582","N/A"
"30","10","color-agents-by-vision","500","1000","0.35212164367286053","N/A","0.514","N/A","1146.0296753875969","N/A","1047","N/A","714.3893084421518","N/A"
"30","15","color-agents-by-vision","500","1000","0.35467661859907773","N/A","0.51","N/A","1156.9187530757874","N/A","1061","N/A","725.8323764066347","N/A"
"30","20","color-agents-by-vision","500","1000","0.38095236968133306","N/A","0.514","N/A","1123.6792247122958","N/A","1071.25","N/A","755.6281176572063","N/A"
"30","25","color-agents-by-vision","500","1000","0.3842647488165394","N/A","0.536","N/A","1097.4172688414574","N/A","1052.5","N/A","746.4278898821774","N/A"
"30","30","color-agents-by-vision","500","1000","0.3584829661889665","N/A","0.528","N/A","1166.5999182056912","N/A","1071","N/A","741.4257007059059","N/A"
"35","0","color-agents-by-vision","500","1000","0.3611587511340462","N/A","0.528","N/A","1166.439393939394","N/A","1081.25","N/A","746.1790636572938","N/A"
"35","5","color-agents-by-vision","500","1000","0.3598175292860066","N/A","0.522","N/A","1158.7068790837677","N/A","1065","N/A","740.2562601911623","N/A"
"35","10","color-agents-by-vision","500","1000","0.35809681226603784","N/A","0.524","N/A","1140.1577509724225","N/A","1071.5","N/A","719.8824463003448","N/A"
"35","15","color-agents-by-vision","500","1000","0.36498824769066496","N/A","0.526","N/A","1171.0744885418926","N/A","1081","N/A","758.0246302277671","N/A"
"35","20","color-agents-by-vision","500","1000","0.33292890637348105","N/A","0.525","N/A","1224.1834073493555","N/A","1087.5","N/A","726.939882871306","N/A"
"35","25","color-agents-by-vision","500","1000","0.38199861934959567","N/A","0.521","N/A","1088.6884744613753","N/A","1053.25","N/A","733.8625035085022","N/A"
"35","30","color-agents-by-vision","500","1000","0.3629191400396541","N/A","0.505","N/A","1112.637220286853","N/A","1062","N/A","715.1254718743512","N/A"
"40","0","color-agents-by-vision","500","1000","0.3311540977952121","N/A","0.532","N/A","1215.110357304387","N/A","1093","N/A","716.668320137596","N/A"
"40","5","color-agents-by-vision","500","1000","0.3813598041915418","N/A","0.527","N/A","1117.3464206397277","N/A","1060.5","N/A","754.3755387468143","N/A"
"40","10","color-agents-by-vision","500","1000","0.3537106777655444","N/A","0.534","N/A","1192.8188054090451","N/A","1082.25","N/A","749.4676564646529","N/A"
"40","15","color-agents-by-vision","500","1000","0.39904400549046226","N/A","0.539","N/A","1073.6767424242425","N/A","1034.75","N/A","759.2882143684876","N/A"
"40","20","color-agents-by-vision","500","1000","0.3396019361308051","N/A","0.525","N/A","1176.806092674854","N/A","1050.5","N/A","713.5569806741534","N/A"
"40","25","color-agents-by-vision","500","1000","0.3484359106907131","N/A","0.538","N/A","1169.2991180048662","N/A","1058.75","N/A","722.0929838191212","N/A"
"40","30","color-agents-by-vision","500","1000","0.3787188496097057","N/A","0.524","N/A","1116.0353568462915","N/A","1057.5","N/A","746.710316031302","N/A"
"45","0","color-agents-by-vision","500","1000","0.36580929649693256","N/A","0.532","N/A","1113.5093102228511","N/A","1069","N/A","721.7490606412687","N/A"
"45","5","color-agents-by-vision","500","1000","0.36162444061730104","N/A","0.52","N/A","1165.9448636013967","N/A","1073.75","N/A","748.3117760766938","N/A"
"45","10","color-agents-by-vision","500","1000","0.36506626950135507","N/A","0.547","N/A","1109.2223328877005","N/A","1030","N/A","719.084140486322","N/A"
"45","15","color-agents-by-vision","500","1000","0.3484763616038107","N/A","0.51","N/A","1194.6246520354962","N/A","1095","N/A","740.5030245335804","N/A"
"45","20","color-agents-by-vision","500","1000","0.3632256452857738","N/A","0.516","N/A","1151.5965291863872","N/A","1071.5","N/A","741.8127544922215","N/A"
"45","25","color-agents-by-vision","500","1000","0.3720378857975155","N/A","0.531","N/A","1148.317958685659","N/A","1065.25","N/A","758.2263238453788","N/A"
