"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 2-change.nlogo"
"pop-endowment"
"03/06/2024 22:46:56:121 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","initial-population","visualization","[step]","count turtles","gini-index-reserve","mean-sugar","median-sugar","mean-lowviz","mean-hiviz","median-lowviz","median-hiviz","sd-lowviz","sd-hiviz","mean-lowmtb","mean-himtb","median-lowmtb","median-himtb","sd-lowmtb","sd-himtb","starve-count","age-death-count"
"1","25","0","100","color-agents-by-vision","500","63","9.436006188183358","913.1587301587301","995","790.7619047619048","916.8695652173913","861","995","462.03061638401243","506.60943395980604","1235.6774193548388","2","1424","2","427.5657756101607","1.4142135623730951","0","0"
"2","25","0","200","color-agents-by-vision","500","121","21.246459638733956","720.1487603305785","776","552.2727272727273","811.2222222222222","549","811","427.7907105647042","434.427650648297","1030.6851851851852","0","1181","0","412.516200897365","0","0","0"
"3","25","0","300","color-agents-by-vision","500","170","31.661066511678598","647.7411764705882","667.5","691.8108108108108","662.4683544303797","941","678","410.103295784383","428.8341630168174","964.9358974358975","0","1071","0","358.69859791917804","0","0","0"
"4","25","0","400","color-agents-by-vision","500","238","47.125839236218056","545.7142857142857","558","632.8793103448276","550.9354838709677","716.5","581","283.9209846583035","396.47818642917224","872.2688172043011","0","1019","0","333.55591213028146","0","0","0"
"5","25","0","500","color-agents-by-vision","500","252","44.10495343295073","597.7896825396825","544.5","564.051724137931","566","492","546","332.1499039307188","399.736688333708","902.7304347826087","0","990","0","274.34270160740186","0","0","0"
"6","25","0","600","color-agents-by-vision","500","303","49.3889756652187","597.9570957095709","544","539.1075268817204","636.2777777777778","607","532","327.2487241269709","364.96418550019297","782.4228571428572","0","924","0","326.440192798847","0","0","0"
"7","25","0","700","color-agents-by-vision","500","314","45.102655084465376","596.859872611465","512","452.7708333333333","680.2644628099174","542","513","302.5294932700705","287.80415124974144","781.9112426035502","0","907","0","289.56463285256706","0","0","0"
"8","25","0","800","color-agents-by-vision","500","353","55.7116129711518","538.1303116147309","531","408.6292134831461","617.5693430656934","356","766","296.48828667735654","267.1086966348112","728.3248730964467","0","777","0","253.61487764696858","0","0","0"
"11","25","5","100","color-agents-by-vision","500","65","8.407061936096605","907.1384615384616","929","699.9166666666666","1042.1818181818182","632","965","286.2025532994972","405.86408243288906","1391.5217391304348","0","1450","0","116.92494467711771","0","0","0"
"12","25","5","200","color-agents-by-vision","500","125","20.88450690816486","672.248","665","617.7666666666667","681.9230769230769","560","709","351.2906924111606","393.6932640059774","1124.125","0","1163","0","215.1642410834701","0","0","0"
"9","25","0","900","color-agents-by-vision","500","412","73.79617195902557","464.8883495145631","372.5","296.7967479674797","573.7046979865772","153","766","258.2399747899258","267.13868003280936","664.1238938053098","0","767.5","0","247.10439117437747","0","0","0"
"10","25","0","1000","color-agents-by-vision","500","432","76.19720542655362","455.5787037037037","535","314.2170542635659","564.3537414965987","191","763","259.24779896728126","263.6738542349965","631.9442231075698","0","730","0","243.24359164527644","0","0","0"
"13","25","5","300","color-agents-by-vision","500","168","29.2988960139911","653.4761904761905","667.5","638.2045454545455","679.4025974025974","546","683","355.7480542721116","398.93625858552565","1040.2121212121212","0","1096.5","0","248.80301229635248","0","0","0"
"14","25","5","400","color-agents-by-vision","500","223","41.01982649936958","597.5605381165919","572","568.8627450980392","608.7340425531914","483","591","349.13160954619065","407.52344547717695","903.1052631578947","0","1030","0","340.76810838957437","0","0","0"
"15","25","5","500","color-agents-by-vision","500","271","45.9122075311705","587.4723247232472","533","517.3648648648649","596.2372881355932","429","537.5","311.33664879933093","371.1449984571561","867.2049180327868","0","986.5","0","293.0037073785868","0","0","0"
"16","25","5","600","color-agents-by-vision","500","274","43.0792095451156","611.7700729927008","527","488.7926829268293","620.5094339622641","419","527.5","295.6778250767137","382.98604339317944","863.9347826086956","0","966","0","270.55512563545454","0","0","0"
"17","25","5","700","color-agents-by-vision","500","307","43.943125493464315","594.0846905537459","501","466.4375","663.7787610619469","558","508","313.20454123766905","287.7859675458629","779.2215189873418","0","892.5","0","303.92061533516187","0","0","0"
"21","25","10","100","color-agents-by-vision","500","66","10.321904440190668","807.3636363636364","891","684.5882352941177","747.3214285714286","664","897","421.0348944599974","429.5854206067561","1102.695652173913","5.5","1352","5.5","526.3320274903052","6.363961030678928","0","0"
"18","25","5","800","color-agents-by-vision","500","340","55.8989951726739","537.9911764705882","472","355.04395604395603","611.0859375","239","481.5","298.90778630384443","287.94148649197575","733.8742857142857","0","855","0","305.59436372350365","0","0","0"
"22","25","10","200","color-agents-by-vision","500","118","21.2421930840707","687.6779661016949","684.5","542.8333333333334","788.795918367347","564.5","796","416.8055044879188","430.2016474666191","1113.2325581395348","0","1247","0","330.5104160313331","0","0","0"
"19","25","5","900","color-agents-by-vision","500","385","67.34872021670633","469.84415584415586","365","290.4117647058824","557.7828947368421","214","381","252.57942003373464","273.3939475672412","663.1958762886597","0","795.5","0","287.6491328160924","0","0","0"
"20","25","5","1000","color-agents-by-vision","500","427","77.6526742569141","439.57142857142856","332","327.2751677852349","523.390977443609","207","345","265.94733422596534","264.97409349030164","646.9864253393665","0","732","0","234.05969478742355","0","0","0"
"23","25","10","300","color-agents-by-vision","500","175","35.74016759613419","587.1257142857143","592","524.8571428571429","650.9411764705883","497.5","675","418.94149841484625","443.04044094082764","942.6865671641791","0","1094","0","401.79442991128445","0","0","0"
"24","25","10","400","color-agents-by-vision","500","233","43.96161980833149","553.9785407725321","545","576.0625","577.4752475247525","484","583","287.8013799628324","397.5047822117214","945.4375","0","1032.5","0","259.97603802677907","0","0","0"
"25","25","10","500","color-agents-by-vision","500","264","49.016524209133756","584.0833333333334","551.5","541.8030303030303","570.7","620.5","553.5","318.2108744308727","424.85186949003094","828.7481481481482","0","992","0","348.2608329098786","0","0","0"
"26","25","10","600","color-agents-by-vision","500","269","40.94122848906102","630.5687732342008","546","521.8787878787879","657.4649122807018","451.5","553.5","296.3304037025364","381.4628846772323","862.0928571428572","0","981","0","290.0267637471062","0","0","0"
"27","25","10","700","color-agents-by-vision","500","327","52.79949705946667","531.4311926605504","459","344.1010101010101","656.3193277310925","251","502","273.5499616698594","275.0655679236704","766.9932432432432","0","880.5","0","283.01588851390414","0","0","0"
"31","25","15","100","color-agents-by-vision","500","59","10.762831162018017","775.3898305084746","730","647.2352941176471","913.4090909090909","627","1003.5","450.6344873358791","568.2728770322958","1126.904761904762","4.75","1467","5.5","570.2798352354662","2.6299556396765835","0","0"
"28","25","10","800","color-agents-by-vision","500","358","54.126123721001214","512.6871508379888","395","382.1782178217822","567.7744360902255","280","398","266.85937855131135","267.35680439571235","728.5224719101124","0","806","0","222.1551909604889","0","0","0"
"32","25","15","200","color-agents-by-vision","500","119","22.95604707949513","650.4285714285714","641","509.70588235294116","828.1842105263158","534","827.5","426.51928297818864","421.4872544809635","1036.452380952381","0","1185","0","436.28583170372644","0","0","0"
