"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"Sugarscape 3-change.nlogo"
"exp3-3-new"
"03/07/2024 20:21:54:784 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","(mean) gini-index","(std) gini-index","(mean) survival-ratio","(std) survival-ratio","(mean) death-ratio","(std) death-ratio","(mean) mean-sugar","(std) mean-sugar","(mean) median-sugar","(std) median-sugar","(mean) sd-sugar","(std) sd-sugar","(mean) starve-count","(std) starve-count","(mean) age-death-count","(std) age-death-count"
"20","0","color-agents-by-vision","0","0","0","N/A","1","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A"
"20","0","color-agents-by-vision","50","1000","0.50498820754717","N/A","1","N/A","0.3532796317606444","N/A","67.84","N/A","41","N/A","65.13670397004773","N/A","307","N/A","561","N/A"
"20","0","color-agents-by-vision","100","1000","0.5242723156532988","N/A","1","N/A","0.40716612377850164","N/A","61.84","N/A","33.5","N/A","62.595497950222935","N/A","750","N/A","1091","N/A"
"20","0","color-agents-by-vision","150","1000","0.47467556373676956","N/A","1","N/A","0.4232117812061711","N/A","57.946666666666665","N/A","40.5","N/A","51.46730071128263","N/A","1207","N/A","1644","N/A"
"20","0","color-agents-by-vision","200","1000","0.4901827103779495","N/A","1","N/A","0.43687580025608197","N/A","47.89","N/A","29","N/A","45.03865341578873","N/A","1706","N/A","2198","N/A"
"20","0","color-agents-by-vision","250","1000","0.5005318273497381","N/A","1","N/A","0.46487441130298274","N/A","49.58","N/A","30","N/A","47.39668112353547","N/A","2369","N/A","2726","N/A"
"20","0","color-agents-by-vision","300","1000","0.5320711003166889","N/A","1","N/A","0.48415857347556124","N/A","46.663333333333334","N/A","23","N/A","47.006830666616445","N/A","3041","N/A","3239","N/A"
"20","0","color-agents-by-vision","350","1000","0.486150489325072","N/A","1","N/A","0.5405645981688708","N/A","44.33428571428571","N/A","30","N/A","40.19008874995203","N/A","4251","N/A","3612","N/A"
"20","0","color-agents-by-vision","400","1000","0.503374797431127","N/A","1","N/A","0.5802378196359045","N/A","41.6525","N/A","28","N/A","39.9778352594294","N/A","5514","N/A","3988","N/A"
"20","0","color-agents-by-vision","450","1000","0.47642575508895074","N/A","1","N/A","0.5883318140382863","N/A","39.26444444444444","N/A","28","N/A","35.465517966226244","N/A","6454","N/A","4515","N/A"
"20","0","color-agents-by-vision","500","1000","0.46109742607955756","N/A","1","N/A","0.589571337172105","N/A","37.608","N/A","27.5","N/A","32.60141162710842","N/A","7372","N/A","5131","N/A"
"20","0","color-agents-by-vision","550","1000","0.4830251656121029","N/A","1","N/A","0.6001414927484966","N/A","35.60545454545454","N/A","23","N/A","32.6142487784305","N/A","8483","N/A","5651","N/A"
"20","0","color-agents-by-vision","600","1000","0.4776131284460544","N/A","1","N/A","0.5973067460831283","N/A","34.056666666666665","N/A","22","N/A","30.655555135352714","N/A","9226","N/A","6219","N/A"
"20","0","color-agents-by-vision","650","1000","0.4804548278861691","N/A","1","N/A","0.6047599555581545","N/A","34.283076923076926","N/A","22","N/A","31.22368016670649","N/A","10342","N/A","6758","N/A"
"20","0","color-agents-by-vision","700","1000","0.47955072643088287","N/A","1","N/A","0.6173520827805784","N/A","31.338571428571427","N/A","19","N/A","29.155121571279604","N/A","11634","N/A","7210","N/A"
"20","0","color-agents-by-vision","750","1000","0.4869941350746721","N/A","1","N/A","0.6181494133372939","N/A","29.402666666666665","N/A","19","N/A","27.171030149678707","N/A","12486","N/A","7712","N/A"
"20","0","color-agents-by-vision","800","1000","0.4985021724457942","N/A","1","N/A","0.6357580122434282","N/A","29.6325","N/A","17","N/A","27.842574502794793","N/A","14124","N/A","8091","N/A"
"20","0","color-agents-by-vision","850","1000","0.5097240958009771","N/A","1","N/A","0.6499318209991323","N/A","27.528235294117646","N/A","16","N/A","26.998142028140794","N/A","15729","N/A","8471","N/A"
"20","0","color-agents-by-vision","900","1000","0.48696847048104586","N/A","1","N/A","0.6822593239876548","N/A","28.184444444444445","N/A","17","N/A","25.570060840182983","N/A","18348","N/A","8544","N/A"
"20","0","color-agents-by-vision","950","1000","0.48253385763766776","N/A","1","N/A","0.7183459949353592","N/A","25.06421052631579","N/A","16","N/A","22.52536524003415","N/A","21559","N/A","8452","N/A"
"20","0","color-agents-by-vision","1000","1000","0.4794192658122566","N/A","1","N/A","0.7546840829836279","N/A","26.451","N/A","17","N/A","23.22849892184514","N/A","25537","N/A","8300","N/A"
"20","5","color-agents-by-vision","0","0","0","N/A","1","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A"
"20","5","color-agents-by-vision","50","1000","0.48905785123966916","N/A","1","N/A","0.28085642317380355","N/A","72.6","N/A","54","N/A","67.0780842582367","N/A","223","N/A","570","N/A"
"20","5","color-agents-by-vision","100","1000","0.4791510791366907","N/A","1","N/A","0.38936049801924166","N/A","69.5","N/A","49","N/A","62.23797599991227","N/A","688","N/A","1078","N/A"
"20","5","color-agents-by-vision","150","1000","0.48814099912679837","N/A","1","N/A","0.39926062846580407","N/A","48.35333333333333","N/A","31.5","N/A","46.7312948139554","N/A","1080","N/A","1624","N/A"
"20","5","color-agents-by-vision","200","1000","0.46431773688332023","N/A","1","N/A","0.4246031746031746","N/A","51.08","N/A","37","N/A","44.156455505555144","N/A","1605","N/A","2174","N/A"
"20","5","color-agents-by-vision","250","1000","0.4840060560181679","N/A","1","N/A","0.43135180875819756","N/A","52.84","N/A","33.5","N/A","47.658322071287856","N/A","2039","N/A","2687","N/A"
"20","5","color-agents-by-vision","300","1000","0.49957457899866226","N/A","1","N/A","0.4652730950775455","N/A","49.02333333333333","N/A","29.5","N/A","46.09154902866424","N/A","2760","N/A","3171","N/A"
"20","5","color-agents-by-vision","350","1000","0.48548565013231676","N/A","1","N/A","0.5186297256721715","N/A","45.808571428571426","N/A","30.5","N/A","41.53985121110829","N/A","3800","N/A","3526","N/A"
"20","5","color-agents-by-vision","400","1000","0.4948344184670024","N/A","1","N/A","0.5746731664081542","N/A","42.2375","N/A","28.5","N/A","39.18487885111349","N/A","5187","N/A","3838","N/A"
"20","5","color-agents-by-vision","450","1000","0.48243513841362956","N/A","1","N/A","0.5850932853489914","N/A","40.913333333333334","N/A","26.5","N/A","37.629053955142446","N/A","6178","N/A","4380","N/A"
"20","5","color-agents-by-vision","500","1000","0.44810108520900316","N/A","1","N/A","0.585396558959295","N/A","39.808","N/A","30.5","N/A","33.70101857966037","N/A","6975","N/A","4939","N/A"
"20","5","color-agents-by-vision","550","1000","0.4584347733276407","N/A","1","N/A","0.5843264444109217","N/A","37.167272727272724","N/A","26","N/A","32.159569445784456","N/A","7747","N/A","5510","N/A"
"20","5","color-agents-by-vision","600","1000","0.4470225504356338","N/A","1","N/A","0.5972566075610573","N/A","35.77166666666667","N/A","24","N/A","30.379451097254957","N/A","8926","N/A","6018","N/A"
