"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Sugarscape 3-change.nlogo"
"mean-sugar-by-max-endowment"
"03/06/2024 00:13:03:655 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","visualization","initial-population","[step]","mean-sugar","median-sugar","sd-sugar"
"3","60","color-agents-by-vision","400","300","51.655","43","40.07531724929423"
"4","60","color-agents-by-vision","400","300","53.115","43.5","39.320185241406826"
"2","50","color-agents-by-vision","400","300","51.9275","39","42.8130194021143"
"1","50","color-agents-by-vision","400","300","51.175","39.5","41.03082006844028"
"6","70","color-agents-by-vision","400","300","59.21","49.5","42.210902628963986"
"7","80","color-agents-by-vision","400","300","62.37","54","44.1342006744535"
"5","70","color-agents-by-vision","400","300","58.445","47","46.620872357221835"
"8","80","color-agents-by-vision","400","300","62.085","55","43.862427616252354"
"11","100","color-agents-by-vision","400","300","68.965","60.5","47.02842712013112"
"9","90","color-agents-by-vision","400","300","63.635","55","44.04437014367878"
"10","90","color-agents-by-vision","400","300","62.55","55","44.79770737957649"
"12","100","color-agents-by-vision","400","300","70.7425","67","46.085419151788024"
"15","120","color-agents-by-vision","400","300","80.205","75.5","54.151999710829735"
"13","110","color-agents-by-vision","400","300","77.3925","69","52.45954109960315"
"14","110","color-agents-by-vision","400","300","75.3525","73","48.368243312662116"
"16","120","color-agents-by-vision","400","300","76.4475","71","51.56218469942331"
"18","130","color-agents-by-vision","400","300","80.4325","70","56.26219004644287"
"17","130","color-agents-by-vision","400","300","85.24","77","54.82007388952637"
"19","140","color-agents-by-vision","400","300","89.375","84.5","54.11511331154915"
"20","140","color-agents-by-vision","400","300","82.615","77","52.875289745439325"
"21","150","color-agents-by-vision","400","300","92.3125","87","57.02938471131684"
"23","160","color-agents-by-vision","400","300","94.975","88","59.083682848544335"
"22","150","color-agents-by-vision","400","300","93.53","87","57.86510196191359"
"24","160","color-agents-by-vision","400","300","89.625","81.5","59.86383358446543"
"26","170","color-agents-by-vision","400","300","101.4075","95.5","59.64381699736387"
"25","170","color-agents-by-vision","400","300","100.455","93","63.68203419094542"
"27","180","color-agents-by-vision","400","300","107.205","101","67.89006279689553"
"28","180","color-agents-by-vision","400","300","110.1","108","63.60384124841746"
"29","190","color-agents-by-vision","400","300","110.165","105","68.19695621574859"
"30","190","color-agents-by-vision","400","300","113.99","106.5","65.33135054021557"
