maximum-sugar-endowment,minimum-sugar-endowment,initial-population,(mean) count turtles,(mean) gini-index-reserve
25,0,100,67,10.57718834
25,0,120,79,10.90654811
25,0,140,86,13.32716849
25,0,160,98,14.6492613
25,0,180,111,20.04895115
25,0,200,123,23.43249397
25,0,220,132,24.64878744
25,0,240,147,27.25782767
25,0,260,144,26.85194609
25,0,280,166,31.43992045
25,0,300,170,29.49248049
25,0,320,189,33.24309807
25,0,340,191,36.23998023
25,0,360,206,37.85444248
25,0,380,222,43.15804185
25,0,400,218,40.32348845
25,0,420,234,44.43349526
25,0,440,241,48.45667532
25,0,460,233,41.18533344
25,0,480,253,49.25651877
25,0,500,262,46.99974961
25,0,520,261,47.03086718
25,0,540,272,49.13444452
25,0,560,274,46.70751249
25,0,580,266,45.58124721
25,0,600,279,47.69912427
25,0,620,284,48.07171911
25,0,640,292,45.91857312
25,0,660,291,45.37857054
25,0,680,295,40.83617474
25,0,700,313,44.19430094
25,0,720,309,46.5732941
25,0,740,317,52.44459555
25,0,760,321,52.83719848
25,0,780,346,53.38548695
25,0,800,344,53.56987097
25,0,820,341,49.47092758
25,0,840,350,57.08221275
25,0,860,380,60.99640414
25,0,880,396,66.14710368
25,0,900,350,58.83769639
25,0,920,398,65.76907633
25,0,940,428,76.80604524
25,0,960,390,65.57650344
25,0,980,422,68.13125675
25,0,1000,449,80.77787988
25,5,100,63,8.431209951
25,5,120,70,12.04026479
25,5,140,93,15.7592701
25,5,160,99,17.18395826
25,5,180,113,19.81831618
25,5,200,127,22.42705099
25,5,220,135,24.86071899
25,5,240,141,26.80956356
25,5,260,152,28.8576863
25,5,280,168,30.48932972
25,5,300,188,36.27770646
25,5,320,207,37.28533137
25,5,340,200,38.63380076
25,5,360,198,39.88781115
25,5,380,209,40.64130408
25,5,400,226,45.91665834
25,5,420,231,50.42951023
25,5,440,255,51.40059805
25,5,460,258,49.40306233
25,5,480,252,47.58615814
25,5,500,265,48.37240666
25,5,520,258,46.3404682
25,5,540,270,50.70034747
25,5,560,271,46.92130195
25,5,580,280,47.86565525
25,5,600,286,41.39267054
25,5,620,287,53.39146038
25,5,640,318,47.64480268
25,5,660,291,43.19323436
