maximum-sugar-endowment,minimum-sugar-endowment,initial-population,gini-index,survival-ratio,mean-sugar,median-sugar,sd-sugar
20,0,20,0.325976917,0.65,1641.769231,1844,996.621974
20,0,40,0.426884281,0.7,1419.642857,1021,1098.632322
20,0,60,0.313790182,0.766666667,1684.369565,1945.5,953.612182
20,0,80,0.340674428,0.55,1608.431818,1173,992.5762439
20,0,100,0.355946496,0.66,1521.484848,1248.5,960.1545748
20,0,120,0.297564961,0.575,1666.536232,1841,872.2157312
20,0,140,0.322307196,0.6,1676.261905,1703,952.5170348
20,0,160,0.280894023,0.6,1710.447917,1739,847.63983
20,0,180,0.374142747,0.561111111,1340.29703,1395,878.5479901
20,0,200,0.34794303,0.56,1399.660714,1485,851.3626127
20,0,220,0.359096858,0.559090909,1413.146341,1495,889.3257778
20,0,240,0.365550711,0.5875,1280.765957,1275,817.6808549
20,0,260,0.308694249,0.6,1447.25,1436.5,786.6620099
20,0,280,0.376100062,0.567857143,1270.383648,1236,835.4322219
20,0,300,0.371394081,0.626666667,1226.643617,1216.5,797.8941774
20,0,320,0.40163816,0.603125,1162.243523,1207,820.3129153
20,0,340,0.415640778,0.6,1140.004902,1100,838.722354
20,0,360,0.396585942,0.563888889,1147.157635,1160,801.1620983
20,0,380,0.379456315,0.568421053,1179.958333,1179.5,786.853317
20,0,400,0.379481843,0.5575,1114.901345,1115,746.0522101
20,0,420,0.394856431,0.569047619,1096.351464,1087,766.0693807
20,0,440,0.396747531,0.545454545,1124.1875,1077,787.1842159
20,0,460,0.355534393,0.530434783,1238.233607,1174.5,781.1256721
20,0,480,0.339453811,0.539583333,1203.46332,1082,728.3670342
20,0,500,0.356426871,0.542,1165.04797,1069,736.8391462
20,0,520,0.370154372,0.528846154,1155.789091,1053,759.1572541
20,0,540,0.34605354,0.487037037,1123.106464,1066,688.5457432
20,0,560,0.338944863,0.469642857,1180.86692,1057,713.432495
20,0,580,0.337691147,0.513793103,1103.449664,996.5,655.5530314
20,0,600,0.271440938,0.461666667,1310.389892,1256,642.0716806
20,0,620,0.265491646,0.461290323,1273.062937,1036.5,609.3940127
20,0,640,0.308626262,0.471875,1136.523179,1010,621.7247987
20,0,660,0.301778489,0.433333333,1243.454545,1038,672.5817733
20,0,680,0.266369876,0.451470588,1228.885993,981,587.7838711
20,0,700,0.312485066,0.448571429,1142.105096,976.5,632.2469933
20,0,720,0.31059384,0.476388889,1087.072886,862,600.9348594
20,0,740,0.306159165,0.45,1126.651652,986,606.8170552
20,0,760,0.315561376,0.442105263,1127.241071,981.5,626.6878189
20,0,780,0.305163788,0.458974359,1039.460894,809.5,560.9371584
20,0,800,0.324804886,0.45625,1056.309589,860,605.9755145
20,0,820,0.319606252,0.459756098,1020.360743,1026,574.2824036
20,0,840,0.324663752,0.432142857,1042.214876,901,593.3813659
20,0,860,0.345474191,0.438372093,975.0159151,850,589.1417394
20,0,880,0.361021054,0.431818182,944.65,725,603.9060466
20,0,900,0.335417142,0.43,955.4082687,775,562.7737319
20,0,920,0.332153258,0.417391304,971.1927083,725.5,571.3056727
20,0,940,0.358737288,0.442553191,918.9591346,667,585.8543269
20,0,960,0.370912039,0.470833333,852.1482301,575,560.7935522
20,0,980,0.365462475,0.430612245,877.5331754,665,564.7764467
20,0,1000,0.371296501,0.424,884.9882075,659.5,580.7482557
20,5,20,0.437637013,0.75,1240,1007,1008.084109
20,5,40,0.319840864,0.7,1677.5,1973.5,984.78456
20,5,60,0.334592558,0.583333333,1831.914286,2004,1132.276244
20,5,80,0.350585883,0.725,1509.586207,1208,945.9073252
20,5,100,0.28965791,0.64,1740.5,1916,900.8955333
20,5,120,0.278970413,0.591666667,1806.014085,1830,892.0258403
20,5,140,0.357102774,0.7,1435.377551,1331,901.071041
20,5,160,0.358423364,0.625,1444.83,1338,908.0023924
20,5,180,0.324334428,0.527777778,1517.831579,1739,862.5995675
20,5,200,0.330383804,0.63,1444.611111,1455.5,833.4866235
20,5,220,0.385479798,0.618181818,1214.654412,1171.5,820.907956
20,5,240,0.359177791,0.579166667,1312.438849,1364,821.3498356
20,5,260,0.384164901,0.638461538,1249.475904,1223.5,844.659542
20,5,280,0.365186437,0.625,1230.754286,1269,785.5402359
20,5,300,0.397525148,0.636666667,1126.513089,1132,790.4446174
20,5,320,0.376992361,0.5875,1243.553191,1256.5,826.6921278
20,5,340,0.367065433,0.626470588,1202.661972,1173,781.5724162
20,5,360,0.363334534,0.586111111,1242.478673,1218,797.9694846
20,5,380,0.364011586,0.578947368,1249.181818,1154,803.3407607
20,5,400,0.400291085,0.56,1137.75,1102.5,801.0079917
20,5,420,0.373366721,0.573809524,1155.506224,1100,762.6636443
20,5,440,0.390334823,0.545454545,1141.216667,1102,788.0530182
20,5,460,0.368348419,0.523913043,1164.539419,1112,756.4771143
20,5,480,0.36100953,0.55625,1158.322097,1076,738.5098701
20,5,500,0.362425815,0.52,1148.646154,1066.5,736.5504946
20,5,520,0.368649062,0.517307692,1104.847584,1028,717.730068
20,5,540,0.339792316,0.509259259,1188.109091,1063,717.7265881
20,5,560,0.39018016,0.494642857,1069.483755,1024,738.7158785
20,5,580,0.348140697,0.470689655,1176.212454,1051,728.5545714
20,5,600,0.300829439,0.493333333,1208.898649,1066.5,646.8730233
20,5,620,0.301118745,0.470967742,1160.270548,1000.5,625.8850603
20,5,640,0.292399124,0.4453125,1196.210526,1021,626.4187991
20,5,660,0.287599003,0.439393939,1228.196552,1005,636.0118054
20,5,680,0.323082734,0.466176471,1124.085174,992,642.9944551
20,5,700,0.27132118,0.427142857,1253.26087,1105,606.4435428
20,5,720,0.292045599,0.438888889,1178.009494,1017.5,610.120178
20,5,740,0.308409251,0.439189189,1100.218462,896,604.4801498
20,5,760,0.316922228,0.45,1102.555556,927,616.7644846
20,5,780,0.299949308,0.414102564,1170.099071,995,621.8857888
20,5,800,0.310274247,0.42875,1088.309038,870,599.9929416
20,5,820,0.291349457,0.4,1192.881098,1180,618.0563159
20,5,840,0.307575413,0.419047619,1063.079545,828.5,580.9068158
20,5,860,0.353446097,0.459302326,921.9544304,711,576.1761469
20,5,880,0.367373715,0.472727273,923.5697115,751.5,597.8072381
20,5,900,0.361872848,0.46,906.5120773,714,577.6344208
20,5,920,0.353863574,0.440217391,879.4444444,694,548.2228038
20,5,940,0.373295044,0.44893617,867.7393365,707.5,567.8807696
20,5,960,0.398595804,0.452083333,802.0023041,595.5,566.3818292
20,5,980,0.370101232,0.428571429,902.402381,744.5,586.0194898
20,5,1000,0.380485775,0.43,874.3767442,727,582.7943717
20,10,20,0.425674182,0.8,1132.125,1013,951.1694469
20,10,40,0.428296162,0.625,1504.44,1786,1164.329316
