maximum-sugar-endowment,minimum-sugar-endowment,initial-population,gini-index,death-ratio,mean-sugar,starve-count,age-death-count,max-min
20,0,50,0.504988208,0.353279632,67.84,307,561,20
20,0,100,0.524272316,0.407166124,61.84,750,1091,20
20,0,150,0.474675564,0.423211781,57.94666667,1207,1644,20
20,0,200,0.49018271,0.4368758,47.89,1706,2198,20
20,0,250,0.500531827,0.464874411,49.58,2369,2726,20
20,0,300,0.5320711,0.484158573,46.66333333,3041,3239,20
20,0,350,0.486150489,0.540564598,44.33428571,4251,3612,20
20,0,400,0.503374797,0.58023782,41.6525,5514,3988,20
20,0,450,0.476425755,0.588331814,39.26444444,6454,4515,20
20,0,500,0.461097426,0.589571337,37.608,7372,5131,20
20,0,550,0.483025166,0.600141493,35.60545455,8483,5651,20
20,0,600,0.477613128,0.597306746,34.05666667,9226,6219,20
20,0,650,0.480454828,0.604759956,34.28307692,10342,6758,20
20,0,700,0.479550726,0.617352083,31.33857143,11634,7210,20
20,0,750,0.486994135,0.618149413,29.40266667,12486,7712,20
20,0,800,0.498502172,0.635758012,29.6325,14124,8091,20
20,0,850,0.509724096,0.649931821,27.52823529,15729,8471,20
20,0,900,0.48696847,0.682259324,28.18444444,18348,8544,20
20,0,950,0.482533858,0.718345995,25.06421053,21559,8452,20
20,0,1000,0.479419266,0.754684083,26.451,25537,8300,20
20,5,50,0.489057851,0.280856423,72.6,223,570,15
20,5,100,0.479151079,0.389360498,69.5,688,1078,15
20,5,150,0.488140999,0.399260628,48.35333333,1080,1624,15
20,5,200,0.464317737,0.424603175,51.08,1605,2174,15
20,5,250,0.484006056,0.431351809,52.84,2039,2687,15
20,5,300,0.499574579,0.465273095,49.02333333,2760,3171,15
20,5,350,0.48548565,0.518629726,45.80857143,3800,3526,15
20,5,400,0.494834418,0.574673166,42.2375,5187,3838,15
20,5,450,0.482435138,0.585093285,40.91333333,6178,4380,15
20,5,500,0.448101085,0.585396559,39.808,6975,4939,15
20,5,550,0.458434773,0.584326444,37.16727273,7747,5510,15
20,5,600,0.44702255,0.597256608,35.77166667,8926,6018,15
20,5,650,0.459400229,0.59859542,32.68307692,9802,6572,15
20,5,700,0.475198443,0.597363487,33.24857143,10513,7085,15
20,5,750,0.463078104,0.597495623,31.74133333,11261,7585,15
20,5,800,0.474211558,0.60686145,29.24875,12400,8032,15
20,5,850,0.483064111,0.617084282,27.11647059,13545,8404,15
20,5,900,0.488255697,0.653697133,26.83444444,16028,8490,15
20,5,950,0.486019754,0.695936564,26.75052632,19045,8320,15
20,5,1000,0.481605374,0.734013651,25.082,22154,8027,15
20,10,50,0.496227582,0.290566038,64.68,231,563,10
20,10,100,0.456340977,0.357444244,60.18,593,1065,10
20,10,150,0.474241932,0.408921933,57.42666667,1100,1589,10
20,10,200,0.468195364,0.411230388,54.36,1494,2138,10
20,10,250,0.469392068,0.427284427,52.848,1992,2669,10
20,10,300,0.482225768,0.445793735,50.14,2533,3148,10
20,10,350,0.495137764,0.505530346,42.63428571,3565,3486,10
20,10,400,0.478482046,0.553577744,43.5825,4696,3786,10
